,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
VIP_019,9:00,-117,-7,4.3,0.3,11.04,7.8,446963,4.03,0.76,1.6,833343,48473,44378,1366,349
VIP_020,9:00,-109,-13,1.72,0.86,10.54,12,196664,4.34,3.63,4.98,665418,14771,18582,3258,1392
VIP_021,9:00,-104,-9,0.59,3.72,1.63,13.4,213857,3.7,5.19,9.04,300664,40621,13263,1622,904
VIP_022,9:00,-101,-12,4.56,5.33,7.69,8.3,406293,0.57,1.78,4.08,907365,18570,12446,1552,997
VIP_023,9:00,-98,-7,2.22,2.1,2.71,15.1,229147,0.55,2.6,6.67,410832,41512,49128,2737,1822
VIP_024,9:00,-64,-13,2.01,4.08,6.16,13.3,200818,0.26,2.17,4.01,272875,33666,32886,2312,1356
VIP_025,9:00,-86,-13,0.86,2.12,11.16,2.4,938748,4.16,4.59,5.03,344544,43236,39882,2674,553
VIP_026,9:00,-118,-9,5.44,1.78,5.16,17.9,524895,4.6,5.23,8.6,772895,48808,48525,3788,1129
VIP_027,9:00,-70,-9,0.45,4.04,1.27,5.3,338757,1.11,4.82,9.29,696312,44642,5282,4878,2242
VIP_028,9:00,-78,-7,0.63,3.53,11.76,11.5,730681,2.37,2.57,2.07,145332,7947,7504,979,2894
VIP_029,9:00,-92,-16,0.95,3.23,6.93,16.4,213381,2.55,0.2,2.39,208098,49327,49827,4726,1755
VIP_030,9:00,-78,-16,3.42,4.22,3.71,11,590245,1.87,1.58,4.44,181974,34079,19513,492,1329
VIP_031,9:00,-80,-13,0.33,1.92,2.25,1.9,342909,4.29,1.14,11.84,595013,35439,20641,4152,57
VIP_032,9:00,-108,-8,5.41,4.19,10.75,19.2,252259,1.67,3.14,5.75,933787,12928,40363,1304,1745
VIP_033,9:00,-115,-7,1.17,5.21,6.6,9.2,408638,1.3,4.33,5.09,458848,44272,3324,4272,1593
VIP_034,9:00,-94,-8,2.31,1.45,2.41,8.7,424103,1.52,4.66,9.66,946802,29903,5296,1602,741
VIP_035,9:00,-99,-14,2.57,4.49,1.4,12.2,648620,2.35,0.72,0.08,348940,46449,14154,2188,2393
VIP_036,9:00,-89,-15,0.43,2.41,7.17,5,464766,0.3,2.45,1.1,523838,5398,10205,907,2660
VIP_037,9:00,-85,-6,5.09,0.54,1.9,11,982621,3.28,1.74,7.91,444660,44783,30658,3710,299
VIP_038,9:00,-100,-9,2.48,1.58,10.14,3.4,100273,2.45,4.05,6.52,123057,9411,4130,4581,995
VIP_039,9:00,-79,-14,4.62,4.95,2.17,3.5,919222,0.48,1.84,0.42,797404,35306,15172,15,1969
VIP_040,9:00,-80,-15,4.11,1.12,7.66,19.1,362051,2.14,3.2,7.37,558560,30019,13985,2017,1569
VIP_041,9:00,-79,-11,2.55,3.56,2.4,10.7,868537,4.14,1.48,0.63,371126,16970,3016,980,131
VIP_042,9:00,-85,-12,4.55,1.93,2.47,12.8,889656,5.32,1.48,6.23,402878,34317,39660,3722,2037
VIP_043,9:00,-80,-6,0.06,0.89,1.27,11.7,367478,0.15,0.09,9.12,397650,25400,32773,3786,2268
VIP_044,9:00,-73,-11,0.76,4.95,11.7,3.5,100539,4.28,3.78,7.08,581848,11540,41117,3856,2452
VIP_045,9:00,-101,-8,1.9,4.08,5.76,9.4,904240,5.23,0.97,10.71,168435,10794,17894,4589,1294
VIP_046,9:00,-110,-7,5.04,1.57,0.14,12.7,714444,1.06,3.49,5.31,624486,45452,9618,374,1715
VIP_047,9:00,-98,-13,1.51,4.3,0.9,12.9,942345,2.22,5.18,3.62,759161,48047,42150,760,1031
VIP_048,9:00,-91,-10,2.48,0.5,4.06,4.1,102640,1.82,3.1,4.18,564218,17185,12113,4323,1436
VIP_049,9:00,-85,-7,5.04,3.1,4.09,17.4,665629,3.46,1.92,0.21,961032,16278,27812,1205,1424
VIP_050,9:00,-102,-10,0.28,1.76,0.73,4.6,880028,2.12,2.81,9.81,423394,2641,15087,3880,2745
VIP_051,9:00,-88,-7,0.86,0.55,11.4,12,654490,3.46,3.19,10.23,217546,20763,42566,935,1002
VIP_052,9:00,-111,-13,0.05,3.16,2.73,4.9,180120,1.58,2.8,5.23,160251,37962,17478,1893,2974
VIP_053,9:00,-98,-7,1.94,1.57,3.59,13.8,634698,2.73,2.45,3.71,169456,22563,25630,2635,808
VIP_054,9:00,-106,-11,0.23,3.87,3.64,4.2,885597,0.81,3.91,2.34,680962,2134,46058,3708,2137
VIP_055,9:00,-95,-15,1.67,2.91,9.41,11.1,465808,0.84,2.26,10.36,661299,31023,6529,2567,1315
VIP_056,9:00,-116,-13,0.9,5.11,1.73,4.6,658730,1.11,1.93,3.87,774347,1084,47339,1919,704
VIP_057,9:00,-101,-12,2.95,0.88,4.19,0.8,130922,1.76,4.19,9.23,990318,8726,23875,3287,890
VIP_058,9:00,-79,-15,1.03,5.31,8.34,3.3,578484,0.3,4.45,3.04,849488,18903,47895,3253,1490
VIP_059,9:00,-93,-8,4.92,0.37,1.44,9.8,987137,3.51,2.5,10.88,959981,16917,34703,4932,2012
VIP_060,9:00,-65,-16,0.6,0.86,11.2,19.2,127089,2.14,0.16,2.51,907671,35905,27003,2585,2496
VIP_061,9:00,-64,-14,5.42,2.42,11.42,18.3,552893,1.5,2.97,7.96,715700,48110,16291,3297,112
VIP_062,9:00,-103,-9,2.48,4.32,2.09,9.3,812366,0.45,2.46,8.73,586018,6234,37103,5000,191
VIP_063,9:00,-64,-16,2.12,1.23,6.74,19.4,277863,4.03,4.82,6.68,703848,31496,3101,701,1147
VIP_064,9:00,-72,-12,2.63,0.73,2.55,13.7,231219,5.5,2.35,2.64,564195,27232,34787,715,228
VIP_065,9:00,-93,-6,4.03,1.27,5.7,2.2,324103,4.92,1.48,6.97,763318,21541,34188,172,2338
VIP_066,9:00,-117,-10,5.06,0.95,11.46,1.5,600623,0.07,2.35,6.56,328100,1131,17380,2708,1397
VIP_067,9:00,-62,-11,2.08,2.35,10.54,2.7,288760,3.9,1.91,9.25,968631,46784,14267,548,713
VIP_068,9:00,-99,-15,3.32,3.75,2.49,2.8,615942,0.19,5.43,4.58,913751,36493,2281,1088,2199
VIP_069,9:00,-116,-6,3.88,4.85,1.8,6.9,620221,5.04,2.16,3.9,294320,33166,33402,1707,1927
VIP_070,9:00,-119,-10,0.63,0.7,3.37,7.1,165590,4.72,4.95,3.47,122772,34782,32908,4100,1614
VIP_071,9:00,-66,-12,2.99,2.87,1.05,6.6,750457,3.43,3.41,2.31,675791,15364,14850,92,1011
VIP_072,9:00,-117,-10,2.78,2.98,2.69,18.2,563496,3.56,1.6,1.25,573334,11911,20025,4227,2383
VIP_073,9:00,-102,-11,0.54,3.99,5.4,3,262402,2.21,1.93,9.11,315536,29324,23993,4108,346
VIP_074,9:00,-61,-13,0.24,3.06,8.64,11.7,420682,2.73,2.52,1.29,997922,11293,11196,642,549
VIP_075,9:00,-71,-7,1.38,2.74,11.9,14.6,330617,1.38,2.22,4.36,168850,11836,26916,4169,651
VIP_076,9:00,-78,-15,0.12,2.59,2.83,18.9,703794,3.11,4.42,9.54,764191,1735,44549,1931,887
VIP_077,9:00,-106,-6,4.92,3.67,0.89,10.4,686484,0.15,1.05,8.8,877702,45210,6238,153,2710
VIP_078,9:00,-111,-13,3.59,2.55,9.74,6.5,684860,0.92,5.34,4.51,641676,17023,29464,2243,647
VIP_079,9:00,-73,-7,1.78,3.68,5.37,20,869636,2.89,4.99,10.67,248396,19136,36004,3002,1582
VIP_080,9:00,-63,-11,2.25,0.46,3.66,6,113502,2.74,1.5,9.01,740093,49583,47267,3766,2910
VIP_081,9:00,-87,-7,0.43,1.99,10.29,7.2,404023,3.44,5.49,0.68,596618,38846,16437,2587,2090
VIP_082,9:00,-96,-9,3.54,1.09,7.9,13.4,532330,1.79,3.61,6.48,698650,15504,39737,4495,1420
VIP_083,9:00,-102,-6,0.43,2.09,3.82,8.6,379656,2.52,0.37,11.16,674788,21416,12944,1029,646
VIP_084,9:00,-106,-16,0.28,4.08,5.9,12.1,101841,5.16,1.42,2.62,264905,4028,47059,3588,1358
VIP_085,9:00,-86,-11,2.91,0.28,0.8,7.1,523622,5.14,4.28,2.92,169510,34214,7887,4338,1857
VIP_086,9:00,-86,-15,1.93,0.78,3.38,14.1,643000,3.71,4.52,0.34,701690,48393,31324,3483,1824
VIP_087,9:00,-64,-16,1.56,2.38,11.53,2.2,417344,2.22,4.16,11.16,149006,25841,16986,4676,68
VIP_088,9:00,-104,-12,5.4,0.89,9.86,16.5,283474,4.66,0.45,9.19,631217,46587,8734,4208,2693
VIP_089,9:00,-120,-12,4.78,4.6,11.55,8.6,377157,2.61,2.87,8.25,205316,47032,42433,3349,2895
VIP_090,9:00,-64,-8,1.19,1.1,10.89,18.8,493287,0.8,0.8,4.27,826239,40746,19616,4732,1337
VIP_091,9:00,-104,-7,1.09,4.99,9.17,17,585012,5.49,3.31,9.81,560949,20646,25870,482,2745
VIP_092,9:00,-62,-6,2.63,0.38,5.16,1.5,270411,1.67,4.53,2.33,872187,14628,3633,2244,506
VIP_093,9:00,-109,-8,2.06,3.09,1.6,6.4,877892,4.84,2.72,3.82,169811,29060,31497,4490,1758
VIP_094,9:00,-89,-8,0.72,1.76,0.47,17.5,233073,1,1.65,7.94,613890,29774,29244,1394,396
VIP_095,9:00,-81,-11,0.31,1.44,3.44,3,252423,2.38,2.68,6.72,936411,46207,45109,1670,1570
VIP_096,9:00,-64,-11,3.35,2.66,4.13,17.8,951044,5.29,1.81,11.21,199153,20077,40282,880,2070
VIP_097,9:00,-81,-7,0.21,0.55,6.1,7.3,975225,1.17,3.66,11.41,931898,28066,13240,3104,2330
VIP_098,9:00,-67,-11,1.56,2.25,11.59,8.5,874915,3.65,0.72,11.82,990666,42244,18020,4485,1141
VIP_099,9:00,-82,-10,1.14,3.22,7.45,12.9,982589,2.77,1.2,3.25,808163,27149,44563,1969,2852
VIP_100,9:00,-116,-15,2.09,3.33,4.77,6.8,754552,5.17,4.07,9.14,625209,12375,48555,935,2098
VIP_101,9:00,-100,-15,0.54,2.79,2.66,6.1,363127,4.86,1.91,2.98,513415,27034,13749,427,2244
VIP_102,9:00,-107,-8,1.39,4.37,5.41,13.3,942974,0.55,4.34,8.35,169794,27183,9342,744,1646
VIP_103,9:00,-95,-12,1.97,0.53,6.47,12.3,225262,3.18,0.83,11.78,470347,44078,18443,4620,254
VIP_104,9:00,-106,-8,3.51,5.3,10.2,11.9,515069,0.27,1.12,5.71,448031,31619,30789,446,2709
VIP_105,9:00,-118,-14,0.81,4.92,7.11,0.7,562796,0.86,2.56,6.16,286046,36544,38925,4568,1311
VIP_106,9:00,-113,-11,4.87,1.55,7.24,11.5,381424,3.7,4.13,4.76,602886,22222,4840,3123,731
VIP_107,9:00,-102,-6,2.33,5.15,1.86,5.4,862026,5.21,3.05,10.14,249747,37534,19767,2495,2541
VIP_108,9:00,-95,-8,4.47,1.78,11.56,3.9,986898,0.15,2.06,6.93,354308,34724,35176,3719,1070
VIP_109,9:00,-94,-13,5.35,0.36,5.84,10.2,769101,3.69,4.93,0.83,283860,13981,47850,1141,1940
VIP_110,9:00,-97,-8,4.53,2.93,8.01,1.9,527252,3.09,0.17,7.51,417226,35842,4587,1050,1235
VIP_111,9:00,-74,-11,2.52,4.47,11.64,13.2,549899,3.67,1.23,4.81,436348,49065,12920,4869,2284
VIP_112,9:00,-84,-11,1.73,4.24,1.75,12.9,491930,3.43,3.22,5.63,857772,42501,18138,2998,2940
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VIP_001,9:05,-69,-16,1.8,4.32,6.99,13.2,481150,0.35,4.96,6.92,181168,6995,25182,786,2909
VIP_002,9:05,-61,-13,2.39,0.25,6.24,7.3,554245,0.85,5.42,7.9,914284,8742,19779,1012,2633
VIP_003,9:05,-78,-10,4.7,0.54,4.14,3.8,671996,2.61,2.74,11.62,242397,32935,19195,913,329
VIP_004,9:05,-95,-12,5.13,4.17,9.48,17.8,365111,0.54,4.08,9.87,149501,40473,27374,1050,118
VIP_005,9:05,-78,-8,3.04,4.67,5.86,11.9,392710,2.98,4.44,7.52,534526,3697,13576,35,2397
VIP_006,9:05,-62,-6,3.45,4.2,1.41,19,740492,1.58,5.03,3.6,666345,43810,12170,4044,1580
VIP_007,9:05,-97,-14,0.4,2.72,6.12,7.8,462174,0.55,2.18,6.49,314325,2952,34980,196,1092
VIP_008,9:05,-67,-6,2.47,3.14,0.78,11.8,848781,1.98,3.96,11.94,512979,15979,3816,974,1949
VIP_009,9:05,-63,-11,2.78,4.61,11.33,20,966312,3.78,3.92,3.73,296601,13177,30043,41,1045
VIP_010,9:05,-86,-9,1.62,0.79,10.32,11.8,444124,3.8,3.78,2.91,827593,25128,47121,1168,276
VIP_011,9:05,-112,-6,1.31,4.08,0.31,3.1,413599,1.69,2.72,1.49,114112,6390,15432,4967,2625
VIP_012,9:05,-116,-14,1.55,0.62,7.39,1.6,282361,2.63,2.39,5.7,739329,29660,24252,4754,249
VIP_013,9:05,-93,-15,3.01,3,8.77,2.9,730787,5.23,1.44,4.76,643141,26830,15967,1287,958
VIP_014,9:05,-83,-9,3.49,3.74,9.94,3,780813,5.1,4.41,9.51,521105,41560,9033,4948,288
VIP_015,9:05,-112,-13,1.05,2.1,8.2,14.8,943202,4.44,0.82,4.29,951233,47147,10630,1054,1952
VIP_016,9:05,-96,-16,2.94,4.24,4.14,2.6,222721,1.42,3.6,0.16,128601,45603,33214,3594,142
VIP_017,9:05,-108,-8,1.61,5.23,4.23,3.1,921661,0.38,0.3,8.9,211292,29206,35094,4120,2285
VIP_018,9:05,-90,-14,2.15,4.42,10.37,17.2,537047,0.22,2.25,9.13,148321,34346,7169,58,537
VIP_019,9:05,-60,-15,4.49,4.63,4.09,17.7,127641,5.21,5.04,9.02,887635,12285,22369,1724,913
VIP_020,9:05,-104,-16,1.49,1.67,11.88,15.5,896031,0.97,2.14,7.66,378300,28012,16288,3589,161
VIP_021,9:05,-98,-6,1.92,4.65,2.78,1.4,512198,0.99,4.84,4.67,739057,37636,12553,2511,1634
VIP_022,9:05,-66,-16,0.27,3.88,2.39,16.1,587599,1.9,3.05,9.14,576281,28422,46486,515,272
VIP_023,9:05,-119,-8,0.92,3.05,5.16,5.3,941994,0.62,1.68,4.41,408847,33250,2352,1101,973
VIP_024,9:05,-66,-10,0.25,4.65,11.81,1.4,280565,1.88,0.67,10.47,396439,20875,29676,2386,1545
VIP_025,9:05,-100,-13,2.08,4.8,8.24,3.4,821227,3.94,0.71,6.63,583243,11297,49956,2230,2698
VIP_026,9:05,-72,-14,2.85,3.1,1.51,6.8,285951,5.35,2.86,1.57,424676,37397,44289,2851,2427
VIP_027,9:05,-104,-7,3.03,3.82,8.18,12.9,703831,2.38,0.95,8.98,311514,28714,29930,977,1756
VIP_028,9:05,-68,-14,3.22,2.43,5.13,9.4,554279,1.57,2.3,5.34,426635,12778,21071,3472,839
VIP_029,9:05,-104,-16,3.88,1.74,4.52,2,295866,4.07,1.56,8.04,536752,19284,10763,3736,425
VIP_030,9:05,-85,-16,2.65,0.21,7.91,1.8,297899,0.53,0.99,4.32,813323,7477,40140,748,442
VIP_031,9:05,-89,-6,0.98,5.18,7.76,5.1,444099,4.75,2.66,11.95,661544,19047,1614,4559,1920
VIP_032,9:05,-98,-12,1.57,2.19,0.24,14.1,745090,4.25,0.57,5.04,735225,19956,29480,141,667
VIP_033,9:05,-84,-10,4.12,5.18,4.08,3.8,433495,2.14,4.33,1.49,105391,37136,29555,4377,2395
VIP_034,9:05,-78,-12,0.15,0.73,7.87,12,986102,1.03,3.56,10.44,953652,49070,10459,4625,2922
VIP_035,9:05,-97,-7,4.85,2.25,3.47,2.4,281541,5.48,4.08,3.06,361944,7094,38673,1270,571
VIP_036,9:05,-82,-8,0.68,2.25,4.28,13.6,125413,4.02,4.53,8.5,918335,15673,44440,1191,825
VIP_037,9:05,-111,-13,0.7,4.36,2.9,15.3,193888,3.3,3.21,10.77,837836,29539,24690,1022,243
VIP_038,9:05,-101,-9,3.02,2.24,7.66,14.2,548868,4.92,0.18,0.24,217601,16433,18035,459,2139
VIP_039,9:05,-102,-15,3.47,2.73,2.75,10.5,305011,2.55,3.86,0.65,272123,18271,40613,230,915
VIP_040,9:05,-81,-13,4.11,2.46,8.52,6.3,957600,3.83,0.2,10.26,493219,19671,8734,2265,2501
VIP_041,9:05,-120,-16,3.8,2.53,0.87,1.3,742958,5.16,3.88,0.4,454413,12259,30277,476,2253
VIP_042,9:05,-113,-7,2.13,1.82,9.21,8.5,532571,2.74,2.57,6.71,814244,28487,48835,4478,1312
VIP_043,9:05,-100,-8,5.44,0.28,4.78,4.3,478891,1,3.63,1.48,667204,9160,1293,2209,2823
VIP_044,9:05,-79,-7,2.07,4.16,4.04,2.5,821041,2.88,4.25,4.58,491846,25437,12470,3335,2210
VIP_045,9:05,-88,-8,1.02,2.67,1.76,18.7,837297,4.14,3.12,7.64,137901,16210,42935,75,2130
VIP_046,9:05,-78,-8,4.64,3.29,5.66,16.7,765323,4.45,4.89,11.7,642262,11064,11902,4713,248
VIP_047,9:05,-92,-14,0.37,4.75,11.99,13.5,306309,0.96,5.5,7.69,530682,25162,17749,1728,1539
VIP_048,9:05,-64,-8,0.87,0.15,3.28,10.4,839984,1.78,2.04,7.35,864698,26309,29956,1192,1274
VIP_049,9:05,-111,-6,1.85,1.3,2.92,3.8,315493,1.36,3.43,10.97,811439,26223,37881,1480,1183
VIP_050,9:05,-97,-10,3.25,4.97,6.26,14.5,492337,3.97,1.17,10.53,663958,20071,36612,4626,2015
VIP_051,9:05,-104,-16,0.17,3.36,3.94,7,518418,4.91,0.32,6.58,840796,45868,1588,536,2470
VIP_052,9:05,-95,-6,2.84,3.69,7.36,6.4,982857,4.75,4.35,2.18,174218,48896,16079,1989,1015
VIP_053,9:05,-71,-16,2.93,0.36,4.17,16.6,732790,2.3,0.96,9.03,703833,48706,34131,4649,855
VIP_054,9:05,-90,-8,1.63,4.44,10.93,5.6,985727,1.19,3.54,7.81,711263,27783,46820,1321,2068
VIP_055,9:05,-63,-14,2.7,4.98,8.96,5.5,792200,5.35,0.39,7.87,693240,25441,43091,4799,279
VIP_056,9:05,-87,-16,0.41,2.65,2.29,4.3,191715,2.69,0.82,11.1,290904,18949,3886,3962,453
VIP_057,9:05,-93,-8,3.66,1.07,9.2,0.9,694657,4.95,4.63,10.54,996001,25218,36119,4911,2492
VIP_058,9:05,-115,-7,1.18,2.78,8.81,8.2,551577,4.92,0.06,9.95,469815,44663,10847,4446,2239
VIP_059,9:05,-77,-9,3.34,2.59,7.55,5.1,239330,1.26,4.79,0.98,356820,39986,18850,4034,1429
VIP_060,9:05,-78,-13,3.82,4.83,3.78,6,346522,4.38,4.68,6.02,445526,44405,15270,1568,1116
VIP_061,9:05,-76,-14,4.16,0.72,4.01,16.9,196561,4.31,1.04,1.24,959509,45053,23855,2930,2347
VIP_062,9:05,-104,-13,1.81,3.89,7.84,8.6,273707,2.63,0.18,10.11,649924,27580,15768,2840,2729
VIP_063,9:05,-64,-15,0.7,3.25,9.93,15.9,298582,2.19,0.66,8.17,509157,5450,46884,3233,2813
VIP_064,9:05,-83,-11,3.23,1.28,11.27,2.1,733683,4.34,2.54,0.91,650815,20015,12287,2834,1790
VIP_065,9:05,-81,-9,3.05,0.21,2.06,3.5,947337,0.97,3.79,11.32,330221,34499,44340,3884,1393
VIP_066,9:05,-107,-7,5.3,1.27,9.2,5.4,418055,0.4,2.91,9.19,967948,28628,46742,1913,886
VIP_067,9:05,-94,-12,1.98,1.32,5.57,18.4,363268,5.22,2.32,2.31,823545,47202,3994,4083,534
VIP_068,9:05,-60,-13,0.94,1.03,0.96,13.1,543038,4.36,4.52,8.58,819989,8425,7750,1484,2437
VIP_069,9:05,-65,-13,5.45,4.64,9.16,15.2,790866,2.46,2.66,0.41,845634,37217,22622,1935,30
VIP_070,9:05,-95,-10,2.09,0.82,3.97,16.5,884601,2.64,4.89,8.62,127883,40536,42263,3323,466
VIP_071,9:05,-101,-12,1.19,5.12,8.45,7.2,567201,3.23,2.94,4.52,732524,44825,16404,114,1353
VIP_072,9:05,-87,-9,3.07,0.98,0.34,6.1,823329,4.21,1.76,4.12,750947,41773,9929,1560,2681
VIP_073,9:05,-86,-10,3.03,1.05,1.66,13.3,158753,2.46,4.07,3.27,971724,30524,16176,2370,972
VIP_074,9:05,-99,-6,0.8,2.55,9.42,10.6,312517,0.71,0.93,3.31,828347,48973,37254,1391,2772
VIP_075,9:05,-92,-16,1.93,2.03,10.38,14.7,564698,4.52,5.49,0.44,390805,12422,1415,4276,1815
VIP_076,9:05,-81,-15,3.33,0.16,5.03,17.2,665586,3.31,3.41,3.38,263897,1994,4950,2538,407
VIP_077,9:05,-104,-13,5.09,5.01,5.86,4.7,565728,0.49,1,10.3,342535,44315,12155,498,1952
VIP_078,9:05,-106,-14,1.05,4.91,4.63,19.3,530274,0.93,0.41,0.43,405286,15393,35525,2628,794
VIP_079,9:05,-110,-10,3.36,0.89,1.86,14,656630,0.08,4.99,0.92,229400,6988,2398,3671,1593
VIP_080,9:05,-63,-12,5.2,2.54,3.12,5.8,852157,3.9,0.47,6.12,830973,39505,40887,313,2860
VIP_081,9:05,-87,-6,4.6,2.92,1.09,0.7,238792,2.61,1.23,9,990468,16989,24231,1568,653
VIP_082,9:05,-80,-6,1.85,3.46,11.94,5.6,486652,3.72,0.36,7.83,671573,2398,39430,3854,2961
VIP_083,9:05,-65,-14,5.05,2.67,1.42,19.3,775490,3.1,3.05,8.77,296475,40149,47907,4907,2609
VIP_084,9:05,-73,-16,5.33,2.26,7.69,5.5,518879,4.97,1.95,2.07,567874,18091,2152,2926,406
VIP_085,9:05,-67,-6,2.88,3.71,11.22,2.3,119394,2.47,0.74,3.55,259573,42775,21811,3390,740
VIP_086,9:05,-86,-12,1.5,3.54,6.08,9.6,725988,5.13,4.18,4.85,950136,16840,1457,288,1525
VIP_087,9:05,-96,-15,3.93,0.21,11.58,6.8,591806,3.51,2.04,5.81,311107,8987,15704,1344,2274
VIP_088,9:05,-85,-15,1.8,5.42,5.9,17.1,669009,3.42,3.06,5.5,233672,35430,37879,2452,1467
VIP_089,9:05,-115,-14,2.21,3.68,2.46,8.1,922255,3.96,4.58,7,912385,29358,10866,2945,1352
VIP_090,9:05,-116,-13,4.79,0.07,2.26,12.9,933874,5.01,4.18,3.26,743811,15270,5686,1896,1218
VIP_091,9:05,-72,-9,0.92,3.36,1.92,12.4,407075,4.56,1.97,7.07,272614,44389,21666,2588,1253
VIP_092,9:05,-80,-15,2.7,4.58,9.37,12.4,531585,3.81,2.69,0.3,845601,9802,30480,172,1276
VIP_093,9:05,-66,-6,2.16,5.41,5.5,4.5,771439,5.09,0.53,9.51,196388,15156,5134,3916,1803
VIP_094,9:05,-65,-12,3.92,1.67,9.69,7,103572,1.98,3.14,7.01,613236,43421,26892,2884,835
VIP_095,9:05,-90,-16,0.51,2.09,11.88,8.1,758004,4.6,4.9,0.63,819090,20965,18943,4177,1026
VIP_096,9:05,-113,-14,2,2.58,9.36,9.1,703598,0.37,2.04,10.39,439177,45839,46484,2147,1642
VIP_097,9:05,-101,-14,1.46,3.12,8.29,5.5,557082,5.46,2.94,8.28,568692,43017,6593,1176,2924
VIP_098,9:05,-102,-13,0.52,1.14,0.35,13.2,108733,5.03,0.21,5.9,124474,25468,35292,1056,2566
VIP_099,9:05,-98,-13,1.62,4.09,11.51,20,532586,3.74,0.92,4,311833,34329,24626,226,609
VIP_100,9:05,-92,-8,2.73,0.49,6.41,15.2,445199,5.24,0.96,5.3,597338,14558,47142,3135,1017
VIP_101,9:05,-80,-14,5.05,5.2,3.89,16.5,494895,2.54,5.2,5.61,264536,42208,29844,4411,2104
VIP_102,9:05,-87,-15,1.2,3.31,4.49,1,409009,2.8,3.23,6.39,477621,33135,27036,2323,1152
VIP_103,9:05,-72,-7,4.94,2.09,9.42,4.1,608675,4.91,4.3,3.46,521396,37985,33301,1276,2070
VIP_104,9:05,-101,-11,0.29,2.02,8.11,8.5,510454,2.26,1.64,10.55,250725,47074,10677,4695,2783
VIP_105,9:05,-74,-8,0.43,1.84,9.68,9.6,260203,3.84,4.81,4,723624,6236,45913,2534,1741
VIP_106,9:05,-75,-13,2.59,3.69,2.58,3.9,117063,0.45,2.05,1.42,103058,10441,28058,2753,1461
VIP_107,9:05,-100,-15,3.28,0.2,5.42,8.3,643164,4.05,5.04,8.69,476803,35249,35670,3384,1402
VIP_108,9:05,-113,-14,4.24,4.75,4.46,15.9,820018,4.63,3.34,11.59,539696,3813,33133,1200,1971
VIP_109,9:05,-96,-8,2.07,3.32,7.53,17.7,642796,3.46,3.03,7.2,175733,38883,12057,4280,1407
VIP_110,9:05,-97,-14,2.22,4.21,4.9,9.6,969395,1.76,2.84,10.31,859102,30457,4758,3099,2029
VIP_111,9:05,-64,-7,1.86,5.1,11.56,0.7,597792,0.56,0.84,10.93,645049,32444,10509,4931,1704
VIP_112,9:05,-91,-14,3.09,4.84,10.41,19.1,201363,4.61,2.42,1.36,784364,16591,4413,1958,1177
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
