,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
VIP_045,0:00,-91,-14,5.09,0.77,7.74,9.7,241272,1.56,5.36,5.7,339033,18881,7732,2128,1706
VIP_046,0:00,-92,-10,4.73,2.15,1.4,16.1,271452,3.24,5.04,5.68,159454,19043,28003,242,2280
VIP_047,0:00,-71,-8,2.08,3.08,6.93,19.6,760029,3.73,5.22,3.8,333880,19880,20209,357,149
VIP_048,0:00,-69,-11,1.14,5.19,1.87,17.7,839575,4.53,5.39,2.95,284453,12943,40277,4513,985
VIP_049,0:00,-110,-12,4.45,0.1,10.44,17.2,248988,5.34,3.63,6.91,322239,13758,23051,513,2789
VIP_050,0:00,-102,-7,1.01,5.48,1.86,1.6,470671,1.82,0.42,9.35,995405,20935,2848,2480,1691
VIP_051,0:00,-88,-14,0.37,0.11,2.8,17.4,937836,0.55,2.75,1.85,519495,17329,15667,1236,2238
VIP_052,0:00,-115,-9,3.52,0.47,6.83,8.4,489618,0.4,1.95,0.97,529264,24600,9110,3141,956
VIP_053,0:00,-86,-15,4.15,3.68,0.32,18.4,775213,2.36,2.5,10.8,405904,17532,38512,1813,1886
VIP_054,0:00,-114,-15,0.88,2.37,1.93,12.4,558104,3.84,0.66,3.76,932241,45976,29517,827,1245
VIP_055,0:00,-108,-11,5.07,2.15,1.48,4.7,670922,3.28,0.97,5.3,350390,35925,49524,1980,1313
VIP_056,0:00,-64,-16,2.81,4.46,5.23,9,400477,4.22,4.86,2.11,468904,10158,19616,2773,1902
VIP_057,0:00,-79,-9,4.18,1.43,9.48,19.3,841990,4.71,3.73,8.26,541826,42327,38638,1377,2898
VIP_058,0:00,-68,-11,1.15,0.94,7.89,14.3,236109,2.79,4.31,6.23,411168,4944,25108,4555,1111
VIP_059,0:00,-116,-11,1.51,0.7,7.43,7.3,463407,3.72,3.27,8.42,544369,21744,27156,4431,1407
VIP_060,0:00,-107,-8,3.07,1.93,3.88,3.2,570065,5.03,0.71,5.41,175040,20116,28399,4572,1301
VIP_061,0:00,-94,-6,5.21,4.2,9.2,2.4,393947,2.21,1.36,2.6,505911,7755,1807,2368,519
VIP_062,0:00,-113,-16,3.11,2.93,9.45,13,196328,2.58,3.74,1.21,644950,24947,39807,4243,644
VIP_063,0:00,-83,-10,2.87,2.23,2.37,12.9,906005,1.37,3.13,5.4,786774,29381,30387,4153,1904
VIP_064,0:00,-80,-13,4.35,2.14,4.2,2.5,601590,5.15,5.27,6.44,439410,11346,40240,3669,1019
VIP_065,0:00,-91,-10,4.7,1.48,0.87,14.6,184603,4.16,4.19,3.29,336616,45142,15437,1395,1783
VIP_066,0:00,-103,-8,1.91,4.73,11.61,1.9,716841,3.62,3.08,10.51,470860,2104,33244,2145,2072
VIP_067,0:00,-62,-12,4.6,5.13,3.12,12,276210,3.65,2.24,1.31,162973,21384,12038,2655,238
VIP_068,0:00,-70,-16,0.69,2.93,1.38,17.8,206375,3.93,4,11.94,164368,42676,27578,4435,2731
VIP_069,0:00,-106,-12,2.38,1.86,11.05,9.7,445016,4.4,1.24,7.85,479230,12634,29186,1405,282
VIP_070,0:00,-90,-12,2.16,2.08,7.38,8,392768,0.71,0.52,5.06,156838,19011,12531,2203,2090
VIP_071,0:00,-102,-6,4.18,4.78,7.49,18.9,763017,4.01,4.03,7.42,333005,37621,16458,4926,2908
VIP_072,0:00,-79,-12,5.43,0.1,1.17,3.7,996955,1.71,3.11,8.59,701139,39099,9208,4140,2210
VIP_073,0:00,-65,-10,3.41,1.27,11.3,11.1,318791,2.01,0.1,6.78,959856,8554,5959,2440,1023
VIP_074,0:00,-115,-11,5.28,5.5,8.19,7.1,106150,5.28,5.01,3.54,496099,30039,36417,4197,2803
VIP_075,0:00,-70,-8,2.51,0.78,3.04,4.7,300018,2.42,1.64,3.59,124284,39711,20272,532,2275
VIP_076,0:00,-89,-7,4.59,3.8,1.5,12.7,227014,1.29,0.73,7.87,102382,10147,8159,1278,13
VIP_077,0:00,-60,-8,3.66,0.82,5.63,13.3,350437,1.69,0.59,5.88,144579,40016,4051,1354,1377
VIP_078,0:00,-112,-12,1.81,4.03,5.28,15.8,327099,1.19,2.19,4.96,301883,15913,34711,673,1455
VIP_079,0:00,-92,-9,4.24,1.75,2.16,13.2,672306,2.52,0.95,9.87,548992,20411,6261,4249,780
VIP_080,0:00,-101,-15,5.47,4.35,5.26,17.7,987042,5.47,4.3,4.94,677518,44367,12798,3218,2525
VIP_081,0:00,-75,-7,2.6,5.1,4.93,8.2,485151,5.41,0.2,10.05,664716,29537,24667,4003,1984
VIP_082,0:00,-88,-10,1.67,3.18,10.04,12.8,924216,2.44,0.99,0.63,206828,21236,27331,4436,1149
VIP_083,0:00,-67,-12,3.47,0.55,5.46,8.6,265762,3.78,5.08,7.22,724242,21470,25491,3396,1537
VIP_084,0:00,-68,-15,0.92,3.08,2.65,19.7,135700,4.07,2.5,4.62,146006,13671,25323,2870,1964
VIP_085,0:00,-103,-9,5.19,0.1,7.29,7.6,417204,1.16,1.37,7.83,202148,27523,18078,3781,2312
VIP_086,0:00,-113,-9,4.99,1.12,5.85,11.8,131239,1.19,4.78,5.17,740854,35725,20124,2810,1715
VIP_087,0:00,-99,-16,5.45,2.12,11.5,11.2,274629,4.19,0.59,8.59,166417,8308,6188,2747,751
VIP_088,0:00,-63,-8,4.78,3.27,5.29,16.5,662912,3.78,1.71,0.63,753824,12458,35361,1356,2487
VIP_089,0:00,-104,-7,4.64,0.6,8.44,16.2,834484,1.35,1.42,0.22,194473,20399,10114,2414,1475
VIP_090,0:00,-107,-16,1.61,0.07,9.63,8.4,976287,1.5,4.13,5.52,475793,24103,9562,860,2063
VIP_091,0:00,-78,-10,2.68,1.64,9.9,13.1,517266,3.08,4.55,4.09,788133,27766,16534,1939,2222
VIP_092,0:00,-63,-9,3.56,5.31,11.78,7,794378,1.93,4.19,4.32,780693,30237,40840,1426,2356
VIP_093,0:00,-74,-7,1.01,1.5,10.19,13.4,968130,4.49,0.26,8.67,194297,17019,30781,2898,2464
VIP_094,0:00,-63,-13,4.48,5.13,7.94,5.4,707257,5.15,0.82,9.4,649015,38436,48318,296,857
VIP_095,0:00,-64,-13,0.74,3.3,8.3,10.8,393871,0.13,4.81,1.24,579008,8672,39301,2679,2828
VIP_096,0:00,-74,-7,0.55,2.66,9.17,19.7,463929,4.08,1.02,11.39,652966,19078,45127,2720,1307
VIP_097,0:00,-78,-9,4.4,4.97,2.13,4.9,978591,5.5,3.42,4.63,990048,26065,39271,3716,1619
VIP_098,0:00,-72,-9,2.15,4.73,3.85,9,578385,0.19,5.32,0.49,484877,36810,34911,1406,628
VIP_099,0:00,-64,-7,0.42,1.43,8.9,1.2,802822,1.22,4.48,1.14,255966,43134,4887,2035,133
VIP_100,0:00,-77,-14,0.93,0.3,7.94,14.2,838478,0.11,5.46,11.04,684088,21457,2827,493,809
VIP_101,0:00,-105,-11,1.27,3.01,8.85,17,851367,3.23,0.21,8.75,310242,38253,38340,40,1023
VIP_102,0:00,-98,-6,4.18,1.45,5.01,2.6,286956,2.05,3.89,5.72,403571,48128,39728,4297,463
VIP_103,0:00,-91,-15,3.83,2.85,11.63,12.7,233371,4.27,3.15,1.07,391816,36021,17902,3311,1970
VIP_104,0:00,-85,-6,2.87,1.19,2.94,4.1,102803,2.22,5.15,10.17,809218,48754,5772,4856,2279
VIP_105,0:00,-72,-8,0.3,2.71,9.74,6.2,791260,4.31,1.45,10.68,959807,37922,36414,57,2607
VIP_106,0:00,-75,-16,4.21,3.51,9.62,0.9,749350,1.39,3.77,3.56,265148,4577,28656,3610,447
VIP_107,0:00,-80,-7,0.86,2.24,8.41,5.8,955775,3.21,5.27,5.09,264460,22626,45411,4805,928
VIP_108,0:00,-81,-12,2.79,4.08,5.9,11.4,542701,3.29,1.42,11.58,858374,6602,16426,936,2394
VIP_109,0:00,-105,-6,1.18,2.06,11.52,17.6,641560,4.87,3.87,11.19,742800,28050,29854,407,385
VIP_110,0:00,-62,-11,1.13,0.18,7.12,5.4,177995,1.74,4,2.83,897322,4943,23037,4642,982
VIP_111,0:00,-64,-7,2.61,4.71,1.13,14.4,386272,0.29,2.04,3,708841,46719,47381,1594,2287
VIP_112,0:00,-66,-11,3.28,2.81,1.8,1.5,413671,4.12,2.17,10.16,531393,29757,31339,3637,963
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VIP_001,1:00,-99,-12,1.26,5.2,5.88,11.8,619031,0.89,3.69,8.83,526990,7639,41816,1666,2734
VIP_002,1:00,-110,-16,2.02,5.25,0.32,9.5,227151,2.04,0.52,10.4,774387,44045,22939,601,409
VIP_003,1:00,-84,-15,4.22,0.99,9.52,10.6,703955,1.94,5.22,2.52,927817,37235,40959,1732,510
VIP_004,1:00,-97,-6,3.63,1.54,7.21,7.1,129541,1.62,3.17,7.54,707662,47326,3120,4065,954
VIP_005,1:00,-84,-12,1.38,4.57,10.22,16.6,131795,5.23,0.07,6.37,779257,14344,9493,34,980
VIP_006,1:00,-63,-8,1.15,1.36,2.47,3.6,472115,3.52,1.74,10.46,773461,12884,22414,4987,410
VIP_007,1:00,-100,-9,3.77,1.29,1.48,12.9,463096,0.74,4.74,8.34,800683,2661,23380,3012,1700
VIP_008,1:00,-69,-12,4.58,2.98,5.23,16.7,491809,2.42,5.06,5.93,861445,13903,32405,1729,658
VIP_009,1:00,-66,-16,0.69,4.45,0.23,6.6,588193,0.48,5.09,11.9,255275,18757,25552,1534,1209
VIP_010,1:00,-88,-16,2.03,4.27,10.55,2,750289,3.63,1.93,7.65,561573,19649,26794,421,914
VIP_011,1:00,-67,-15,4.68,4.02,11.5,18.8,221708,4.88,2.65,10.07,834948,45786,31555,2841,2386
VIP_012,1:00,-97,-12,0.82,2.15,8.76,10.1,977701,2.95,2.75,11.49,588585,29275,22646,3563,2486
VIP_013,1:00,-77,-15,5.34,3.84,4.81,10.2,933038,3.36,3.99,5.43,850136,37076,15408,586,1221
VIP_014,1:00,-85,-10,4.53,2.84,6.85,7.2,184889,4.42,4.08,11.86,944231,5144,13121,1132,2035
VIP_015,1:00,-77,-16,0.11,1.03,11.06,17.8,416083,0.75,3.86,4.81,914415,10001,17280,4466,2642
VIP_016,1:00,-70,-12,4.52,4.71,2.23,19.5,610154,3.39,3.31,2.6,103652,32704,27724,3724,800
VIP_017,1:00,-68,-14,4.68,3.35,5.25,0.6,457000,0.25,2.74,3.25,719954,12903,15130,3431,2393
VIP_018,1:00,-89,-9,3.98,1.73,10.09,2.9,907158,0.48,1.7,8.43,676767,16556,26371,69,705
VIP_019,1:00,-70,-16,5.17,0.33,4.77,7.4,578546,1.22,0.23,5.01,676228,34412,37723,3617,2893
VIP_020,1:00,-118,-7,0.54,2.19,1.47,13.5,425671,0.96,4.93,4.72,112015,46397,26200,2632,2112
VIP_021,1:00,-68,-10,3.78,3.57,3.13,16.5,480392,2.73,0.61,11.29,253420,2292,16960,3284,1532
VIP_022,1:00,-85,-7,0.33,1.87,1.97,13.6,758961,5.27,0.3,8.84,358475,24378,19745,554,2865
VIP_023,1:00,-92,-8,2.32,3.43,3.17,9.3,304552,2.42,2.46,6.48,354152,9162,27597,801,1245
VIP_024,1:00,-68,-9,3.01,5.09,8.81,8,254130,4.34,4.81,6.43,904952,33563,42603,516,2151
VIP_025,1:00,-89,-10,2.33,4.88,1.79,2.5,753635,5.45,3.78,3.81,843686,33442,21972,2031,270
VIP_026,1:00,-92,-9,3.35,0.82,8.35,3.8,264893,4.76,1.98,1.46,473112,33937,8209,3656,2192
VIP_027,1:00,-75,-15,0.38,5.41,8.12,11.8,840549,4.12,2.18,11.78,788483,32207,7222,2331,42
VIP_028,1:00,-93,-11,3.68,0.27,11.97,17.8,408105,4.38,4.86,7.27,924043,45671,17287,1287,916
VIP_029,1:00,-80,-11,1.97,3.43,5.38,1.4,484881,1.27,4.73,10.13,265962,10091,43994,4996,2244
VIP_030,1:00,-66,-14,2.95,4.4,7.88,16.3,629097,4.65,3.44,6.12,141514,25327,46561,1399,1718
VIP_031,1:00,-103,-10,4.14,1.03,1.08,12.7,647059,5.4,3.64,0.29,911409,8575,47625,1166,732
VIP_032,1:00,-63,-8,4.96,4.11,1.63,3.2,662358,4.6,2.02,11.03,877096,41450,5469,4868,1638
VIP_033,1:00,-77,-15,2.12,2.81,7.15,12.4,889428,3.46,3.64,4.63,659109,24856,10057,3154,587
VIP_034,1:00,-68,-8,2.64,3.32,3.35,12.6,869156,1.61,4.64,10.24,489621,46234,43734,3816,2818
VIP_035,1:00,-80,-6,3.51,4.86,10.22,17.7,174454,4.37,4.39,4.57,801921,35572,5443,3929,236
VIP_036,1:00,-120,-12,2.66,3.71,3.81,15.9,214454,5.44,0.7,7.01,915042,49309,8386,621,2858
VIP_037,1:00,-109,-9,4.84,2.96,5.67,3.7,102042,2.25,2.37,8.13,542840,3740,15806,560,855
VIP_038,1:00,-102,-13,3.75,5.21,4.86,10.5,700641,1.97,2.89,8.04,565823,37473,21246,1683,283
VIP_039,1:00,-94,-15,4.17,0.48,11.96,2.9,452864,1.31,4.64,5.43,745554,29509,16317,1038,46
VIP_040,1:00,-110,-6,1.49,1.02,3.31,6.9,154189,2.89,4.26,8.13,429992,34685,41092,4583,1157
VIP_041,1:00,-103,-8,5.27,0.79,8.19,15.4,517978,2.01,3.58,0.69,726642,17150,36086,2178,2938
VIP_042,1:00,-85,-9,2.34,1.81,10.3,12.3,875980,4.06,0.34,9.39,847566,26151,41340,2053,1335
VIP_043,1:00,-64,-8,3.34,4.94,0.62,14.8,894588,3.79,2.89,7.12,742971,20930,38180,4295,407
VIP_044,1:00,-77,-8,1.2,5.1,9.54,7,109081,2.81,1.13,8.54,254725,18260,29818,1217,2233
VIP_045,1:00,-75,-15,4.27,0.36,4.35,3.8,777535,0.49,0.1,2.95,463345,23725,39395,2730,2800
VIP_046,1:00,-79,-15,3.09,4.61,2.14,8,386909,5.12,3.21,8.65,464090,6188,19686,2779,691
VIP_047,1:00,-98,-11,0.62,2.13,11.35,3.8,707816,1.33,4.02,2.07,801539,40093,45410,2682,1223
VIP_048,1:00,-92,-12,4.6,0.73,7.33,15.1,668731,1.19,4.83,0.81,757113,21499,42758,4683,1520
VIP_049,1:00,-86,-13,3.69,5.05,7.32,6.4,300623,4.89,4.9,4.72,704682,27324,43812,4134,1177
VIP_050,1:00,-70,-13,0.22,4.55,3.18,2,726569,1.02,4.77,0.37,471557,32467,22748,2929,1689
VIP_051,1:00,-74,-14,3.98,4.21,8.32,19.6,621851,2.09,1.71,3.99,333191,6032,41816,1721,2908
VIP_052,1:00,-62,-15,1.77,0.98,3.38,14.6,101924,2.55,1.8,0.78,155040,10666,13912,3321,2298
VIP_053,1:00,-77,-14,5.07,3.68,11.03,8,817366,2.88,2.71,7.01,895324,40161,5319,3438,1809
VIP_054,1:00,-108,-13,3.32,4.76,9.72,8.7,428536,2.72,4.88,2.7,725783,23895,3067,4776,841
VIP_055,1:00,-102,-14,0.78,5.23,3.73,4.7,379806,0.41,4.58,3.85,685642,11049,39100,555,2162
VIP_056,1:00,-71,-13,4.87,2.54,6.78,16.2,614015,2.7,1.43,1.46,152946,34506,36260,3801,1720
VIP_057,1:00,-70,-10,0.92,4.3,7.43,19.5,192281,2.95,5.36,5.17,860288,2497,20442,1323,2470
VIP_058,1:00,-103,-11,4.25,2.38,10.31,16.5,870380,2.15,2.08,3.59,937023,36751,29050,1134,2333
VIP_059,1:00,-74,-11,3.96,0.93,5.83,8.3,461510,1.52,4.85,9.57,104076,33322,45400,1670,435
VIP_060,1:00,-60,-6,0.08,2.38,1.72,18.5,619464,4.3,2.94,10.04,919057,43628,3434,1920,2519
VIP_061,1:00,-62,-11,0.59,4.25,6.89,12.9,295969,0.07,5.16,3.81,428284,7389,15375,2234,2409
VIP_062,1:00,-72,-9,2.27,2.79,0.23,1,412405,1,3.79,7.1,246796,2853,29404,3420,1677
VIP_063,1:00,-102,-14,3.49,0.97,3.8,11.7,394724,1.19,0.64,1.92,695096,45806,5004,4780,913
VIP_064,1:00,-109,-9,4.25,4.6,10.57,8.8,921766,0.76,5.18,9.19,165312,35831,26710,774,2910
VIP_065,1:00,-119,-8,2.92,4.58,0.23,19.8,986437,3.53,3.66,5.69,597453,49181,23866,942,884
VIP_066,1:00,-94,-9,3.92,2.69,5.39,15.7,433361,4.19,0.11,10.72,936501,43530,32371,4612,325
VIP_067,1:00,-107,-7,0.5,1.72,4.13,13,314585,1.9,4.1,8.14,659041,15073,27912,4494,304
VIP_068,1:00,-93,-8,3.48,2.51,11.71,16.4,799980,1.56,0.7,4.67,737948,14882,38966,4696,1075
VIP_069,1:00,-94,-15,4.58,2.51,9.35,9.7,231933,4.72,4.49,1.34,419245,32667,3677,3336,1579
VIP_070,1:00,-112,-15,2.33,3.42,2.24,12.2,533670,4.44,4.05,7.68,338321,5032,46836,337,1352
VIP_071,1:00,-78,-8,0.64,4.84,9.38,11.5,943997,2.68,5.13,0.88,797109,6347,13531,4475,216
VIP_072,1:00,-65,-7,1.29,3.5,5.98,17.3,546910,2.67,4.89,4.55,524367,39049,2164,2709,1485
VIP_073,1:00,-60,-16,4.64,0.29,2.57,13.7,888272,4.26,2.26,6.5,504700,16947,1203,1395,96
VIP_074,1:00,-62,-14,0.54,5.16,1.59,7.6,901223,5.44,3.4,4.81,780181,46383,19058,526,2388
VIP_075,1:00,-84,-6,3.77,5.03,11.96,14.4,197205,5.04,3.23,7.64,147865,42398,29511,1094,568
VIP_076,1:00,-119,-8,5.44,5.4,7.66,19.8,323785,5.26,5.38,6.07,119133,27229,14150,2105,1710
VIP_077,1:00,-102,-13,3.48,3.31,0.32,10.1,684687,0.88,4.65,1.96,136266,1340,48318,1205,1271
VIP_078,1:00,-70,-9,4.33,0.65,9.08,4,546012,2.05,5.14,8.96,463562,25154,10307,92,1486
VIP_079,1:00,-113,-15,2.6,5.47,7.59,4.5,481320,3.89,0.53,0.27,452978,47245,14456,3957,2949
VIP_080,1:00,-116,-13,3.31,3.2,7.32,15.1,280221,4.59,4.27,4.03,386351,4065,47035,2293,309
VIP_081,1:00,-93,-8,1.98,3.38,11.85,16.1,624758,1.23,5.06,9.59,470593,5835,43520,4469,18
VIP_082,1:00,-86,-12,2.05,2.54,8.71,16.8,618125,3.7,0.19,5.32,863998,21764,39556,1068,896
VIP_083,1:00,-116,-12,1.91,2.42,9,8.7,116170,4.19,2.95,7.33,583398,27004,4134,2035,398
VIP_084,1:00,-73,-8,0.35,2.39,8.23,2.8,247467,4.41,4.26,0.19,661018,16841,42790,4096,1257
VIP_085,1:00,-84,-13,2.51,0.36,4.68,12.3,602715,2.61,5.4,9.92,508957,29056,49043,1343,2089
VIP_086,1:00,-77,-10,4.14,3.86,2.29,2.9,844616,3.56,5.24,9.06,419502,8303,22797,1003,1317
VIP_087,1:00,-86,-14,2.82,2.15,1.74,16.5,612648,3.58,1.03,10.65,637491,36893,22334,1080,565
VIP_088,1:00,-112,-10,4.84,3.41,10.19,17.6,597998,3.05,1.15,10.66,584023,2784,31064,4577,812
VIP_089,1:00,-111,-12,3.09,2.16,9.27,15.8,611852,1.27,1.7,8.04,986736,18372,29844,4717,2896
VIP_090,1:00,-93,-11,4.67,0.86,8.63,16.4,553260,4.1,4.41,7.96,243806,3391,35350,3013,2689
VIP_091,1:00,-80,-14,0.45,1.27,9.81,1.4,624748,2.88,4.14,8.01,528900,3204,13765,3517,2716
VIP_092,1:00,-111,-10,2.11,5.19,10.16,1.2,147722,0.76,3.78,2.16,173893,15688,2823,594,1486
VIP_093,1:00,-117,-7,1.1,4.52,11.27,12.4,720992,1.11,4.38,7.76,818679,9677,48551,1521,534
VIP_094,1:00,-79,-11,3.48,1.42,2.95,1.2,130590,3.99,4.16,6.3,466489,30913,47614,2894,1445
VIP_095,1:00,-115,-10,3.37,4.72,8.38,6.9,786139,5.05,1.17,5.03,497123,8377,21511,2767,644
VIP_096,1:00,-93,-11,0.36,2.95,5.87,14.9,989043,4.22,5.28,1.68,454376,48472,8311,409,2160
VIP_097,1:00,-119,-6,2.07,0.11,9.59,11.5,302468,3.25,1.39,3.25,242236,22166,46467,1107,383
VIP_098,1:00,-77,-15,1.23,3.73,3.18,9.9,783110,4.26,0.51,0.06,961032,18442,17969,3542,2948
VIP_099,1:00,-104,-14,0.76,5.29,3.47,14.9,363812,5.1,3.71,7.12,840220,39061,48635,2559,1543
VIP_100,1:00,-69,-7,1.99,2.54,6.77,5.2,572416,1.45,2.82,8.76,349742,2549,15341,672,194
VIP_101,1:00,-95,-14,5.32,5.44,8.66,15.7,976122,0.07,1.23,6.28,254746,39220,28180,1731,2534
VIP_102,1:00,-92,-8,4.88,3.83,2.98,4.2,399587,5.21,3.44,2.14,747467,49785,2027,4369,840
VIP_103,1:00,-62,-9,2.93,1.9,5.63,10,803586,5.16,5.37,3.12,836933,13639,44178,3299,582
VIP_104,1:00,-74,-11,1.33,4.8,0.67,12.4,282531,3.03,1.07,2.67,491842,19740,37341,3204,2056
VIP_105,1:00,-97,-16,2.79,0.31,10.89,6.3,184219,4.21,2.44,1.45,278479,7741,49390,1146,658
VIP_106,1:00,-102,-14,0.5,4.32,4.6,1.1,695430,3.22,4.4,8.77,749442,4974,32520,2373,2868
VIP_107,1:00,-62,-11,1.6,2.05,8.57,10.7,281582,1.81,4.43,11.21,257783,22314,8669,2806,2980
VIP_108,1:00,-75,-11,0.41,2.49,9.37,17.7,738904,2.24,5.43,5.98,795619,37579,17613,3353,2537
VIP_109,1:00,-108,-8,3.68,1.02,7.67,13.1,650966,4.86,4.12,10.99,836331,28596,46188,2829,2113
VIP_110,1:00,-92,-8,5.49,4.84,4.98,8.6,770301,5.06,1.79,8.39,784919,45687,18671,920,1815
VIP_111,1:00,-109,-6,2.4,3.64,11.85,1.9,861481,0.9,0.44,2.59,813193,37614,32874,1862,1101
VIP_112,1:00,-81,-11,3.72,5.39,9.13,3,418605,3.37,3.37,6.71,477090,42002,42796,289,2376
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
