Time,Cell Name,eNodeB ID,eNodeB Name,TAC,Region,Subregion,Latitude,Longtitude,Overall CEI,Data CEI,VoLTE CEI,Streaming CEI,Gaming CEI,IM CEI,Data-RRC Setup SR (%),Data-Call Setup time (ms),Data-ERAB Setup SR (%),Data-Attech SR (%),Data-Bearer Create SR (%),Data-Retransmissions (%),Data-Throughput (Mbps),VoLTE-RRC Setup SR (%),VoLTE-Call Setup time (ms),VoLTE-Drop Call Rate (%),VoLTE-ERAB Setup SR (%),VoLTE-Registration SR (%),VoLTE-Registration Latency (ms),VoLTE-MOS,Streaming-Throughput (Mbps),Streaming-Latency (ms),Streaming-Retransmissions (%),Streaming-Buffering Time (msec),Streaming-The number of Rebuffering,Streaming-MOS,Streaming-Jitter,Streaming-Dropped Frame Rate (%),Streaming-Inter Packet delay (msec),Streaming-Packet Loss Rate,Gaming-Throughput (Mbps),Gaming-Latency (ms),Gaming-Retransmissions (%),Gaming-MOS,Gaming-Jitter,Gaming-Dropped Frame Rate (%),Gaming-Inter Packet delay (msec),Gaming-Packet Loss Rate (%),IM-Throughput (Mbps),IM-Latency (ms),IM-Retransmissions (%),IM-Dropped Frame Rate,IM-Inter Packet delay (msec),IM-Packet Loss Rate (%)
1200,745853-9,745853,Blk 925 Yishun Central,710,YSH,N,1.427583333,103.8375556,76.17,73.72,66.41,71.66,75.35,75.76,83.71,781.92,81.03,85.26,85.31,7.91,0.05,84.9,1787.98,6.83,84.27,80.23,917.37,1,0.24,778.86,19.83,3491.06,14.54,1,419.3,8.87,446.78,10.08,0.33,502.29,4.01,2,451.04,7.81,313.77,18.83,0.39,1509.08,7.84,9.97,208.75,17.61
1200,746753-7,746753,Blk 866 Yishun St 81,710,YSH,N,1.414722222,103.8373333,67.54,71.6,65.74,66.03,61.53,66.31,84.7,904.54,83.07,81.93,89.75,8.86,0.41,82.58,1434.34,12.27,86.44,85.79,841.82,1,0.25,552.07,12.46,3167.4,15.39,2,235.49,15.03,380.63,8.23,0.29,1977.65,5.21,2,459.95,9.77,342.35,15.2,0.44,666.35,11.56,16.91,400.81,19.77
1215,735893-2,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,79.52,73.44,68.72,75.61,65.6,71.21,87.13,858.61,89.8,81.16,83.68,8.34,0.1,87.15,781.79,17.72,86.61,89.14,1249.11,2,0.28,594.79,10.38,3169.67,14.44,1,218.98,8.49,314.8,16.72,0.49,510.92,8.09,1,236.81,19.33,430.6,9.47,0.16,540.33,17.17,17.41,290.07,6.46
1215,735893-7,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,63.1,74.01,66.95,76.69,79.36,77.33,82.96,1142.93,87.08,81.1,84.36,5.97,0.4,86.29,589.46,7.63,85.61,89.08,1413.08,1,0.05,952.65,10.86,3666.47,11.3,1,382.2,15.51,346.2,6.54,0.33,1014.65,9.3,1,313.53,10.61,488.36,16.53,0.14,994.09,17.24,6.92,233.4,13.76
1215,736643-5,736643,Blk 114 Yishun Ring Road Lobby C D,710,YSH,N,1.435027778,103.8270278,67.43,79.48,64.93,68.63,70.42,69.1,85.87,1106.86,88.71,82.04,87.09,9.59,0.02,88.92,843.37,19.33,87.89,89.03,792.45,1,0.24,1647.76,4.76,2431.93,14.25,2,231.33,6.58,432.46,18.2,0.03,1342.09,16.11,1,218.25,17.38,450.69,8.75,0.47,1986.41,12.86,14.84,411.3,11.82
1215,736663-5,736663,Blk 141 Yishun Ring Rd,710,YSH,N,1.430777778,103.8305833,61.12,69.51,61.31,61.04,79.75,61.89,87.69,1806.6,82.64,81.81,86.17,5.76,0.17,88.45,858.35,5.74,83.27,81.11,685.21,2,0.37,1881.22,4.33,3204.29,15.56,2,465.57,14.31,329.96,13.16,0.38,1294.24,13.92,2,421.64,15.8,264.76,14.86,0.18,1798.12,14.35,9.24,261.64,16.85
1215,736743-14,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,63.22,73.01,72.97,77.76,78.72,71.63,83.62,912.56,86.71,89.24,87.81,4.8,0.29,88.41,1056.51,14.4,87.98,80.63,1399.92,2,0.42,1598.83,12.53,4489.6,19.49,2,305.61,17.28,378.32,11.36,0.41,974.35,18.34,1,480.95,14.84,372.39,18.08,0.43,546.38,8.45,9.46,248.59,14.75
1215,736743-2,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,65.1,72.22,76.15,68.7,60.29,76.01,87.64,1438.53,88.64,84.04,86.77,2.16,0.37,83.8,852.11,8.72,83.77,86.22,1641.53,1,0.02,1616.23,9.99,2747.12,19.99,2,294.93,11.3,439.9,9.05,0.06,616,11.6,1,366.85,13.54,385.57,6.96,0.11,1942.58,9.88,7.41,287.16,18.36
1215,737213-9,737213,Blk 652 Yishun Ave 4,710,YSH,N,1.423555556,103.8401944,72.04,65.83,62.85,67.57,70.32,70.08,80.45,720.25,89.99,89.35,80.91,5.77,0.38,81.31,1286.54,14.25,86.28,89.25,1534.21,1,0.26,781.26,14.07,2779.8,13.76,1,223.98,11.25,378.24,16.68,0.2,1451.39,5.23,1,362.89,11.28,380.87,17.73,0.32,1278.19,7.07,6.92,247.43,7.1
1215,742233-1,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,71.7,70.34,62.11,77.46,71.31,63.1,81.81,917.61,82.49,85.24,81.06,4.74,0.41,83.88,1878.54,8.92,81.99,83.5,1628.86,2,0.28,530.45,11.29,2942.67,11.09,2,206.94,13.74,316.19,6.64,0.04,552.61,17.85,2,270.52,8.29,278.38,7.51,0.07,706.53,13.76,13.33,353.72,19.62
1215,742233-7,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,61.08,77.26,64.96,71.97,69.77,74.61,86.45,1774.42,83.81,84.5,86.42,9.56,0.24,83.49,1005.77,6.62,88.27,87.01,1421.16,1,0.15,1887.96,15.44,3949.93,19.91,1,353.19,12.48,466.92,19.05,0.3,1983.15,3.82,1,377.58,8.71,209.67,9.28,0.21,692.46,16.42,16.97,405.21,8.3
1215,742233-9,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,66.23,69.29,75.45,72.9,62.46,67.06,89.13,1584.25,80.71,88.92,80.2,6.56,0.28,85.89,530.7,15.53,87.24,83.95,855.98,1,0.17,1774.88,10.22,3202.54,19.14,2,426.48,8.99,470.45,16.59,0.33,837.18,13.5,1,234.64,18.78,376.96,8.95,0.23,1118.37,16.4,13.71,262.38,19.34
1215,745853-9,745853,Blk 925 Yishun Central,710,YSH,N,1.427583333,103.8375556,69.7,78.77,64.98,64.22,78.56,60.21,84.24,1324.1,88.83,85.74,80.65,3.87,0.03,83.11,854.27,18.88,82.46,87.19,1827.03,1,0.05,571.24,12.87,3149.47,10.67,2,429.55,9.03,378.83,6.34,0.13,700.43,18.31,2,403.23,12.3,339.18,8.76,0.13,1215.82,15.43,19.67,393.11,6.47
1215,746753-7,746753,Blk 866 Yishun St 81,710,YSH,N,1.414722222,103.8373333,78.81,60.89,79.56,69.19,74.07,62.87,84.69,1518.37,82.41,83.93,85.61,2.57,0.3,86.5,745,13.75,83.97,89.83,837.92,2,0.42,1490.41,4.69,3370.7,12.64,2,435.66,10.92,375.25,6.49,0.35,825.48,7.82,2,335.09,10.05,302.15,11.01,0.19,1956.12,13.18,6.9,325.48,6.99
1230,735893-2,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,71.7,73.05,60.65,72.85,64.16,67.15,80.23,1419.84,80.78,81.78,83.98,9.29,0.14,88.13,517.17,12.1,82.42,88.71,1300.46,2,0.43,976.21,4.76,3858.15,18.82,1,333.46,6.24,289.32,6.14,0.25,1511.3,12.41,1,231.36,7.3,427.43,17.48,0.28,606.34,13.32,11.43,295.67,9.64
1230,735893-7,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,60.65,64.15,62.96,75.43,65.9,66.98,85.67,1511.13,82,83.07,80.99,7.24,0.12,86.2,1338.64,9.8,85.39,82.34,1446.82,1,0.01,1709.86,18.06,2630.53,16.99,2,460.45,14.72,367.89,8,0.33,545.49,13,1,436.45,7.19,234.68,15.4,0.28,1206.48,15.43,18.4,442.94,15.31
1230,736643-5,736643,Blk 114 Yishun Ring Road Lobby C D,710,YSH,N,1.435027778,103.8270278,64.15,78.94,67.59,74.35,68.33,76.78,85.77,661.46,88.9,89.63,84.41,4.81,0.26,88.82,1402.65,19.57,81.64,81.15,1867.03,1,0.34,1559.59,13.99,4123.05,16.02,2,294.5,7.14,221.51,16.71,0.26,1801.9,9.82,1,388.2,12.14,449.13,17.28,0.23,1665.1,7.71,17.99,478.09,18.65
1230,736663-5,736663,Blk 141 Yishun Ring Rd,710,YSH,N,1.430777778,103.8305833,66.26,63.07,67.13,61.6,72.79,77.9,81.81,1467.99,85.16,88.27,83.26,9.12,0.25,81.18,571.37,19.53,83.94,88.66,1351.81,2,0.02,1254.55,18.04,3276.54,13.04,1,314.62,11.36,300.88,18.3,0.45,1562.24,9.35,1,254.03,18.24,278.39,8.63,0.17,1566.23,11.45,13.99,403.4,9.49
1230,736743-14,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,65.27,62.95,66.81,76.75,79.68,65.34,81.63,553.33,89.91,82.32,87.37,3.63,0.37,87.42,1126.75,6.69,81.82,89,692.03,1,0.27,1057.03,16.27,3026.84,11.86,2,325.08,15.88,385.91,10.63,0.03,1499.81,13.45,1,338.28,16.9,375.51,8.05,0.09,1470.26,9.27,10.94,304.77,9.22
1230,736743-2,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,64.04,75.99,60.85,64.7,69.55,68.19,86.26,585.98,85.54,80.2,83.97,5.12,0.15,83.25,1996.2,5.1,82.24,87.25,780.76,1,0.08,1981.84,14.27,3229.12,11.46,1,419.82,10.55,326.49,15.59,0.14,1210.49,15.96,1,321.35,19.26,482.32,19.42,0.39,1114.05,11.27,19.45,348.8,11.14
1230,737213-9,737213,Blk 652 Yishun Ave 4,710,YSH,N,1.423555556,103.8401944,75.78,63.74,67.32,61.13,74.33,71.94,86.78,1163.66,82.79,81.85,86.89,6.19,0.03,84.98,671.19,18.3,84.27,84.89,1544.39,1,0.18,1014.23,4.25,4123.24,13.82,2,497.4,19.09,490.32,12.87,0.42,749.98,15.08,1,460.01,12.3,392.91,13.1,0.42,745.74,7.56,12.99,367.71,9.82
1230,742233-1,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,67.49,74.11,60.11,73.26,73.35,61.08,82.2,1371.53,82.28,86.52,81.36,9.8,0.25,89.55,1399.75,14.51,85.58,84.24,1400.23,1,0.3,1365.5,10.21,4350.06,11.24,2,433.2,18.46,399.1,11.12,0.37,1827.15,10.85,2,379.69,13.57,343.48,9.51,0.12,1822.15,9.26,19,238.66,15.96
1230,742233-7,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,77.58,76.1,63.77,61.56,79.97,69.24,81.29,1723.85,83.79,82.35,89.39,4.32,0.16,87.33,629.03,8.57,89.73,87.46,1057.66,2,0.37,1321.22,11.17,2726.3,13.98,2,429.19,8.13,298.5,11.85,0.29,1816.41,7.96,2,479.93,8.02,369.26,10.02,0.37,913.71,9,13.78,497.88,11.43
1230,742233-9,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,68.6,66.69,63.54,69.18,71.22,78.91,80.43,1120.62,80.51,85.53,89.21,2.22,0.5,80.27,1428.13,19.57,86.03,85.34,1617.71,1,0.44,813.36,17.79,2148.61,14.39,2,401.85,16.72,477.13,9.82,0.13,1374.96,4.07,1,292.58,11.08,489.87,18.33,0.48,637.75,14.33,6.44,227.85,6.72
1230,745853-9,745853,Blk 925 Yishun Central,710,YSH,N,1.427583333,103.8375556,69.43,66.55,66.97,79.39,68.19,63.91,81.23,1672.5,87.76,83.86,83.15,4.77,0.5,89.66,1724.01,11.66,89.02,89.67,820.86,2,0.23,1981.39,10.1,3767.88,15.55,1,280.03,9.54,303.79,13.47,0.21,1023.56,8.36,2,453.64,6.08,346.29,10.58,0.31,1336.42,8.56,11.44,338.68,19.43
1230,746753-7,746753,Blk 866 Yishun St 81,710,YSH,N,1.414722222,103.8373333,76.56,67.71,77.15,78.42,72.57,71.28,87.12,1633.89,87.91,87.87,85.87,9.41,0.27,83.23,1452.15,5.71,85.51,83.22,779.11,1,0.46,544.49,11.4,4748.48,19.14,2,448.73,14.98,213.19,11.5,0.09,1089.08,15.88,1,268.67,11,420.91,14.12,0.29,635.45,16.75,14.25,268.67,14.25
1245,735893-2,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,71.4,76.15,77.25,61.99,72.31,71.64,86.93,1724.28,88.64,88.6,84.45,2.67,0.14,86.21,788.2,19.42,84.54,82.19,1292.14,2,0.06,739.84,5.02,2159.99,15.03,2,332.92,17.08,491.83,6.09,0.39,1528.99,11.39,1,204.65,12.48,247.25,9.89,0.32,1827.65,11.2,13.99,333.12,16.23
1245,735893-7,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,77.59,74.2,78.79,73.27,75.5,77.67,83.61,1823.32,82.66,83.03,80.93,4.41,0.26,89.72,1928.17,7.46,82.37,83.77,1468.59,2,0.1,1144.82,14.81,4137.73,16.46,2,396.38,8.7,432.34,15.44,0.27,1523.15,16.14,2,499.34,8.68,375.19,11.08,0.37,1573.39,6.7,16.46,213.33,13.2
1245,736643-5,736643,Blk 114 Yishun Ring Road Lobby C D,710,YSH,N,1.435027778,103.8270278,74.17,67.02,76.57,72.02,78.71,66.34,83.16,1267.52,82.68,80.29,85.36,2.74,0.43,80.47,1251.19,7.92,85.49,81.91,783.77,1,0.16,1494.83,7.41,3357.63,12.44,1,262.6,8.35,362.72,9.31,0.39,1503.79,5.6,1,363.6,7.1,499.67,13.16,0.36,605.43,8.97,12.76,378.73,12.36
1245,736663-5,736663,Blk 141 Yishun Ring Rd,710,YSH,N,1.430777778,103.8305833,70.22,79.96,68.29,73.2,69.7,77.88,80.1,1446.39,86.08,86.01,81.51,7.33,0.21,89.48,551.01,3.17,82.36,82.79,1244.12,1,0.42,1783.65,16.29,3995.36,18.61,2,240.74,7.84,386.65,7.59,0.36,873.67,4.51,2,259.98,10.31,430.17,17.69,0.09,1516.56,9.35,17.86,272.27,17.31
1245,736743-14,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,79.61,65.79,76.47,73.58,73.72,67.92,82.51,632.85,88.56,87.24,81.06,7,0.28,82.17,1681.41,4.51,81.47,85.14,1597.99,2,0.41,1521.56,5.93,2363.17,16.41,2,319.06,18.2,332.89,10.71,0.07,1152.68,12.72,2,224.77,17.42,238.63,13.99,0.25,1389.13,15.07,10.46,338.18,6.68
1245,736743-2,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,60.01,67.86,76.08,72.05,70.52,60.09,89.85,1190.47,82.92,86.07,80.18,8.78,0.07,84.28,1904.93,12.2,85.47,83.2,1432.12,2,0.06,1821.78,17.69,4984.49,13.55,2,455.01,6,391.83,18.74,0.07,980.07,8.81,1,209.73,16.43,461.75,9.66,0.45,1091.14,11.43,16.52,451.79,15.01
1245,737213-9,737213,Blk 652 Yishun Ave 4,710,YSH,N,1.423555556,103.8401944,71.75,64.11,73.5,70.39,74.89,64.01,86.72,1360.39,89.71,82.31,81.44,6.02,0.35,85.41,765.17,9.71,83.92,83.79,1601.83,1,0.11,1032.35,5.63,3372.9,17.66,1,394.91,7.01,352.68,7,0.28,930.58,16.75,1,300.54,14.17,415.68,11.62,0.27,1545.91,14.16,17.27,405.86,8.37
1245,742233-1,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,62.09,69.81,65.45,60.97,61.74,75.3,85.58,1613.1,80.45,80.23,80.11,6.49,0.44,81.97,1115.68,4.12,86.31,82.1,1643,1,0.47,1812.05,14.68,2215.55,19.93,2,286.12,10.99,312.07,6.57,0.5,722.78,8.96,1,302.96,10.91,312.76,12.53,0.37,1250.19,16.97,6.62,213.78,10.78
1245,742233-7,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,69.76,74.56,60.26,75.09,76.66,64.11,87.01,1107.99,84.82,88,88.09,4.06,0.29,82.74,1133,19.92,85.84,80.32,870.88,2,0.12,1796.04,6.72,2486.84,17.11,2,463.99,7.56,370.13,14.11,0.36,864.83,11.02,2,348.95,16.99,316.94,8.76,0.07,1653.6,16.6,10.81,497.01,9.6
1245,742233-9,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,62.25,67.36,77.73,76.8,64.43,79.62,85.29,1166.05,88.4,85.86,85.03,6.82,0.11,80.06,1070.37,18.76,84.45,89.25,765.98,2,0.27,804.94,17.07,4239.34,12.14,2,239.12,7.12,404.47,9.97,0.42,1806.58,12.21,1,355.08,9.24,333.79,17.79,0.12,1843.75,15.16,18.48,477.04,19.6
1245,745853-9,745853,Blk 925 Yishun Central,710,YSH,N,1.427583333,103.8375556,67.95,77.12,65.28,72.18,70.82,69.34,83.27,1527.65,84.67,88.42,88.82,3.08,0.5,83.8,1951.1,15.27,81.7,86.47,1384.55,2,0.46,1016.39,12.2,4768.51,17.7,2,368.48,15.55,311.23,10.14,0.5,894.8,6.78,2,431.2,15.79,258.87,15.92,0.27,552.6,9.09,7.32,480.64,16.87
1245,746753-7,746753,Blk 866 Yishun St 81,710,YSH,N,1.414722222,103.8373333,77.02,75.84,68.12,79.91,66.08,72.17,85.66,989.33,86.85,88.86,82.24,6.99,0.23,82.24,559.09,17.77,81.71,82.79,1563.67,2,0.03,1913.43,12.81,3185.19,14.01,1,344.25,14.03,343.68,19.76,0.02,1318.41,4.24,2,448.21,18.06,340.16,16.95,0.04,976.42,6.44,18.88,233.72,11.59
1300,735893-2,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,99.65,72.25,99.3,96.48,96.31,97.24,89.8,1112.36,88.65,80.53,86.77,5.12,0.12,99.31,108.24,0.54,99.81,98.89,98.31,5,4.22,63.72,0.44,896.31,2,5,49.23,0.01,62.56,0.82,3.18,73.39,0.19,4,53.3,0.26,34.75,0.95,1.13,35.24,0.37,0.56,22.93,0.42
1300,735893-7,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,96.81,71.26,97.39,99.13,97.23,98.3,87.22,1999.58,85.16,88.25,86.09,3.94,0.03,97.34,208.14,0.65,98.66,97.58,39.41,4,1.38,89.48,0.45,492.64,1,4,42.99,0.55,74.85,0.94,2.1,34.98,0.03,5,75.85,0.57,99.96,0.88,1.25,23.82,0.21,0.52,16.69,0.38
1300,736643-5,736643,Blk 114 Yishun Ring Road Lobby C D,710,YSH,N,1.435027778,103.8270278,68.72,78.78,74.15,60.45,61.24,79.46,80.67,955.44,80.71,85.6,88.27,9.12,0.37,89.06,1898.12,10.64,88.62,89.9,829.95,1,0.19,1865.64,18.98,3741.42,15.49,1,400.99,17.72,337.74,8.56,0.24,1351.93,18.95,1,346.94,7.82,391.29,15.28,0.2,1558.1,12.56,16.26,417.85,15.92
1300,736663-5,736663,Blk 141 Yishun Ring Rd,710,YSH,N,1.430777778,103.8305833,99.43,74.56,95.91,98.68,96.36,98.56,86.38,1083.72,83.14,80.98,81.14,2.22,0.38,99.05,202.59,0.32,99.88,98.64,79.59,5,3.91,41.29,0.13,800.59,2,4,45.33,0.28,70.92,0.6,1.1,18.45,0.26,5,71.09,0.64,34.14,0.46,2.49,35.83,0.05,0.22,77.79,0.54
1300,736743-14,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,73.47,63.26,73.47,70.15,76.97,69,85.57,996.2,89.14,82.87,88.64,8.69,0.44,88.65,1592.45,8.51,89.87,86.56,1132.54,1,0.46,898.14,8.22,3675.21,15.91,2,406.55,17.12,211.47,9.34,0.49,1486.84,9.18,2,386.47,8.14,401.45,12.37,0.31,1202.29,6.57,8.48,368.53,15.11
1300,736743-2,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,72.62,74.64,60.33,62.96,76.39,74.32,88.11,1149.2,87.74,82.92,89.56,7.38,0.46,86.8,660.61,7.85,85.75,83.22,1663.54,2,0.39,1848.71,6.42,4392.64,10.17,2,237.56,12.14,431.87,12.23,0.03,1896.7,17.91,1,458.41,10.22,325.21,15.88,0.32,1980.75,13.31,10.15,211.94,15.99
1300,737213-9,737213,Blk 652 Yishun Ave 4,710,YSH,N,1.423555556,103.8401944,60.12,73.75,64.76,72.73,70.53,76.11,84.92,1601.62,85.7,80.89,83.81,3.24,0.2,81.94,961.63,11.2,80.94,89.27,1542.66,1,0.33,1571.89,19.74,4079.08,18.87,2,274.04,10.39,308.11,16.62,0.44,1542.96,17.12,1,265.12,17.57,367.1,10.18,0.21,1079.92,17.67,17.25,381.43,9.04
1300,742233-1,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,97.2,74.2,97.35,95.62,99.19,99.53,85.67,904.42,85.93,89.45,83.64,3.94,0.48,97.34,119.77,0.82,97.98,97.03,38.72,4,2.39,56.17,0.08,913.61,2,4,21.45,0.13,69.72,0.41,2.17,71.23,0.29,4,42.05,0.25,64.27,0.98,3.65,99.76,0.05,0.7,49.39,0.27
1300,742233-7,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,70.56,78.01,79.15,77.22,69.7,61.44,84.8,1921.44,84.99,89,87.81,5.48,0.43,88.62,1125.39,14.16,88.69,86.2,1020.54,2,0.06,1872.9,6.56,4265.89,12.5,1,441.71,14.49,300.48,8.37,0.32,542.21,12.34,2,479.73,13.17,222.26,9.8,0.37,993.24,19.38,7.61,416.56,17.86
