,,,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
Norway,NetCom TeliaSonera,242/02,0:00,-66,-9,4.24,0.9,9.03,15.2,975481,5.18,5.45,10.36,774988,44375,48852,1329,1728
Estonia,EMT,248/01,0:00,-100,-10,3.03,4.69,6.56,4.6,523505,1.6,4.67,1.04,858184,34446,36254,844,741
Russia,Vimpelcom Beeline (KB Impuls),250/99,0:00,-98,-15,0.55,2.66,8.3,8.7,323515,0.31,2.46,0.81,347856,27508,7699,501,1335
Poland,P4 Play,260/06,0:00,-80,-14,1.74,2.53,8.17,5.2,666548,1.1,1.71,3.09,965718,33554,43651,3587,2360
Germany,E-Plus,262/03,0:00,-69,-16,1.89,3.02,10.06,17.1,653959,4.16,0.86,1.68,129104,36610,35371,1974,2459
Germany,Telekom Deutschland (T-Mobile),262/01,0:00,-84,-11,3.04,2.07,6.94,5.7,997344,3.31,3.25,4.87,139375,46555,21691,4953,1489
Germany,Telefonica O2/viag,262/07,0:00,-120,-9,0.77,3.95,10.88,6.7,269411,4.44,3.59,2.33,150965,49227,32458,3622,2882
Portugal,TMN,268/06,0:00,-65,-6,4.11,2.48,0.2,4.2,465069,0.11,3.17,1.01,296689,33811,29319,2509,663
Turkey,AVEA (IS-TIM Aria),286/03,0:00,-101,-8,4.97,4.8,7.02,10.7,743821,1.53,3.7,0.42,112028,35018,14872,904,1475
MACEDONIA,T-Mobile (Mobimak),294/01,0:00,-93,-11,2.36,4.57,10.67,8.2,930120,4.66,0.84,1.04,469915,3760,48395,4137,193
Canada,Rogers Wireless,302/61,0:00,-76,-9,4.34,1.18,5.16,6.9,400928,2.61,1.92,8.07,572730,32254,39189,4912,122
Canada,Rogers Wireless,302/22,0:00,-69,-16,2.13,2.98,1.55,14.8,318088,4.74,3.52,1.27,502707,2925,36992,310,43
United States of America ,AT&T,310/41,0:00,-118,-12,3.81,3.87,4.3,18.5,743951,3.52,4.26,10.96,671609,16950,31023,3894,2747
United States of America ,T-Mobile,310/26,0:00,-60,-14,3.85,3.89,3.94,3.7,684078,4.45,5.11,3.68,196726,43524,34225,2152,2444
United States of America ,Southern Communications dba Southern LINC,310/15,0:00,-109,-16,3.32,2.9,8.42,19.3,633408,0.8,4.21,1.41,665910,33155,35146,4017,1895
Unted States,Verizon Wireless,311/48,0:00,-117,-11,1.11,1.41,6.22,0.7,361574,4.41,0.5,4.8,147956,46802,14836,34,1904
India,Airtel (Kolkata),404/31,0:00,-98,-6,4.96,3.85,7.69,14.7,928238,5.49,0.37,4.52,910500,11248,12432,2132,2248
India,Airtel (Andhra Pradesh),404/49,0:00,-120,-6,4.88,4,8.41,2.5,895035,4.41,5.34,5.77,750632,19427,31011,909,2184
India,Airtel (Mumbai),404/92,0:00,-105,-12,4.33,1.78,3.45,18,182360,1.44,4.5,6.57,680171,8512,41530,2655,1263
India,Airtel (Kerala),404/95,0:00,-72,-13,5.11,0.56,4.34,15,438513,4.11,3.03,9,339704,40816,13508,4611,2632
India,AirTel (Chennai),404/03,0:00,-114,-11,2.78,1.07,10.68,17.8,836601,3.56,2.26,2.15,478841,9942,7422,3296,1373
India,Vodafone India (Mumbai) Hutchison Orange,404/20,0:00,-77,-14,2.93,1.55,4.16,16.4,218462,3.18,1,8.53,529031,43099,17184,2853,1529
India,Airtel (Karnataka),404/45,0:00,-119,-14,3.05,4.93,1.93,3.6,695371,2.39,1.31,5.9,546065,9747,15163,3633,1530
India,Airtel (Maharashtra & Goa),404/90,0:00,-110,-15,0.68,5.14,7.23,5.2,979089,1.08,4.67,0.8,909270,46359,37022,2725,609
India,India(404),404/94,0:00,-61,-12,1.79,5.15,2.53,16.8,859001,1.02,4.23,3.56,213473,10156,2827,4727,2428
India,AirTel (Chennai),404/02,0:00,-70,-16,5.5,0.89,2.11,4.4,688348,4.33,2.14,6.79,969524,1817,10962,1648,1913
India,Airtel (Uttar Pradesh W),404/97,0:00,-70,-6,5.5,0.22,1.27,14.1,669247,2.91,0.15,8.3,193668,34026,40705,1816,1109
India,Vodafone (New Delhi) Hutchision Essar,404/11,0:00,-89,-15,5.17,4.1,8.82,2.7,592971,3.62,0.38,7.09,916622,17058,35382,1427,976
India,AirTel (Chennai),404/40,0:00,-116,-8,3.01,2.6,2.9,8.9,280935,5.16,4.94,4.47,327429,26645,27588,4285,1039
India,"Airtel (Rajasthan),Hexacom",404/70,0:00,-119,-13,4.56,4.9,5.97,18.9,189236,0.93,3.07,7.69,391216,8641,9586,2650,1703
India,Airtel (Madhya Pradesh),404/93,0:00,-79,-12,5,2.49,5.76,15.3,543825,0.08,1.75,10.78,935064,13945,27642,5000,2185
India,Airtel (Haryana),404/96,0:00,-100,-11,3.37,1.12,7.26,17.1,810529,3.37,3.65,11.9,281368,15274,10702,4144,1055
India,Airtel (Delhi),404/10,0:00,-89,-10,0.13,0.9,0.47,8.8,918898,0.95,2.93,6.54,959732,21008,47651,2889,2978
India(405),,405/52,0:00,-120,-14,2.21,0.22,0.74,14.5,493102,2.2,1.34,11.64,319756,12993,48661,1576,2234
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,0:00,-91,-10,2.35,5.14,5.48,10.1,550522,2.28,2.43,2.59,153161,36356,25962,329,933
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,0:00,-88,-7,4.53,1.07,8.92,9.6,108502,2.04,0.36,6,392980,24152,13721,4838,2817
Sri Lanka,Bharti Airtel,413/05,0:00,-66,-12,2.73,0.58,0.69,14.8,868822,1.44,4.04,3.46,731316,31254,6564,1362,2661
Sri Lanka,Dialog Axiata (ex MTN),413/02,0:00,-102,-6,2.69,3.2,4.92,4.9,456206,3.6,1.64,0.91,613940,34695,28997,3276,1784
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,0:00,-62,-16,3.67,2.14,4.77,17.7,138686,0.72,0.55,11.14,600455,13818,12810,348,101
Myanmar,Ooredoo Myanmar,414/05,0:00,-94,-14,2.33,3.41,10.46,11.2,973208,4.9,3.36,0.66,607996,34982,5618,3008,206
Myanmar,Myanmar Post and Telecommunication,414/01,0:00,-109,-13,1.22,4.8,10.77,11.5,289442,0.96,4.84,6.94,937183,30160,38656,3933,384
Saudi Arabia,Mobily,420/03,0:00,-87,-11,4.54,4.61,0.1,4.5,511094,4.39,3.05,7.58,184028,19877,38284,4352,2471
Saudi Arabia,Saudi Telecom Company,420/01,0:00,-87,-6,3.51,3.46,2.99,19.1,860934,0.9,1.9,11.05,442374,47600,34039,1737,2447
United Arab Emirates,Etisalat(UAE),424/02,0:00,-94,-8,1.92,0.81,7.72,19.5,541767,5.01,4.49,6.04,727578,7050,49804,2896,649
Bahrain,Batelco,426/01,0:00,-120,-7,2.51,2.7,2.44,16.9,559074,0.12,0.48,11.61,870250,37365,4378,850,1011
Qatar,Q-Tel,427/01,0:00,-60,-7,2.67,3.81,10.97,14.7,263150,1.97,4.05,4.07,600409,21080,19436,4404,1631
Japan,NTT Docomo,440/10,0:00,-93,-9,3.4,1.75,1.96,10.9,468235,4.63,3.76,1.71,826179,8574,36020,459,1509
Japan,Soft Bank (Vodafone KK),440/20,0:00,-78,-6,5.01,3.03,5.44,6.1,541369,1.22,3.72,11.89,836726,44373,1021,3167,1290
South Korea,LGT Telcom,450/06,0:00,-83,-15,0.56,0.81,4.12,19.7,273546,3.68,0.53,11.73,790905,26945,12459,2432,2972
South Korea,SK Telecom,450/05,0:00,-115,-12,4.03,4.23,2.36,2.7,927012,2.1,4.73,2.47,108172,30617,5351,2231,2414
Vietnam,Viettel,452/04,0:00,-87,-10,1.43,1.57,6.98,6.2,748228,2.27,1.27,10.51,868238,9317,9498,2234,2277
Vietnam,Vinaphone,452/02,0:00,-65,-8,0.91,0.59,8.32,7.6,986560,0.43,1.58,8.41,735521,48198,34824,4166,2509
Vietnam,Vietnam Mobile Telecom (VMS),452/01,0:00,-102,-15,1.99,2.99,11.79,17.9,161159,5,5.46,4.38,177099,20781,39193,2137,2221
Hongkong,CSL (C&W),454/00,0:00,-81,-7,4.2,4.95,2.64,9.2,598573,0.34,4.2,3.31,796405,16286,44373,1783,1013
Hongkong,PCCW-HKT Telephone Limited,454/19,0:00,-71,-11,3.68,1.14,8.33,13.9,346906,4.07,4.8,6.44,139028,42323,31455,4688,133
Hongkong,China Mobile - Peoples,454/12,0:00,-81,-7,0.48,3.53,10.58,15.3,516231,3.95,4.83,10.33,975067,10150,1978,1133,261
Hongkong,H3G(HONG KONG),454/03,0:00,-120,-12,4.46,2.2,4.74,4.8,744415,0.88,4.02,9.58,953388,24825,29201,421,2619
Macao,Hutchison 3,455/03,0:00,-95,-8,4.3,2.8,10.53,8.8,693368,3.66,2.91,11.04,699815,43199,39279,1838,1333
Macao,CTM,455/01,0:00,-96,-7,5.04,3.93,11.76,18.2,975196,4.6,2.41,0.45,250870,32409,1712,2429,1179
CAMBODIA,CamGSM Mobitel,456/01,0:00,-119,-6,3.41,3.9,0.43,5.4,186067,4.71,3.97,10.33,124340,36377,40420,4261,1533
CAMBODIA,Viettel,456/08,0:00,-106,-16,3.56,1.04,10.16,3.6,109239,4.26,5.34,3.48,578269,19498,13055,3959,109
CAMBODIA,Latelz Co. Ltd,456/06,0:00,-108,-7,0.08,1.35,2.98,8.2,890202,5.36,1.64,3.39,999237,14253,1429,3100,2902
China,China Mobile,460/00,0:00,-81,-16,0.84,2.12,0.9,13.3,670320,0.94,2.74,4.88,400567,13140,30945,3899,1733
China,China Mobile,460/07,0:00,-82,-11,2.14,0.66,4.84,17.5,770252,3.42,3.04,0.47,836645,42984,10023,760,1036
China,China Mobile,460/02,0:00,-102,-13,2.47,3.27,0.09,8.4,368526,4.15,1.67,11.4,541467,42279,43519,416,977
China,China Unicom,460/01,0:00,-74,-7,3.99,1.41,3.78,7.5,685509,3.86,3.68,9.99,747807,2356,43407,3789,678
Taiwan,Taiwan Mobile (ex TCC),466/97,0:00,-87,-12,4.14,4.45,1.88,4.7,446253,2.4,2.95,8.74,400484,38774,47002,4445,2298
Taiwan,Chunghwa Telecom,466/92,0:00,-107,-11,2.17,4.62,11.31,13.4,119416,2.91,3.25,3.02,587434,39267,41054,3417,1352
Taiwan,Fareastone,466/01,0:00,-95,-7,1.52,4.51,7.32,19.5,524254,4.78,0.61,11.39,610025,44504,18099,487,810
Malaysia,Maxis,502/12,0:00,-109,-16,5.17,3.53,11.94,1.4,889218,5.26,3.72,1.63,351248,24720,25865,1118,544
Malaysia,Celcom,502/19,0:00,-66,-14,4.21,4.99,10.88,14.1,526558,3.13,2.34,11.31,583874,3673,40234,3676,2320
Malaysia,U Mobile Sdn Bhd,502/18,0:00,-110,-9,4.25,3.49,0.88,16.3,377308,0.05,4.79,0.49,777881,10564,43629,4653,409
Malaysia,DiGi  Telecommunication,502/16,0:00,-91,-12,2.68,3.48,2.78,5.8,376029,0.83,4.46,0.28,601484,9066,6425,4068,111
Australia,Optus,505/02,0:00,-76,-16,2.91,1.7,11.5,6.3,348944,3.27,4.11,0.77,489479,35249,35338,1000,2477
Australia,Telstra,505/01,0:00,-64,-15,2.65,2.16,9.69,7.8,715975,1.06,4.66,1.6,949592,7263,3532,4283,1791
Indonesia,Telkomsel,510/10,0:00,-101,-14,5.48,1.73,11.88,13.2,550101,2.36,4.14,10.18,922525,31987,21081,2693,2192
Indonesia,Hutchison,510/89,0:00,-106,-12,3.55,0.85,9.68,2,194700,4.51,1.25,7.19,328311,43705,21695,4335,1847
Indonesia,Excelcom Indo,510/11,0:00,-72,-14,2.57,1.38,4.91,16.7,272035,1.94,3.47,2.94,438290,48343,33340,1200,2069
Philippines,Globetel,515/02,0:00,-104,-6,2.92,1.46,8.36,13.1,447375,2.38,3.36,7.8,130731,48330,21765,2117,476
Philippines,Digitel (Sun Cellular),515/05,0:00,-96,-12,5.1,3.85,10.8,16.3,730259,0.67,4.16,6.18,166581,6799,43307,3429,1758
Thailand,Advanced Wireless Network Company Ltd.,520/03,0:00,-98,-12,3.08,0.33,0.54,11.8,322632,2.27,4.47,6.13,513255,44095,43670,3923,2585
Thailand,True Move  HSPA,520/00,0:00,-75,-13,4.5,5.16,6.99,19.7,157817,4.88,0.84,9.97,149403,29979,16624,3049,868
Thailand,Total Access (DTAC),520/05,0:00,-120,-12,0.35,4.71,5.34,8.9,550528,2.22,3.35,4.81,174366,26066,23041,750,1228
Singapore,Starhub,525/05,0:00,-91,-14,3.14,0.41,2.61,0.7,914231,4.77,0.89,2.2,842553,24472,16997,2642,2489
Singapore,Mobile One,525/03,0:00,-119,-16,4.71,4.25,3.46,2.5,380713,0.5,0.16,2.84,450651,48500,29278,4669,1592
Brunei,B-Mobile,528/02,0:00,-86,-12,5.45,5.21,7.82,14.6,815056,2.17,3.92,8.78,600022,35267,7362,741,483
Brunei,DST,528/11,0:00,-90,-9,0.16,1.54,0.18,3.1,439758,0.42,3.23,7,723174,8740,25238,444,374
New Zealand,Telecom New Zealand,530/05,0:00,-75,-15,4.15,5.06,10.19,4,914007,5.35,4.13,2.46,240076,39698,23934,3554,1448
New Zealand,Vodafone(NEW ZEALAND),530/01,0:00,-79,-8,1.31,3.16,9.83,19.3,246120,4.04,3.85,11.59,824956,43543,15692,841,824
New Zealand,Two Degrees (NZ Communications),530/24,0:00,-95,-16,1.29,1.11,0.84,14.6,927151,4.6,1.09,7.58,834720,15110,12839,453,365
Morocco,Itissalat Al Maghrib (Mobile GSM),604/01,0:00,-97,-6,2.94,2.8,7.34,1.6,815149,2.74,0.8,0.25,589384,36087,11441,3868,1271
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Netherlands,Vodafone(NETHERLANDS),204/04,1:00,-84,-13,4.83,1.4,11.9,3,533197,5.04,3.4,10.53,673429,31116,8694,2312,789
Netherlands,T-mobile (ex Ben),204/16,1:00,-109,-6,0.97,4.3,3.89,6.1,883888,5.44,4.52,0.52,700644,41588,29848,4355,2232
Netherlands,KPN (iBasis),204/08,1:00,-64,-14,3.09,5.2,7.93,3.6,613972,3.3,4.88,11.28,245220,16941,3676,3598,302
Belgium,Belgacom Mobile,206/01,1:00,-101,-7,2.13,0.33,0.4,14.5,426798,1.22,2.33,0.55,793420,40685,35298,3243,1677
France,Bouygues,208/20,1:00,-71,-16,1,3.27,1.41,14,154505,3.37,0.47,5.45,936322,48569,16771,2758,347
France,Free Mobile,208/15,1:00,-108,-6,4.8,2.18,1.19,3.3,284829,4.45,0.49,0.88,499299,46012,13164,1154,1851
France,SFR (Cegetel),208/10,1:00,-78,-6,4.47,2.27,11.51,19.8,530128,1.41,3.59,7.32,134032,25515,20557,2556,2089
Andorra,Mobiland/STA,213/03,1:00,-64,-12,1.33,0.46,0.69,8.3,347749,4.68,4.75,11.76,961617,8339,40839,608,1570
Spain,Telefonica Moviles(SPAIN),214/07,1:00,-65,-7,4.63,3.24,1.65,0.8,931885,4.57,2.59,1.07,602065,19907,46935,3666,1732
Spain,Vodafone (AirTel),214/01,1:00,-85,-13,1.6,5.05,4.88,4.4,329667,2.06,3.38,9,626013,32706,6747,3039,1852
Italy,TIM (Telecom Italia),222/01,1:00,-79,-15,0.52,0.51,1.94,5.9,153359,4.04,2.82,1.31,640120,46546,11667,266,1288
Italy,H3G(ITALY),222/99,1:00,-86,-11,3.77,5.44,10.27,3.8,301336,3.29,3.35,3.83,899701,38518,41164,4994,2190
Italy,Vodafone Omnitel,222/10,1:00,-115,-11,4.42,0.95,4.28,11.1,628407,3.92,4.5,8.02,962008,33054,42204,3403,2750
Switzerland,Swisscom,228/01,1:00,-68,-10,3.23,4.81,11.81,4.2,166652,3.6,4.49,7.31,575298,13247,28966,2377,2041
Switzerland,Sunrise DiAx,228/02,1:00,-60,-15,0.67,3.48,8,14.5,712521,5.02,2.12,0.97,255801,24636,28267,1395,634
United Kingdom,Everything Everywhere,234/30,1:00,-105,-11,4.21,0.28,5.73,3.2,658973,4.86,1.06,7.31,922552,38290,2313,3374,236
United Kingdom,Telefonica O2 (CellNet),234/10,1:00,-81,-10,5.13,4.94,6.84,10.5,236055,4.9,5.05,0.13,873067,25489,31757,869,634
United Kingdom,Jersey Telecom (JT-Wave),234/50,1:00,-82,-9,1.63,4.1,2.11,12.6,996630,5.34,0.51,2.84,994910,36876,41252,2888,1565
United Kingdom,Everything Everywhere (ex-Orange),234/33,1:00,-83,-14,4.63,3,3.89,9.5,698161,0.55,4.43,4.57,498284,31713,9305,4833,88
Sweden,Tele2 - Comviq,240/07,1:00,-85,-15,3.3,2.37,11.56,3.6,651963,3.41,3.59,4.75,749981,39197,49184,4942,456
Sweden,"Telenor (Vodafone,Europolitn)",240/08,1:00,-63,-9,1.47,1.4,10.25,9.5,249823,3.22,3.9,4.96,969769,43693,41577,379,1177
Norway,NetCom TeliaSonera,242/02,1:00,-75,-6,3.7,3.31,10.17,2.9,679243,2.78,5.47,8.18,554829,14552,36173,4444,1127
Estonia,EMT,248/01,1:00,-117,-7,3.71,0.64,5.76,19.5,680029,4.58,0.84,11.46,998200,47196,18458,1455,2908
Russia,Vimpelcom Beeline (KB Impuls),250/99,1:00,-97,-10,1.6,0.9,0.4,7.9,276123,1.67,5.49,7.83,347190,40645,32020,2907,946
Poland,P4 Play,260/06,1:00,-66,-7,3.1,0.64,1.2,10.9,114554,5.06,1.94,7.04,613637,32895,11139,1045,296
Germany,E-Plus,262/03,1:00,-64,-13,4.78,5.37,10.12,8.6,898322,1.9,4.32,4.98,924822,18063,10037,666,84
Germany,Telekom Deutschland (T-Mobile),262/01,1:00,-113,-8,4.63,2.25,10.52,12.5,368306,0.18,4.38,0.68,351316,33779,45147,2464,981
Germany,Telefonica O2/viag,262/07,1:00,-90,-14,3.68,2.26,1.75,5.9,956716,4.41,4.46,1.96,906511,21990,46967,1772,462
Portugal,TMN,268/06,1:00,-60,-14,1.29,3.48,6.75,9.6,996461,3.93,1.67,4.2,572768,10466,27907,3700,1850
Turkey,AVEA (IS-TIM Aria),286/03,1:00,-96,-15,1.97,4.87,9.87,14.3,454936,1.64,5.29,2.12,112715,29896,41924,1633,2446
MACEDONIA,T-Mobile (Mobimak),294/01,1:00,-107,-15,3.72,0.75,1.68,18.9,580608,1.7,1.04,8.54,693182,49977,10122,1347,992
Canada,Rogers Wireless,302/61,1:00,-91,-11,4.07,3.72,9.6,12.8,848500,1.15,4.31,6.42,630190,3540,36427,4052,2445
Canada,Rogers Wireless,302/22,1:00,-86,-16,4.32,1.03,7.02,10.8,824224,3.1,0.1,6.84,506238,7279,45954,1542,613
United States of America ,AT&T,310/41,1:00,-112,-14,5.5,2,10.29,3.5,489593,1.73,0.33,4.46,836027,2496,1294,3180,2013
United States of America ,T-Mobile,310/26,1:00,-80,-13,3.02,4.3,9.27,5.4,624545,2.45,2.34,6.5,744700,43447,39162,915,416
United States of America ,Southern Communications dba Southern LINC,310/15,1:00,-112,-8,5.16,3.78,4,10.9,313208,2.49,1.56,8.54,761825,14612,24412,4195,2153
Unted States,Verizon Wireless,311/48,1:00,-66,-6,1.66,0.19,8.08,15.9,995116,3.74,5.1,0.37,316968,24649,4976,1456,337
India,Airtel (Kolkata),404/31,1:00,-95,-13,4.84,3.22,10.92,10.4,547228,4.74,2.77,9.34,608034,22175,39127,2853,705
India,Airtel (Andhra Pradesh),404/49,1:00,-72,-8,5.32,0.23,9.49,3.2,990676,3.95,3.91,1.69,486427,1110,45817,1928,2444
India,Airtel (Mumbai),404/92,1:00,-80,-16,1.78,1.6,0.85,3.2,567389,4.13,4.61,8.61,516911,33107,38414,4386,362
India,Airtel (Kerala),404/95,1:00,-80,-11,2.45,3.66,8.64,2.4,111898,3.21,2.33,1.02,521717,19369,8907,3753,2840
India,AirTel (Chennai),404/03,1:00,-68,-14,1.93,2.59,8.25,15.1,357699,4.84,4.8,10.81,344432,24678,1373,2200,1293
India,Vodafone India (Mumbai) Hutchison Orange,404/20,1:00,-102,-14,0.06,1.21,11.28,1.6,157970,3.17,0.92,2.25,197402,44259,17493,3323,1432
India,Airtel (Karnataka),404/45,1:00,-77,-10,4.07,4.22,8.43,19.3,284079,3.9,2.71,11.01,853807,1366,45410,2513,1671
India,Airtel (Maharashtra & Goa),404/90,1:00,-70,-6,2.27,3.17,7.46,0.9,568751,3.27,2.07,8.64,252980,37366,3285,3079,1862
India,India(404),404/94,1:00,-108,-7,5.18,3.34,1.13,12.6,272407,0.83,1.79,4.08,192475,10640,44609,2652,1137
India,AirTel (Chennai),404/02,1:00,-100,-14,4.89,0.5,10.17,17.1,797745,4.49,3.36,6.83,971730,17406,49892,1533,1471
India,Airtel (Uttar Pradesh W),404/97,1:00,-73,-12,1.71,3.43,5.39,19.6,548836,3.79,2.37,5.88,756759,41675,18596,3453,144
India,Vodafone (New Delhi) Hutchision Essar,404/11,1:00,-83,-6,0.65,1.91,5.45,4.4,490651,5.02,5.42,10.04,478827,10771,23604,3907,1831
India,AirTel (Chennai),404/40,1:00,-93,-12,1.06,3.73,3.66,3.5,937342,1.62,1.15,4.62,691192,46201,15136,213,1897
India,"Airtel (Rajasthan),Hexacom",404/70,1:00,-104,-12,4.37,3.53,2.04,13.3,855017,3.56,4.38,0.56,542678,2525,7347,1046,2859
India,Airtel (Madhya Pradesh),404/93,1:00,-84,-16,5.22,2.94,3.77,0.9,135809,1.78,0.47,11.88,940534,43630,29838,4451,13
India,Airtel (Haryana),404/96,1:00,-66,-7,3.34,4.23,7.94,4.4,514152,2,4.27,8.52,238602,34060,37616,1020,2542
India,Airtel (Delhi),404/10,1:00,-71,-7,4.26,1.25,1.56,15.9,800383,0.72,1.71,2.56,675541,45715,42611,4232,434
India(405),,405/52,1:00,-60,-12,3.33,3.99,6.21,10.7,641186,4.55,0.4,1.99,925014,6631,25950,345,2916
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,1:00,-78,-14,1.94,5.45,10.88,9.5,707366,0.19,4.08,0.23,354297,29033,20154,4457,2123
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,1:00,-85,-12,3.78,0.71,0.11,7.2,117909,1.68,4.38,1.57,692095,45945,20597,3083,793
Sri Lanka,Bharti Airtel,413/05,1:00,-110,-8,1.54,2.92,2.02,7.6,369013,2.81,0.32,11.56,777014,28481,35823,2262,740
Sri Lanka,Dialog Axiata (ex MTN),413/02,1:00,-86,-14,1.34,2.6,7.61,13.8,632880,1.95,3.43,4.16,544163,19168,1148,2153,1392
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,1:00,-92,-12,2.14,5.05,8.03,7.1,353231,0.14,5.07,5.36,762317,35015,49127,1085,751
Myanmar,Ooredoo Myanmar,414/05,1:00,-64,-10,1.75,0.8,4.92,11.7,663687,0.11,2.6,2.61,862404,45727,34826,3236,393
Myanmar,Myanmar Post and Telecommunication,414/01,1:00,-89,-14,1.99,0.27,7.37,7.3,763695,4,3.56,0.86,817198,1557,36015,4332,988
Saudi Arabia,Mobily,420/03,1:00,-91,-13,1.81,3.87,9.82,12.7,280941,2.66,0.34,3.88,378039,15381,33424,763,369
Saudi Arabia,Saudi Telecom Company,420/01,1:00,-109,-15,1.7,3.39,5.28,4.9,208573,5.27,0.66,0.87,499299,21769,16212,4747,2022
United Arab Emirates,Etisalat(UAE),424/02,1:00,-60,-15,3.99,0.47,11.51,13.1,849674,0.34,1.07,2.06,557485,49917,1874,4008,1242
Bahrain,Batelco,426/01,1:00,-94,-10,1.74,2.81,7.37,4.5,670242,0.62,4.85,0.29,534925,3802,1972,1212,2228
Qatar,Q-Tel,427/01,1:00,-73,-16,0.3,5.35,10.75,19.2,678295,2.71,4.67,6.2,407898,7744,27599,3726,1154
Japan,NTT Docomo,440/10,1:00,-69,-14,3.38,4.26,10.14,11.6,277302,2.72,0.91,7.4,785368,18336,44903,4691,2610
Japan,Soft Bank (Vodafone KK),440/20,1:00,-74,-15,2.13,1.85,2.02,19.8,405267,4.93,2.03,7.41,887825,17623,18032,2401,1903
South Korea,LGT Telcom,450/06,1:00,-70,-16,4.34,2.64,1.19,1.8,524066,1.4,1.54,1.91,649594,1080,40059,4950,440
South Korea,SK Telecom,450/05,1:00,-116,-14,5.13,5.38,9.16,1,672669,0.76,4.9,6.86,369389,11028,20042,4133,1799
