,,,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
India,Airtel (Delhi),404/10,9:00,-95,-8,3.37,1.32,1.4,11.8,754433,2.3,1.14,4.9,701017,34619,21370,564,2200
India(405),,405/52,9:00,-117,-10,0.34,1.6,1.38,3.5,915741,3.82,0.29,5.07,648185,11348,14387,1556,640
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,9:00,-112,-10,0.96,3.32,9.85,13.8,610583,1.98,0.12,6.8,710712,38335,14412,86,2344
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,9:00,-62,-16,0.41,5.15,2.8,13.5,170538,3.13,2.49,8.1,666574,15212,48278,4994,1118
Sri Lanka,Bharti Airtel,413/05,9:00,-90,-13,0.66,2.65,2.9,15.2,227053,2.53,3.64,7.76,500592,41139,14229,1404,461
Sri Lanka,Dialog Axiata (ex MTN),413/02,9:00,-99,-16,1.77,3.4,11.33,11.7,905444,4.47,3.04,1.18,271280,42862,41098,1321,2924
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,9:00,-69,-6,2.62,5.08,2.16,12,696941,2.49,2.35,2.51,941912,44296,25039,1921,2709
Myanmar,Ooredoo Myanmar,414/05,9:00,-87,-15,1.54,3.66,7.07,14.4,993078,0.57,2.49,0.24,254730,2739,46661,359,2509
Myanmar,Myanmar Post and Telecommunication,414/01,9:00,-66,-6,0.27,4.08,4.29,18,693762,0.57,3.78,11.72,522301,5386,10947,1386,2115
Saudi Arabia,Mobily,420/03,9:00,-119,-14,4.45,4.05,3.14,3.3,163642,2.61,0.74,4.53,703432,30824,42444,1340,408
Saudi Arabia,Saudi Telecom Company,420/01,9:00,-92,-6,2.09,2.88,5.69,4,826099,4.91,2.24,9.51,309063,10035,38271,2890,329
United Arab Emirates,Etisalat(UAE),424/02,9:00,-102,-12,3.12,1.67,4.31,9.9,383773,4.46,2.15,8.57,450882,22549,47956,1107,1670
Bahrain,Batelco,426/01,9:00,-93,-15,0.76,0.24,6.54,9.5,689716,0.08,0.1,4.81,932080,31429,45041,24,956
Qatar,Q-Tel,427/01,9:00,-117,-16,0.15,4.79,1.42,6.9,462792,1.13,1.88,8.01,492702,20450,10892,2108,2239
Japan,NTT Docomo,440/10,9:00,-80,-8,2.88,1.72,6.46,9.2,893289,1.23,2.67,8.75,420859,13498,48007,2031,339
Japan,Soft Bank (Vodafone KK),440/20,9:00,-79,-7,3.7,4.7,8.99,9.4,455082,3.88,0.16,3.58,945231,15437,36417,1028,888
South Korea,LGT Telcom,450/06,9:00,-69,-10,3.68,1.4,6.2,18.9,221344,1.27,4.04,3.98,860509,36221,21305,378,610
South Korea,SK Telecom,450/05,9:00,-99,-14,5.34,2.2,3.2,9.1,742217,1.87,4.32,2.62,919916,36012,22647,920,2605
Vietnam,Viettel,452/04,9:00,-93,-11,3.33,3.86,9.43,11,830862,5.45,1.19,7.59,984443,40054,26783,2249,27
Vietnam,Vinaphone,452/02,9:00,-104,-13,0.52,3.13,3.14,19.4,335428,4.03,2.85,0.07,892795,37504,24368,4329,1476
Vietnam,Vietnam Mobile Telecom (VMS),452/01,9:00,-80,-8,3.17,1.64,0.65,17.5,471022,3.63,1.91,5.16,458865,30058,45220,262,2551
Hongkong,CSL (C&W),454/00,9:00,-81,-15,0.75,3.88,3.25,15.1,206893,3.09,1.32,8.19,743829,28659,6191,2241,2226
Hongkong,PCCW-HKT Telephone Limited,454/19,9:00,-95,-11,3.17,5.27,10.77,19.8,599993,4.59,3.54,6.31,878449,31049,44167,2113,2146
Hongkong,China Mobile - Peoples,454/12,9:00,-66,-10,3.27,3.21,5.99,19.8,618397,1.19,2.19,7.76,272975,15849,7067,3357,387
Hongkong,H3G(HONG KONG),454/03,9:00,-75,-7,3.53,0.39,5.24,7,116659,5.47,0.33,7.63,335618,26262,49609,575,550
Macao,Hutchison 3,455/03,9:00,-110,-6,1.73,1.8,1.7,19.9,380946,4.89,3.59,8.66,319763,30699,40274,2278,2134
Macao,CTM,455/01,9:00,-75,-14,3.61,3.44,5.77,2,535046,2.32,1.62,10.79,234929,2771,39831,3302,252
CAMBODIA,CamGSM Mobitel,456/01,9:00,-100,-16,3.08,2.66,11.41,13,625823,0.22,4.56,5.43,681252,12329,42486,4445,1525
CAMBODIA,Viettel,456/08,9:00,-96,-15,4.08,5.24,6.35,13.6,285323,2.87,0.22,4.76,977830,17022,45803,3107,893
CAMBODIA,Latelz Co. Ltd,456/06,9:00,-116,-8,3.52,1.25,8.76,17.8,132131,1.75,0.27,5.5,921319,15755,7144,3714,2281
China,China Mobile,460/00,9:00,-66,-16,2.17,1.34,3.31,12.4,145163,3.72,4.73,1.71,518003,36752,47053,3924,2971
China,China Mobile,460/07,9:00,-85,-13,3.4,2.68,11.19,14.3,941542,5.38,5.31,11.6,536872,48697,48978,1271,1099
China,China Mobile,460/02,9:00,-114,-11,0.99,2.11,4.33,11.6,636418,3.83,0.25,11.26,464161,13856,18081,4059,1332
China,China Unicom,460/01,9:00,-104,-6,3.51,2.09,4.84,3.1,567596,1.62,4.68,9.15,998875,38285,13936,4829,2139
Taiwan,Taiwan Mobile (ex TCC),466/97,9:00,-99,-7,0.44,1.88,6.03,3.6,418319,2.03,3.01,8.5,643117,12296,38697,2238,1984
Taiwan,Chunghwa Telecom,466/92,9:00,-84,-12,0.07,2.13,10.01,14.7,928742,4.55,1.5,1.68,939432,13197,30938,2770,2343
Taiwan,Fareastone,466/01,9:00,-116,-13,2.17,5.2,1.79,6.4,701073,3.09,3.5,5.65,743119,2770,2483,3991,2744
Malaysia,Maxis,502/12,9:00,-78,-6,1.61,0.45,0.77,3,873808,0.41,3.03,3.1,150865,38792,45941,4438,1214
Malaysia,Celcom,502/19,9:00,-102,-7,0.67,3.3,7.28,12.9,905259,3.68,0.76,2.41,782965,24867,46409,1501,1863
Malaysia,U Mobile Sdn Bhd,502/18,9:00,-76,-13,3.11,0.8,11.5,4.5,758874,3.26,3.75,6.03,535152,49703,49000,1946,1869
Malaysia,DiGi  Telecommunication,502/16,9:00,-67,-8,5.21,4.82,11.39,8.6,990950,4.32,4.14,0.64,294445,3241,16034,1584,885
Australia,Optus,505/02,9:00,-87,-8,1.76,4.98,2.73,2.9,843318,4.9,1.44,10.94,825205,20961,27723,615,2991
Australia,Telstra,505/01,9:00,-64,-13,1.12,4.21,3.51,3.7,834392,4.63,4.53,5.61,285475,10672,4251,159,2961
Indonesia,Telkomsel,510/10,9:00,-87,-14,2.94,2.75,10.51,14.2,830333,3.81,5.31,8.07,304378,22877,40944,595,1526
Indonesia,Hutchison,510/89,9:00,-95,-13,2.8,5.41,4.54,7.7,921869,3.71,2.94,0.25,130462,2834,16263,280,277
Indonesia,Excelcom Indo,510/11,9:00,-68,-10,1.92,5.5,7.03,15.3,223297,2.98,0.39,0.58,642616,26293,20800,761,2166
Philippines,Globetel,515/02,9:00,-76,-7,2.1,3.79,10.23,12.8,396449,0.21,1.35,8.48,673031,6877,29127,3787,308
Philippines,Digitel (Sun Cellular),515/05,9:00,-85,-11,5.26,4.05,3,18,680437,5.18,2.84,4.65,364844,27003,30686,1336,2913
Thailand,Advanced Wireless Network Company Ltd.,520/03,9:00,-65,-6,2.02,2.63,3,0.8,762269,2.3,5.15,4.8,429566,1537,1061,3837,909
Thailand,True Move  HSPA,520/00,9:00,-96,-9,1.31,1.99,4.27,10.8,859223,1.53,0.73,10.03,172581,27932,41973,3008,907
Thailand,Total Access (DTAC),520/05,9:00,-114,-8,0.4,0.3,3.24,7.5,571521,4.61,4.04,6.28,760114,28377,44182,3960,1895
Singapore,Starhub,525/05,9:00,-108,-15,4.21,1.14,8.81,4.6,621174,4.65,2.31,4.21,215613,23678,19290,3786,2516
Singapore,Mobile One,525/03,9:00,-61,-15,2.09,1.09,11.36,6,831166,0.21,0.38,9.37,780063,32178,48126,3240,773
Brunei,B-Mobile,528/02,9:00,-108,-15,0.69,3.04,6.67,16.1,690299,0.36,2.16,4.38,885824,6565,12304,3078,2583
Brunei,DST,528/11,9:00,-94,-13,1.45,3.56,4.99,13.2,487090,3.46,2.64,3.2,860536,11976,10333,1472,2076
New Zealand,Telecom New Zealand,530/05,9:00,-78,-14,0.33,1.76,5.43,10.8,302944,2,1.08,3.59,746992,14873,46841,4828,2298
New Zealand,Vodafone(NEW ZEALAND),530/01,9:00,-95,-16,5.43,4.22,11.72,0.9,374663,0.21,3.6,5.62,958336,40380,44239,394,2234
New Zealand,Two Degrees (NZ Communications),530/24,9:00,-91,-13,2.88,1.11,10.6,19.2,660591,5.48,4.06,0.88,144385,25675,13480,34,1781
Morocco,Itissalat Al Maghrib (Mobile GSM),604/01,9:00,-77,-12,2.03,1.99,4.11,15.2,938185,4.59,4.06,7.26,204846,44039,14144,1800,1502
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Netherlands,Vodafone(NETHERLANDS),204/04,9:05,-87,-10,0.22,1.36,9.9,8,550411,4.97,0.53,3.32,768593,16908,8995,1738,2909
Netherlands,T-mobile (ex Ben),204/16,9:05,-60,-13,2.69,1.04,7.17,1.2,320862,5.29,1.53,4.92,744053,21617,7005,2302,2974
Netherlands,KPN (iBasis),204/08,9:05,-74,-10,0.22,2.41,10.43,6.7,375941,1.91,2.68,9.99,875868,46158,19217,3244,1919
Belgium,Belgacom Mobile,206/01,9:05,-84,-12,2.56,0.97,0.48,10.1,395332,2.57,1.61,2.07,829887,9794,15271,543,672
France,Bouygues,208/20,9:05,-74,-13,1.28,4.5,1.87,20,856627,0.94,3.64,3.38,159041,22358,35874,2306,882
France,Free Mobile,208/15,9:05,-91,-7,1.94,1.96,1.47,9.6,353293,0.2,2.33,5.18,763901,19598,18925,2574,2763
France,SFR (Cegetel),208/10,9:05,-118,-11,1.26,2.43,9.87,7.4,383961,0.15,4.17,6.78,952623,28325,16049,3996,182
Andorra,Mobiland/STA,213/03,9:05,-87,-10,0.83,0.78,5.52,2.4,987699,1.12,1.47,1.93,865636,37947,49480,1659,2035
Spain,Telefonica Moviles(SPAIN),214/07,9:05,-114,-11,4.67,3.16,2.89,11.1,902230,0.08,5.07,11.74,560690,1705,9539,1152,803
Spain,Vodafone (AirTel),214/01,9:05,-120,-15,4.39,3.73,5.27,13.6,479581,3.32,3.94,5.1,582246,15918,7466,1925,647
Italy,TIM (Telecom Italia),222/01,9:05,-95,-9,1.47,2.28,5.31,4.4,620615,3.75,4.22,3.35,782538,37227,19382,607,178
Italy,H3G(ITALY),222/99,9:05,-72,-12,3.78,3.8,8.52,12.1,506014,1.09,1.48,5.56,160743,46556,3560,2029,1354
Italy,Vodafone Omnitel,222/10,9:05,-67,-7,1.15,1.72,1.03,16.5,246970,4.78,3.95,9.36,589283,33707,33320,168,661
Switzerland,Swisscom,228/01,9:05,-116,-16,1.6,4.16,9.95,11,505213,4.59,2.22,0.13,711818,49435,24719,1921,1458
Switzerland,Sunrise DiAx,228/02,9:05,-64,-6,3.32,1.57,11.44,12.6,545742,2.66,2.27,1.14,960157,33718,42861,4391,592
United Kingdom,Everything Everywhere,234/30,9:05,-94,-10,0.26,2.67,1.24,12.1,138980,2.14,0.43,0.67,405745,26636,17601,2184,2270
United Kingdom,Telefonica O2 (CellNet),234/10,9:05,-98,-8,1.86,3.99,2.43,18.2,546314,3.04,1.12,10.13,365894,44010,33456,4923,135
United Kingdom,Jersey Telecom (JT-Wave),234/50,9:05,-86,-12,1.38,1.41,7.43,9.9,713443,4.01,0.82,10.31,947830,6553,45539,2650,2946
United Kingdom,Everything Everywhere (ex-Orange),234/33,9:05,-77,-13,2.15,0.16,7.56,1.3,528608,2.02,3.96,3.92,272406,25403,34441,4980,1
Sweden,Tele2 - Comviq,240/07,9:05,-79,-12,3.23,4.42,2.74,13.2,133136,4.66,4.54,9.1,652621,29021,38232,3756,1568
Sweden,"Telenor (Vodafone,Europolitn)",240/08,9:05,-94,-8,2.81,0.3,3.22,15.3,509244,1.69,0.6,2.22,394370,48384,48086,1625,2864
Norway,NetCom TeliaSonera,242/02,9:05,-96,-7,0.13,1.3,7.28,11.1,541633,0.63,1.12,2.6,563331,39021,11601,4120,1716
Estonia,EMT,248/01,9:05,-75,-10,3.46,4.51,10.73,5.2,173217,1.92,1.37,9.51,762639,21860,42303,1275,1384
Russia,Vimpelcom Beeline (KB Impuls),250/99,9:05,-77,-6,4.17,0.11,7.05,2.6,399797,4.17,0.89,3.35,668755,42152,27887,128,1429
Poland,P4 Play,260/06,9:05,-65,-13,0.46,2.68,8.72,15.1,372292,2.62,3.94,7.49,682412,45698,41721,3651,1142
Germany,E-Plus,262/03,9:05,-74,-16,1.74,2.14,8.68,19.8,903685,1.71,3.38,9.77,959281,17553,24954,3677,114
Germany,Telekom Deutschland (T-Mobile),262/01,9:05,-103,-9,1.67,0.66,8.05,18,298646,0.23,0.51,7.55,620606,45396,28456,512,2469
Germany,Telefonica O2/viag,262/07,9:05,-95,-7,0.45,2.41,3.06,15.4,818791,1.41,4,3.05,369032,46550,38389,4534,371
Portugal,TMN,268/06,9:05,-86,-12,2.44,1.84,10.51,0.8,449115,0.26,2.7,9.37,778564,22906,1602,3938,837
Turkey,AVEA (IS-TIM Aria),286/03,9:05,-96,-7,2.73,3.14,7.88,11.8,164306,3.23,4.14,9.04,974219,49832,45624,3825,566
MACEDONIA,T-Mobile (Mobimak),294/01,9:05,-61,-13,3.55,4.01,1.47,1.5,544341,2.86,2.22,10.95,594079,32675,37303,3859,2714
Canada,Rogers Wireless,302/61,9:05,-120,-9,5.14,3.4,4.27,18.8,734038,3.51,0.88,6.6,344982,45708,29484,1245,177
Canada,Rogers Wireless,302/22,9:05,-64,-14,1.81,5.24,11.48,7.2,820896,4.43,1.01,10.33,756749,25532,47282,2337,844
United States of America ,AT&T,310/41,9:05,-68,-13,5.37,3.27,3.04,6.1,181759,2.27,4.68,8.26,477010,20663,34098,2510,2171
United States of America ,T-Mobile,310/26,9:05,-77,-11,3.48,1.74,3.79,6.1,953466,1.75,1.42,7.93,455819,27883,28029,932,1235
United States of America ,Southern Communications dba Southern LINC,310/15,9:05,-70,-9,2.72,5.44,2.23,19.1,551608,4.55,1.95,7.06,326892,27058,36254,1417,548
Unted States,Verizon Wireless,311/48,9:05,-115,-6,4.08,1.16,2.12,15.9,542422,3.8,4.78,9.29,303753,11610,11856,598,1098
India,Airtel (Kolkata),404/31,9:05,-95,-16,5.45,3.02,11.71,10.8,876716,5.43,2.02,4.76,292551,13289,26778,36,2083
India,Airtel (Andhra Pradesh),404/49,9:05,-71,-12,5.49,1.46,11.87,1.8,291389,1.95,3.85,4.49,484482,44117,11828,2790,242
India,Airtel (Mumbai),404/92,9:05,-118,-8,3.57,2.24,1.42,14.4,656472,2.38,0.54,10.18,611363,29440,39236,3367,622
India,Airtel (Kerala),404/95,9:05,-109,-9,2.25,0.43,5.33,4.5,707563,4.14,2.85,4.8,913179,31995,3161,1782,685
India,AirTel (Chennai),404/03,9:05,-73,-16,1.25,2.14,10.92,10.7,432168,5.18,2.14,7.6,478825,47719,18931,4400,471
India,Vodafone India (Mumbai) Hutchison Orange,404/20,9:05,-97,-8,1.44,4.22,3.25,6.4,842350,3.41,2.81,10.36,991332,42754,7140,73,2646
India,Airtel (Karnataka),404/45,9:05,-113,-11,2.71,3.25,4.28,10.6,785412,4.26,2.29,0.7,434499,27722,32993,2956,2900
India,Airtel (Maharashtra & Goa),404/90,9:05,-102,-11,0.51,1.59,4.98,6.1,827627,2.56,0.77,0.32,272801,12950,49675,2574,1071
India,India(404),404/94,9:05,-115,-6,3.99,4.83,2.48,9,867765,4.25,2.45,7.26,530609,22618,49977,699,2459
India,AirTel (Chennai),404/02,9:05,-113,-8,5.31,4.84,4.84,14.6,250919,2.17,1.11,0.1,262540,10686,1522,3580,209
India,Airtel (Uttar Pradesh W),404/97,9:05,-106,-9,5.33,2.72,4.13,2.8,667342,0.75,0.19,5.69,427722,17286,21202,4396,2031
India,Vodafone (New Delhi) Hutchision Essar,404/11,9:05,-80,-12,5.08,2.42,1.23,17.3,703946,1.04,1.79,7.75,259045,14883,7956,2628,66
India,AirTel (Chennai),404/40,9:05,-118,-10,5.13,1.1,1.06,11.1,558024,4.51,0.8,8.63,404719,32485,21979,1572,1039
India,"Airtel (Rajasthan),Hexacom",404/70,9:05,-60,-7,4.78,0.87,0.49,9.5,563749,0.17,3.84,8.97,174838,35792,49817,1943,1611
India,Airtel (Madhya Pradesh),404/93,9:05,-92,-16,0.97,5.49,11.61,8.6,372973,3.81,4.99,4.93,671809,16674,2077,2904,190
India,Airtel (Haryana),404/96,9:05,-116,-6,4.9,0.84,4.25,6.9,718622,2.78,4.26,0.25,380563,19760,42977,4039,2008
India,Airtel (Delhi),404/10,9:05,-87,-7,5.22,2.81,3.74,14,303335,1.94,2.05,1.18,142579,46215,33150,4642,405
India(405),,405/52,9:05,-80,-11,4.66,0.24,8.15,17.5,773847,3.64,0.59,10.85,191369,30829,9530,505,1660
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,9:05,-71,-15,0.26,2.94,4.75,1.5,483763,5.12,2.27,2.33,868699,29637,4852,4636,614
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,9:05,-104,-11,5.2,1.76,11.09,19.5,451095,1.48,1.85,11.28,296224,6032,5932,1206,566
Sri Lanka,Bharti Airtel,413/05,9:05,-120,-6,1.64,1.7,8.33,12.6,710181,0.42,3.45,11.84,439275,30774,2019,1850,2634
Sri Lanka,Dialog Axiata (ex MTN),413/02,9:05,-70,-16,0.09,2.14,5.26,13.3,657777,2.76,2.36,6.18,820647,16412,37551,2261,222
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,9:05,-74,-9,3.53,0.45,0.84,7.5,662044,1.22,0.27,10.11,662070,42162,39985,4148,1268
Myanmar,Ooredoo Myanmar,414/05,9:05,-90,-12,3.24,1.51,8.03,2.1,149279,2.48,1.9,4.58,845772,16906,18423,1462,741
Myanmar,Myanmar Post and Telecommunication,414/01,9:05,-120,-11,0.32,2.04,4.64,19.8,521640,4.87,4.44,6.17,427609,34556,9810,2489,582
Saudi Arabia,Mobily,420/03,9:05,-107,-12,1.98,2.28,7.05,3.3,968043,1.24,4.54,9.41,908598,11254,35700,789,915
Saudi Arabia,Saudi Telecom Company,420/01,9:05,-63,-6,1.9,4.97,11.38,3.8,796644,2.43,1.97,0.25,968457,1393,44450,1725,2427
United Arab Emirates,Etisalat(UAE),424/02,9:05,-70,-12,1.7,3.98,6.92,17.8,499313,2.07,5.24,8.46,584386,38656,8700,2235,2274
Bahrain,Batelco,426/01,9:05,-88,-16,2.48,0.58,8.53,4.9,213007,3.48,4.58,3.48,954177,26188,34464,1086,464
Qatar,Q-Tel,427/01,9:05,-112,-7,3.61,5.23,6.21,2.7,232265,2.44,0.7,7.73,714655,9140,4668,3461,918
Japan,NTT Docomo,440/10,9:05,-117,-11,2.08,0.98,8.29,9.2,486057,1.13,2.74,7.26,705743,33383,46907,712,1029
Japan,Soft Bank (Vodafone KK),440/20,9:05,-65,-15,2.22,1.91,8.16,4,592551,4.25,4.6,10.15,491297,45099,14691,3030,1790
South Korea,LGT Telcom,450/06,9:05,-104,-12,5.03,0.54,2.46,19.6,992156,1.55,5.01,9.03,502575,14328,6928,3761,2837
South Korea,SK Telecom,450/05,9:05,-61,-7,1.71,3.55,1.25,13.6,816713,0.15,1.76,5.66,538020,18859,16270,4017,2569
Vietnam,Viettel,452/04,9:05,-66,-9,3.29,2.62,8.24,3.7,137625,1.26,1.53,6.53,485570,6510,32979,332,1620
