Countries,States,Time,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (KB),Data UL Throughput (KB)
Etowah,Alabama,2/1,-94,-16,1.13,3.43,5.31,18.2,531774,1.78,4.7,7.33,243575,5174,29251,621
Fayette,Alabama,2/1,-83,-10,2.13,3.42,9.85,4.9,984289,1.88,5.09,4.33,539184,42256,27916,104
Franklin,Alabama,2/1,-98,-16,2,0.65,5.47,5.4,424434,0.99,3.16,6.3,368793,35935,18030,1411
Geneva,Alabama,2/1,-73,-15,2.89,4.89,7.67,1,991383,0.41,1.96,5.69,249120,5747,24181,568
Greene,Alabama,2/1,-119,-6,2.06,0.53,3.73,3.5,538320,3.63,4.63,2.11,293915,17094,39837,3967
Hale,Alabama,2/1,-119,-11,0.25,1.35,1.62,9.7,337312,1.25,1.44,5.32,519975,6894,47344,4880
Henry,Alabama,2/1,-98,-7,4.38,2.21,11.53,9.2,408943,2.17,1.94,2.31,606789,3575,22006,2593
Houston,Alabama,2/1,-75,-12,4.08,4.65,8.15,2.9,129921,2.08,2.51,11.84,459925,37036,32332,4319
Jackson,Alabama,2/1,-83,-9,1.08,1.99,3.45,6.2,223694,5.02,2.61,6.03,335346,22921,7312,4682
Jefferson,Alabama,2/1,-88,-11,0.38,3.93,7.77,16.9,101815,1.04,5.14,5.03,247155,13156,1921,2120
Lamar,Alabama,2/1,-71,-9,1.2,2.68,9.6,13,419711,4.11,4.3,0.08,463996,26595,8189,1774
Lauderdale,Alabama,2/1,-62,-8,5.18,0.85,4.56,17.4,179326,2.4,5.06,11.67,297859,48209,1680,1330
Lawrence,Alabama,2/1,-87,-13,4.43,2.4,8.5,2.8,191466,1.64,1.47,7.91,378759,47246,10499,546
Lee,Alabama,2/1,-71,-9,5.05,2.27,3.68,0.5,461622,4.44,4.96,8.15,436580,22737,16548,2158
Limestone,Alabama,2/1,-94,-9,1.27,4.56,6.01,11.3,604101,3.95,1.28,3.93,587350,9483,30368,3568
Lowndes,Alabama,2/1,-99,-10,4.32,0.5,7.69,6.3,845121,4.47,0.32,0.9,305247,45270,35151,3150
Macon,Alabama,2/1,-64,-10,3.29,0.94,3.21,6.4,761956,4.94,2.14,3.81,828651,15446,11811,2705
Madison,Alabama,2/1,-110,-14,5.02,1.33,7.56,5.9,991779,1.98,3.25,3.25,954575,46134,9320,2562
Marengo,Alabama,2/1,-87,-12,3.62,5.47,10.6,9.5,794858,2.11,1.76,5.35,342709,29543,43696,1953
Marion,Alabama,2/1,-78,-10,3.78,0.4,9.09,8.8,680461,1.1,4.03,5.63,616363,41261,6734,1230
Marshall,Alabama,2/1,-91,-15,0.87,1.74,7.07,2.7,752410,3.79,4.45,6.31,325707,37726,25171,1306
Mobile,Alabama,2/1,-101,-16,0.11,1.85,9.59,12.5,386822,2.36,1.89,2.2,106219,4145,41363,3530
Monroe,Alabama,2/1,-77,-7,0.62,3.36,9.41,4.1,912680,5.42,2.48,6.35,411194,4388,5295,4876
Montgomery,Alabama,2/1,-60,-9,2.43,4.26,1.32,14.2,944005,5.13,2.31,11.73,264739,26644,39490,2249
Morgan,Alabama,2/1,-86,-15,4.45,1.12,5.51,2.6,400499,1.7,0.12,5.37,898716,27995,28545,1620
Perry,Alabama,2/1,-113,-16,4.88,1.08,8.7,12.5,719199,4.33,0.73,7.59,458561,34413,20921,2261
Pickens,Alabama,2/1,-63,-14,3.39,5.33,2.42,5.5,218043,4.18,3.4,5.33,470466,19569,3272,4547
Pike,Alabama,2/1,-80,-13,5.3,0.98,11.12,6.7,328480,1.48,2.92,1.44,755553,19698,10130,2267
Randolph,Alabama,2/1,-104,-7,5,0.45,7.09,4.4,103466,1.39,4.63,0.31,971283,13155,49376,4572
Russell,Alabama,2/1,-105,-16,1.21,3.91,4.3,15.9,982356,1.17,3.86,2.85,588865,33180,48315,4038
St. Clair,Alabama,2/1,-88,-15,0.48,4.79,0.2,12.6,622789,1.94,4.1,9.04,796822,32195,42145,3473
Shelby,Alabama,2/1,-65,-6,2.58,3.52,2.69,18.9,592516,3.41,3.08,0.35,280066,24734,12026,2977
Sumter,Alabama,2/1,-114,-15,3.43,2.39,11.73,18.7,572429,1.49,1.39,7.61,369179,18197,10050,1959
Talladega,Alabama,2/1,-85,-10,0.51,3.88,11.88,17,450690,4.8,4.99,8.52,673140,20185,2970,790
Tallapoosa,Alabama,2/1,-66,-11,4.94,2.77,8.98,10.8,654536,0.38,1.87,6.83,165970,30566,18024,3172
Tuscaloosa,Alabama,2/1,-105,-6,1.37,1.49,5.22,5.5,643849,0.18,4.69,4.39,148476,17290,23553,3763
Walker,Alabama,2/1,-60,-11,5.04,4.69,7.98,1.4,862217,3.52,3.92,8.4,746037,15863,22005,2954
Washington,Alabama,2/1,-113,-8,0.67,0.42,4.41,6.2,991607,2.38,3.61,3.13,873727,3476,4893,4754
Wilcox,Alabama,2/1,-100,-9,1.91,1.76,0.79,15.2,553268,3.87,0.7,3.7,254849,23165,1401,4454
Winston,Alabama,2/1,-92,-12,1.1,5.41,11.5,7.3,536923,4.63,4.71,1.59,296165,24261,29942,3049
Aleutians East Borough,Alaska,2/1,-95,-10,1.11,3.56,4.55,6.1,968900,1.3,1.85,11.91,689169,43209,24688,1614
Aleutians West Census Area,Alaska,2/1,-106,-12,3.5,0.63,7.31,7.7,173282,5.17,3.81,1.34,263146,19831,36093,4448
"Anchorage, Municipality of",Alaska,2/1,-101,-10,2.39,0.6,2.35,8.4,606113,2.46,0.28,10.58,578364,26137,9605,923
Bethel Census Area,Alaska,2/1,-93,-13,4.54,3.52,3.62,19.8,883115,0.92,2.07,1.21,972072,10081,33011,1438
Bristol Bay Borough,Alaska,2/1,-65,-15,2.1,3.11,11.66,6.8,778978,3.66,0.26,11.45,506232,46305,29515,3701
Denali Borough,Alaska,2/1,-86,-16,2.63,4.72,11.04,11.8,173069,3.73,2.04,11.7,387897,36777,44357,2985
Dillingham Census Area,Alaska,2/1,-62,-12,4.89,5.29,7.81,19,575553,3.58,2.43,7.34,208546,49110,10978,2141
Fairbanks North Star Borough,Alaska,2/1,-95,-15,5.33,3.58,10.58,19.8,225247,5.48,3.68,0.22,305247,26572,13556,1199
Haines Borough,Alaska,2/1,-104,-8,2.61,0.7,3.09,2.8,437169,4.77,4.31,10.13,716134,3665,9574,14
Hoonah-Angoon Census Area,Alaska,2/1,-68,-6,3.06,4.16,2.42,19.2,683303,5.13,5.32,2.97,740393,37277,22972,701
"Juneau, City and Borough",Alaska,2/1,-60,-10,3.84,4.04,2.15,13.4,134011,0.3,4.19,7.19,895491,21731,8231,161
Kenai Peninsula Borough,Alaska,2/1,-79,-15,0.76,1.34,3.92,1.1,661412,1.44,4.88,1.25,780710,40671,47936,3335
Ketchikan Gateway Borough,Alaska,2/1,-63,-9,1.77,3.89,2.87,19.8,272935,5.3,0.06,9.77,538721,27112,40244,2131
Kodiak Island Borough,Alaska,2/1,-94,-12,5.17,3.3,0.15,1,681114,4.18,3.33,11.86,297242,17778,8387,788
Lake and Peninsula Borough,Alaska,2/1,-118,-11,1.72,1.5,0.06,2.3,433412,0.54,2.52,4.73,569931,10827,31514,705
Matanuska-Susitna Borough,Alaska,2/1,-91,-15,3.49,2.41,6.4,12.8,929425,2.28,1.94,5.32,889644,37695,10089,412
Nome Census Area,Alaska,2/1,-81,-16,3.73,5.38,1.5,3.7,705655,4.5,2.6,5.4,145797,4201,45280,2091
North Slope Borough,Alaska,2/1,-116,-9,3.24,2.2,7.28,0.9,242484,4.07,5.2,11.91,611319,2742,49398,1147
Northwest Arctic Borough,Alaska,2/1,-110,-16,4.59,3.95,2.59,2.5,147546,0.5,0.05,4.04,101446,19557,10902,2907
Petersburg Census Area,Alaska,2/1,-119,-16,4.08,3.43,6.82,15.5,947226,3.69,1.13,3.28,939831,29383,8756,4131
Prince of Wales-Hyder Census Area,Alaska,2/1,-101,-16,0.87,2.47,1.63,1.6,368659,4.88,4.08,2.02,122766,43702,29747,3004
"Sitka, City and Borough of",Alaska,2/1,-88,-14,2.29,3.07,1.42,19.8,600240,1.33,0.31,11.83,549858,16013,28774,976
"Skagway Borough, Municipality of",Alaska,2/1,-71,-14,3.77,4.93,7.06,13.3,476402,0.65,1.1,9.36,574193,25995,12176,2274
Southeast Fairbanks Census Area,Alaska,2/1,-101,-16,3.31,2.63,9.83,10.3,285239,1.9,4.61,5.73,475515,4077,31726,1334
Valdez-Cordova Census Area,Alaska,2/1,-98,-11,4.55,4.24,4.35,8.3,189832,4.32,4.16,3.85,359553,17660,19438,1653
Wade Hampton Census Area,Alaska,2/1,-98,-9,3.59,3.51,9.41,10.5,881615,0.72,5.41,1.74,382904,38011,48877,3418
"Wrangell, City and Borough of",Alaska,2/1,-94,-7,3.14,4.64,2.8,17.9,621330,1.6,2.63,10.21,245660,2713,18480,1035
"Yakutat, City and Borough of",Alaska,2/1,-96,-14,2.27,4.71,11.87,8.6,490124,3.29,5.27,4.86,634785,48597,24773,4853
Yukon-Koyukuk Census Area,Alaska,2/1,-109,-13,0.66,5.06,5,5.8,913057,1.66,3.05,10.47,206881,30666,41099,4382
Apache,Arizona,2/1,-77,-9,3.69,2.84,7.86,3.8,793260,0.89,1.26,8.77,748318,39355,1627,3288
Cochise,Arizona,2/1,-98,-9,1.74,2.23,7.9,8.4,793846,2.17,3.57,5.73,506017,30132,13585,2555
Coconino,Arizona,2/1,-89,-11,4.39,3.24,10.94,17.5,690444,1.18,0.64,3.11,547356,12636,33433,314
Gila,Arizona,2/1,-72,-10,2.3,3.51,6.22,7,472742,3.7,0.07,4.81,760062,22846,32072,2438
Graham,Arizona,2/1,-101,-13,2.04,4.14,7.31,7.4,491691,1.43,4.64,6.14,272447,4770,21793,930
Greenlee,Arizona,2/1,-71,-10,1.2,3.9,1.93,13.6,423210,2.65,2.76,8.58,757823,23408,46037,1688
La Paz,Arizona,2/1,-61,-8,4.48,3.4,9.82,2.6,213307,1.86,3.48,6.87,499125,47900,20102,1643
Maricopa,Arizona,2/1,-86,-11,2.89,1.34,11.05,7.3,980140,1.38,3.85,11.18,705805,2896,41941,4559
Mohave,Arizona,2/1,-120,-16,1.85,3.7,3.92,14.8,961803,2.52,1.12,11.68,588135,27169,45205,764
Navajo,Arizona,2/1,-86,-14,4.15,4.17,3.36,8.4,115219,3.02,4.43,7.42,417189,29066,43531,2640
Pima,Arizona,2/1,-115,-9,2.74,3.08,5.15,13.4,977271,1.31,3.42,9.99,640974,40216,39703,2125
Pinal,Arizona,2/1,-107,-6,3.18,1.11,11.34,13.8,885038,0.44,3.52,2.81,802526,41354,11003,3134
Santa Cruz,Arizona,2/1,-75,-13,1.53,3.11,8.1,9.6,256865,0.79,0.2,1.21,172321,9411,33101,487
Yavapai,Arizona,2/1,-67,-8,1.28,3.68,6.08,1.1,295435,5.17,4.88,10.31,680976,5567,14519,176
Yuma,Arizona,2/1,-71,-9,4,4.2,3.72,5.6,666231,3.86,1.39,9.4,687579,43881,12844,4016
Arkansas,Arkansas,2/1,-93,-14,4.64,0.1,8.95,2.4,353734,4.96,3.88,8.01,598113,15749,22569,1348
Ashley,Arkansas,2/1,-99,-7,2.17,3.58,2.99,18,133602,4.63,0.68,11.75,748471,12805,32458,3357
Baxter,Arkansas,2/1,-108,-9,3.93,4.72,3.24,19.8,239451,2.66,5.32,1.6,106551,22841,27754,4456
Benton,Arkansas,2/1,-66,-9,0.24,1.11,5.35,11.8,137496,1.1,4.45,6.54,880203,31211,36342,1521
Boone,Arkansas,2/1,-119,-14,2.45,3.76,9.53,2.2,636284,4.05,2.29,0.52,576309,41700,46575,1506
Bradley,Arkansas,2/1,-93,-10,2.67,1.2,7.58,5,468906,0.24,4.65,2.06,982899,15051,44032,4195
Calhoun,Arkansas,2/1,-109,-6,5,4.05,2.9,12.8,172023,3.43,1.03,7.4,233336,4650,42331,1176
Carroll,Arkansas,2/1,-119,-13,2.19,2.51,1.48,7.5,495114,0.14,4.87,3.39,340655,24196,4671,91
Chicot,Arkansas,2/1,-69,-10,4.79,3.79,2.36,10.9,680993,5.15,0.84,6.47,991827,15929,4094,613
Clark,Arkansas,2/1,-81,-16,1.09,0.41,3.18,7.3,304088,4.5,1.37,4.71,627155,39814,21237,1190
Clay,Arkansas,2/1,-119,-7,4.74,4.61,7.41,0.5,619138,0.52,0.85,8.93,295333,36939,42949,4782
Cleburne,Arkansas,2/1,-110,-9,3.68,3.58,1.67,1,615183,2.09,0.22,2.16,684213,30477,8116,2908
Cleveland,Arkansas,2/1,-105,-16,4.33,4.65,0.2,4.6,321392,1.13,5.23,9.56,969952,27925,18954,186
Columbia,Arkansas,2/1,-63,-8,4.86,1.67,4.18,13.7,791792,1.21,1.59,8.88,382231,44587,46189,2866
Conway,Arkansas,2/1,-100,-13,4.79,3.6,11.15,5.7,318863,0.53,2.27,11.53,913645,17557,26570,2190
Craighead,Arkansas,2/1,-99,-7,2.35,0.54,10.28,2.9,289879,4.85,5.07,1.93,253697,30995,25576,1211
Crawford,Arkansas,2/1,-99,-14,3.08,0.28,5.77,8.7,729809,0.74,3.84,2.18,672302,15967,42747,2737
Crittenden,Arkansas,2/1,-112,-15,2.09,5.36,4.54,18,952812,0.93,1.97,11.79,278964,47901,11137,2319
Cross,Arkansas,2/1,-104,-6,4.34,0.44,4.17,19.2,398030,4.19,0.91,2.51,388858,23398,21621,3523
Dallas,Arkansas,2/1,-78,-9,1.54,1.18,8.49,11.5,207111,4.07,1.25,1.73,388785,17868,24152,3790
Desha,Arkansas,2/1,-81,-12,1.03,2.13,3.06,10.8,816626,0.74,1.16,4.8,270927,22509,45571,1994
Drew,Arkansas,2/1,-81,-10,1.22,1.53,4.87,12.3,929672,4.74,2.54,0.96,803199,3942,10492,1176
Faulkner,Arkansas,2/1,-116,-16,0.09,5.26,9.51,4.8,216132,4.24,1.39,10.95,330268,37148,27407,2758
Franklin,Arkansas,2/1,-104,-13,5.37,2.18,8.68,16.6,200881,4.55,4.19,10.04,719547,2384,35254,2501
Fulton,Arkansas,2/1,-102,-11,4.3,1.9,6.61,11.6,940756,3.7,3.62,10.09,195946,16255,27575,1812
Garland,Arkansas,2/1,-82,-7,2.88,0.64,6.85,11.7,741263,3.56,4.33,11.54,643117,35817,41682,1562
Grant,Arkansas,2/1,-94,-7,0.9,4.25,2.8,17.5,338707,1.73,0.33,4.94,314609,35579,11111,2125
Greene,Arkansas,2/1,-83,-16,1.41,0.33,5.24,18,812247,1.6,5.21,3.11,124405,33453,7547,3271
Hempstead,Arkansas,2/1,-100,-6,4.84,0.96,10.68,4.1,809034,5.27,1.01,11.82,597815,42749,30907,4399
Hot Spring,Arkansas,2/1,-70,-6,0.54,3.38,3.37,2.2,130626,2.11,1.9,4.29,255275,29937,26501,1712
Howard,Arkansas,2/1,-100,-12,4.94,5.14,2,15.8,931314,4.36,1.48,4.98,417461,12678,3736,174
Independence,Arkansas,2/1,-88,-13,2.38,3.99,8,8.7,435567,1.26,3.83,4.71,125872,46570,31321,2904
Izard,Arkansas,2/1,-99,-14,0.33,2.28,2.61,8.7,820364,3.34,4.67,9.97,966759,49547,31646,3105
Jackson,Arkansas,2/1,-116,-14,3.79,2.82,10.84,16,616836,1.25,4.17,3.03,681943,34348,4408,2441
Jefferson,Arkansas,2/1,-116,-8,5.11,1.23,2.56,10.5,830555,0.26,0.3,6.99,863203,46997,37044,1613
Johnson,Arkansas,2/1,-73,-16,4.76,2.05,6.99,2.5,448639,1.36,1.77,3.93,251322,27451,42373,3787
Lafayette,Arkansas,2/1,-113,-10,4.32,1.39,9.05,16.8,301476,1.52,4.65,0.09,440071,6754,19729,1336
Lawrence,Arkansas,2/1,-83,-8,1.84,1.08,10.46,19.9,690809,0.95,3.91,8.64,502635,31919,37243,4711
Lee,Arkansas,2/1,-111,-11,5.31,3.08,1.47,4.4,301155,2.71,1.03,3.56,442527,21406,32067,2649
Lincoln,Arkansas,2/1,-62,-12,3.89,0.23,3.34,6.9,213570,2.47,2.09,6.95,452967,19442,33332,2756
Little River,Arkansas,2/1,-72,-9,3.79,1.71,8.87,2.2,803299,0.67,4.9,3.8,418152,15954,30424,2668
Logan,Arkansas,2/1,-68,-6,2.95,0.65,10.24,10.8,582904,3.58,3.97,10.48,259906,47479,7798,4763
Lonoke,Arkansas,2/1,-110,-6,3.3,0.31,1.18,5.7,286391,3.11,1.59,7.4,141723,4569,43037,3513
Madison,Arkansas,2/1,-93,-9,1.63,2.37,8.68,19,527181,2.58,4.58,8.52,239983,2614,28756,4509
Marion,Arkansas,2/1,-100,-12,0.77,3.12,2.82,10.4,218215,1.7,4.35,5.15,965320,44378,34800,3812
Miller,Arkansas,2/1,-85,-7,2.28,3.99,0.71,18.9,495982,4.25,3.85,0.93,562381,15939,32094,1559
Mississippi,Arkansas,2/1,-105,-13,4.41,2.14,1.78,0.9,336849,4.32,4.35,6.18,911200,36632,8408,781
Monroe,Arkansas,2/1,-61,-8,1.05,4.21,2.95,13.3,975895,4.86,2.34,10.64,536215,14374,8062,3130
Montgomery,Arkansas,2/1,-96,-7,1.53,2.05,11.25,4.3,713678,4.11,3.82,5.7,848060,12627,13474,2295
Nevada,Arkansas,2/1,-120,-7,5.28,0.55,4.27,6.5,873483,5.22,1.69,0.26,592079,45934,23533,2816
Newton,Arkansas,2/1,-106,-8,3.03,0.85,2.04,19.7,502729,2.5,2.02,9.66,734066,36155,26876,2582
Ouachita,Arkansas,2/1,-69,-9,3.14,3.7,3.91,19.1,511663,1.31,1.77,1.64,970436,1509,35541,1027
Perry,Arkansas,2/1,-68,-9,1.04,5.17,6.25,9.5,705038,1.51,4.62,1.43,583750,39416,10956,3480
Phillips,Arkansas,2/1,-85,-6,3.68,3.7,4.12,4.7,129271,1.39,1.66,2.23,617688,43036,3030,4227
Pike,Arkansas,2/1,-62,-16,4.97,0.84,7.74,6.2,391269,5.17,5.21,5.57,639243,46678,9916,2772
Poinsett,Arkansas,2/1,-89,-10,5.13,1.09,6.82,17.9,898084,2.67,4,4.46,309772,47305,9629,4627
Polk,Arkansas,2/1,-83,-13,2.11,1.26,11.21,6.3,503798,3.04,3.27,5.27,995699,36793,31278,4082
Pope,Arkansas,2/1,-61,-6,0.87,3.72,11.33,14.5,408728,0.79,5.14,4.16,976997,15773,36234,1204
Prairie,Arkansas,2/1,-91,-15,1.04,1.58,4.71,3,353868,0.52,0.8,10.07,548882,30106,45690,745
Pulaski,Arkansas,2/1,-108,-8,5,2.76,0.18,17.5,264823,2.63,4.35,1.85,914995,31347,29758,4464
Randolph,Arkansas,2/1,-77,-14,4.82,4.73,6.85,15.3,695227,3.62,4.86,1.87,218590,1031,21532,1739
St. Francis,Arkansas,2/1,-70,-6,1.5,0.38,5.2,5.4,145069,1.4,1.56,11.77,132322,45556,32887,2394
Saline,Arkansas,2/1,-68,-13,0.97,2.92,2.44,5.5,361629,3.26,4.43,10.73,362047,42306,46064,4753
Scott,Arkansas,2/1,-67,-6,1.19,0.86,5.04,7.6,350502,2.33,0.67,1.84,831534,7262,6584,2897
Searcy,Arkansas,2/1,-119,-9,2.66,0.75,4.1,7.2,256643,1.38,3.9,2.94,921992,14364,2257,3840
Sebastian,Arkansas,2/1,-64,-7,1.28,4.77,11.52,18.3,585715,1.89,1.61,0.93,363311,32067,27390,821
Sevier,Arkansas,2/1,-115,-10,4.16,1.2,2.45,0.6,467684,0.87,4.17,0.87,484187,9029,49924,3771
Sharp,Arkansas,2/1,-103,-10,4.82,5.46,9.9,17.5,534092,1.69,2.25,0.15,876258,25312,20802,3878
Stone,Arkansas,2/1,-90,-9,3.56,3.34,6.89,16.4,902568,1.89,0.54,6.47,381406,10679,13607,1035
Union,Arkansas,2/1,-70,-12,1.75,0.82,10.78,4.9,917199,4.68,1.38,7.95,521508,26446,49900,1633
Van Buren,Arkansas,2/1,-62,-13,5.45,3.82,8.88,2.5,763067,3.82,4.04,8.42,178117,42436,23762,3767
Washington,Arkansas,2/1,-91,-15,5.01,1.8,11.33,9.7,301789,4.36,1.12,5.6,171217,42500,28734,4562
White,Arkansas,2/1,-106,-16,0.06,2.79,11.24,9.7,982122,2.18,1.86,7.62,298622,49081,19359,4618
Woodruff,Arkansas,2/1,-89,-6,5.31,5.39,7.33,12.6,855663,3.25,1.18,8.45,962465,20932,37149,3998
Yell,Arkansas,2/1,-93,-9,3.39,0.76,1.92,18.5,116122,4.7,3.81,3.57,728834,41831,2485,3543
Alameda,California,2/1,-91,-8,1.14,5.01,10.87,14.1,134303,4.22,3.92,8.38,420352,25572,36501,4585
Alpine,California,2/1,-111,-15,4.99,1.3,5.97,2.6,399053,3,0.88,3.28,961697,24258,41064,643
Amador,California,2/1,-64,-7,4.1,1.16,8.15,5.1,124426,2.77,5.37,1.71,922338,10755,39615,3200
Butte,California,2/1,-69,-12,3.36,0.26,7.58,14.7,637243,2.6,4.58,6.79,667619,29559,34803,4171
Calaveras,California,2/1,-115,-13,3.68,1.2,1.08,4.8,465481,4.59,4.48,3.97,199336,18884,28868,4436
Colusa,California,2/1,-113,-8,1.05,4.8,3.73,18.2,232872,4.92,3.66,4.26,162476,5278,5450,2579
Contra Costa,California,2/1,-109,-8,4.94,4.76,9.68,15.2,904606,3.9,0.82,3.09,812301,11998,18050,2518
Del Norte,California,2/1,-101,-14,3.56,4.7,3.48,5.1,414793,5.16,4.4,7.75,669807,42935,40739,1438
El Dorado,California,2/1,-103,-14,0.35,4.03,4.28,17.3,285578,2.34,5,12,950844,48266,25766,1615
Fresno,California,2/1,-95,-16,3.84,3.96,7.73,13.8,260003,0.7,2.33,0.59,915388,29469,24332,4685
Glenn,California,2/1,-84,-16,4.33,4.36,0.15,9.1,542937,3.53,0.06,3.15,279437,34923,46104,3556
Humboldt,California,2/1,-81,-16,4.31,0.15,2.36,19.4,104335,3.22,3.74,3.97,118088,27895,22646,489
Imperial,California,2/1,-96,-10,5.08,4.84,6.71,17.3,132042,0.9,5.27,7.74,919442,27666,2757,3280
Inyo,California,2/1,-88,-13,3.81,2.32,3.98,10.2,751756,3.26,5.22,8.03,850972,40748,4413,750
Kern,California,2/1,-87,-11,5.1,0.24,11.54,3.1,439713,0.73,1.47,8.26,630508,1343,28949,2608
Kings,California,2/1,-113,-8,5.16,3.16,2.95,15.6,422501,1.9,1.81,2.61,261388,39483,21359,3703
Lake,California,2/1,-71,-9,4.36,0.37,8.87,17.8,259822,3.56,0.98,7.04,270798,30882,14451,3908
Lassen,California,2/1,-97,-13,0.98,2.36,2.24,18.9,231470,4.29,4.1,11.96,726275,48068,4434,1260
Los Angeles,California,2/1,-103,-11,2.26,1.88,8.78,15.1,300716,2.41,3.44,0.32,395541,9783,31478,2803
Madera,California,2/1,-87,-15,2.52,2.35,8.55,7.2,407361,4.54,0.95,1.13,115359,36870,4290,4808
Marin,California,2/1,-96,-13,3.13,1.88,10.47,8.8,244968,2.66,2.38,1.66,977805,11345,46322,3477
Mariposa,California,2/1,-79,-13,5.41,2.74,9.19,14.6,552106,0.55,0.36,7.57,910580,36861,49608,4395
Mendocino,California,2/1,-89,-14,5.25,2.95,11.92,18.4,251636,4.04,5.06,2.5,592954,35755,19057,428
Merced,California,2/1,-75,-16,0.37,4.69,3.91,12.4,587984,3.53,4.66,8.32,433513,18755,35135,4150
Modoc,California,2/1,-106,-15,0.09,2.45,2.33,6.4,266455,1.08,4.95,11.69,388576,46967,35711,144
Mono,California,2/1,-77,-15,4.15,3.8,9.9,0.9,493590,3.55,5.27,3.99,127699,28853,8441,2944
Monterey,California,2/1,-68,-12,2.46,1.64,2.45,11.5,858659,4.27,5.17,7.68,276812,9367,26515,3854
Napa,California,2/1,-76,-15,0.14,0.9,5.2,17.9,744458,0.9,4.32,11.72,274212,28386,18475,2894
Nevada,California,2/1,-118,-8,2.54,3.02,9.77,7.1,399916,0.39,3.72,1.42,334658,7512,15316,3824
