Countries,States,Time,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (KB),Data UL Throughput (KB)
Prince of Wales-Hyder Census Area,Alaska,9:00,-72.45,-7.62,0.87,1.43,0.17,3.21,305277,0.2,0.05,0.02,6758114,1638,40041,677
Sitka,Alaska,9:00,-62.44,-6.98,1.75,1.3,0.3,4.43,591387,0.5,0.03,0.04,6232364,2977,63967,287
Skagway Borough,Alaska,9:00,-60.27,-7.51,1.09,0.6,0.31,2.36,402357,0.43,0.07,0.05,6432487,4169,29582,277
Southeast Fairbanks Census Area,Alaska,9:00,-63.36,-7.54,1.34,1.05,0.28,3.98,531895,0.33,0.06,0.03,8147002,7282,9110,618
Valdez-Cordova Census Area,Alaska,9:00,-65.79,-6.14,1.85,0.6,0.13,4.4,257485,0.13,0.09,0.07,4456290,7791,68668,810
Wade Hampton Census Area,Alaska,9:00,-60.04,-6.71,1.11,1.33,0.47,3.76,599312,0.52,0.05,0.1,6402238,7717,44446,612
Wrangell,Alaska,9:00,-68.02,-7.47,1.22,1,0.22,4.11,906273,0.11,0.02,0.08,6084026,5625,40714,897
Yakutat,Alaska,9:00,-69.66,-7.64,1.47,1.22,0.17,2.94,919744,0.29,0.06,0.04,6508455,5744,73200,846
Yukon-Koyukuk Census Area,Alaska,9:00,-74.81,-6.38,0.7,1.52,0.16,3.58,309004,0.11,0.04,0.03,7620637,4890,11232,140
Apache,Arizona,9:00,-75.47,-7.41,1.98,0.92,0.13,2.12,161594,0.37,0.03,0.03,3837772,1957,51875,483
Cochise,Arizona,9:00,-72.93,-7.1,0.72,1.55,0.3,3.27,219235,0.16,0.1,0.1,4187947,5993,73278,654
Coconino,Arizona,9:00,-61.21,-7.32,0.96,1.41,0.12,4.52,646659,0.51,0.09,0.06,5731640,7815,34788,354
Gila,Arizona,9:00,-74.73,-6.53,0.8,1.59,0.12,2.33,174416,0.52,0.08,0.07,3168668,1546,41304,531
Graham,Arizona,9:00,-72.91,-6.33,1.57,1.74,0.12,3.06,345413,0.28,0.06,0.06,4272496,3761,72949,556
Greenlee,Arizona,9:00,-75.78,-6.25,1.59,1.01,0.31,2,948431,0.5,0.01,0.1,5098998,1282,33375,549
La Paz,Arizona,9:00,-66.47,-7.37,1.25,1.74,0.22,4.49,776150,0.31,0.1,0.06,3136995,5088,64094,354
Maricopa,Arizona,9:00,-61.39,-6.92,1.73,1.19,0.34,2.04,277555,0.44,0.1,0.06,7562316,5528,11899,598
Mohave,Arizona,9:00,-69.04,-6.48,0.87,1.19,0.3,2.22,380252,0.46,0.05,0.02,8161838,3418,74494,198
Navajo,Arizona,9:00,-72.25,-6.73,1.89,0.67,0.46,2.84,225730,0.14,0.03,0.04,4098529,4993,12436,254
Pima,Arizona,9:00,-73.2,-6.91,1.29,1.74,0.28,4.5,851331,0.5,0.07,0.04,6319620,6713,67691,700
Pinal,Arizona,9:00,-63.58,-6.35,1.12,1.63,0.5,2.34,352347,0.56,0.03,0.02,4212412,8003,79118,754
Santa Cruz,Arizona,9:00,-72.82,-7.47,1.85,1.62,0.5,4.22,691916,0.48,0.1,0.06,3179829,9239,46427,864
Yavapai,Arizona,9:00,-67.05,-8,1.78,1.52,0.39,3.98,510658,0.31,0.09,0.03,3307288,3478,78469,552
Yuma,Arizona,9:00,-75.78,-6.13,1.29,1.69,0.36,2.63,320614,0.57,0.08,0.01,5993723,2409,13691,443
Arkansas,Arkansas,9:00,-60.13,-7.67,0.7,0.66,0.2,4.28,570250,0.35,0.04,0.03,4432583,1338,53806,163
Ashley,Arkansas,9:00,-64.6,-6.52,1.58,1.37,0.19,4.62,391091,0.19,0.05,0.07,5372500,6548,46906,631
Baxter,Arkansas,9:00,-70.96,-7.4,1.87,1.03,0.5,3.34,477567,0.2,0.04,0.07,4726074,9420,39718,528
Benton,Arkansas,9:00,-75.4,-7.86,1.64,1.9,0.41,2.6,583975,0.52,0.08,0.04,7752916,6302,50928,304
Boone,Arkansas,9:00,-75.71,-6.81,1.45,0.86,0.36,3.8,403781,0.59,0.05,0.08,3735807,7498,23217,490
Bradley,Arkansas,9:00,-73.41,-7.37,1.76,1.76,0.21,2.19,631045,0.27,0.02,0.09,3446498,9725,44686,479
Calhoun,Arkansas,9:00,-67.66,-6.35,1.63,0.97,0.49,3.32,658555,0.12,0.07,0.05,7400949,4788,58925,135
Carroll,Arkansas,9:00,-62.11,-7.98,0.85,0.69,0.41,2.87,426246,0.29,0.04,0.09,8430909,1704,73286,568
Chicot,Arkansas,9:00,-68.69,-6.9,1.65,0.68,0.27,2.31,980912,0.53,0.01,0.04,7489410,6508,75527,891
Clark,Arkansas,9:00,-68.41,-7.02,1.38,0.68,0.23,2.93,759805,0.16,0.01,0.08,4540668,7817,64010,201
Clay,Arkansas,9:00,-68.07,-6.08,1.26,1.2,0.39,2.84,526477,0.12,0.05,0.01,4669331,4088,79833,243
Cleburne,Arkansas,9:00,-70.99,-6,1.72,1.87,0.42,3.97,286515,0.13,0.1,0.05,3497137,3540,44829,199
Cleveland,Arkansas,9:00,-70.05,-6.32,1.38,0.7,0.34,3.32,636130,0.4,0.08,0.01,4354134,6034,25346,806
Columbia,Arkansas,9:00,-69.8,-7.69,1.13,0.82,0.38,4.89,199322,0.16,0.07,0.08,6858748,3677,53939,259
Conway,Arkansas,9:00,-68.69,-7.71,0.6,1.79,0.27,4.39,861398,0.24,0.04,0.02,5092115,3454,7998,785
Craighead,Arkansas,9:00,-69.81,-7.95,1.18,0.95,0.32,2.24,691655,0.14,0.01,0.02,8445439,5312,28904,877
Crawford,Arkansas,9:00,-61.63,-6.47,1.74,0.95,0.27,4.61,524452,0.2,0.09,0.08,8848381,9821,29526,858
Crittenden,Arkansas,9:00,-66.96,-7.27,1.85,1.4,0.31,2.69,317016,0.45,0.02,0.06,3836338,7608,75761,376
Cross,Arkansas,9:00,-62.96,-6.18,0.98,1.97,0.32,4.25,406210,0.52,0.08,0.05,7077234,2613,76963,614
Dallas,Arkansas,9:00,-72.75,-6.82,1.32,1.62,0.18,4.88,225835,0.28,0.07,0.08,6788372,3982,73890,343
Desha,Arkansas,9:00,-73.06,-6.62,1.58,0.66,0.15,2.4,203278,0.13,0.06,0.03,3075752,2500,50487,131
Drew,Arkansas,9:00,-69.08,-6.74,1.42,0.99,0.46,2.65,124092,0.4,0.04,0.02,6480638,2914,41036,801
Faulkner,Arkansas,9:00,-62.95,-6.13,1.45,0.84,0.29,4.99,958078,0.39,0.09,0.01,7940666,3372,20374,217
Franklin,Arkansas,9:00,-73.82,-7.22,1.99,0.74,0.23,2.53,494531,0.44,0.1,0.09,8278378,6367,29991,343
Fulton,Arkansas,9:00,-71.82,-7.7,1.63,0.71,0.36,3.45,854619,0.34,0.05,0.1,5442007,7343,35947,706
Garland,Arkansas,9:00,-62.34,-6.08,1.47,1.12,0.13,3.71,152668,0.47,0.08,0.09,3951488,2873,45660,727
Grant,Arkansas,9:00,-71.31,-6.67,1.99,0.97,0.21,3.99,416427,0.18,0.08,0.07,8304637,7816,6835,749
Greene,Arkansas,9:00,-69.01,-7.01,1.73,1.19,0.24,4.56,457008,0.45,0.1,0.07,7928859,4558,26852,757
Hempstead,Arkansas,9:00,-72.16,-6.12,1.52,1.73,0.48,2.27,441274,0.21,0.09,0.01,8126955,4170,10942,720
Hot Spring,Arkansas,9:00,-63.74,-7.58,0.75,1.97,0.27,4.41,448214,0.16,0.08,0.04,6290848,5016,23958,167
Howard,Arkansas,9:00,-74,-7.41,0.77,1.2,0.14,2.16,192936,0.52,0.05,0.04,4622017,9967,76257,491
Independence,Arkansas,9:00,-75.94,-7.91,0.87,1.76,0.37,3.67,804194,0.41,0.08,0.07,8813796,3591,71615,541
Izard,Arkansas,9:00,-75.93,-7.66,1.05,0.74,0.47,4.22,465063,0.54,0.09,0.1,6065085,2029,66677,251
Jackson,Arkansas,9:00,-60.62,-7.37,1.23,1.71,0.3,4.27,457054,0.45,0.07,0.09,8451892,2399,22186,638
Jefferson,Arkansas,9:00,-64.13,-7.29,1.27,1.92,0.16,3.94,810777,0.26,0.04,0.07,8659750,2138,10193,867
Johnson,Arkansas,9:00,-75.37,-7.81,0.78,1.02,0.49,2.38,915716,0.11,0.09,0.08,6144326,8746,55893,649
Lafayette,Arkansas,9:00,-69.24,-6.04,1.13,1.11,0.3,4.76,651617,0.11,0.07,0.05,7660705,6957,43386,173
Lawrence,Arkansas,9:00,-61.03,-7.12,0.94,1.44,0.12,4.96,665600,0.6,0.05,0.05,6321988,5526,28058,812
Lee,Arkansas,9:00,-75.83,-7.02,0.97,1.81,0.13,4.16,278899,0.25,0.05,0.06,5308806,6981,66509,719
Lincoln,Arkansas,9:00,-64.8,-7.91,1.09,0.67,0.46,4.01,484463,0.44,0.08,0.07,4210993,8283,54805,112
Little River,Arkansas,9:00,-69.52,-7.73,1.29,1.36,0.11,4.25,228506,0.17,0.08,0.1,4175574,5204,43800,521
Logan,Arkansas,9:00,-60.06,-6.91,1.64,1.5,0.43,4.23,989634,0.39,0.04,0.08,4274586,6016,60628,580
Lonoke,Arkansas,9:00,-62.53,-6.49,1.85,0.97,0.36,4.38,193047,0.12,0.06,0.04,7327767,2410,57010,535
Madison,Arkansas,9:00,-60.48,-6.49,1.25,1.04,0.46,3.63,730908,0.25,0.03,0.09,6093131,5313,34398,180
Marion,Arkansas,9:00,-75.59,-7.75,1.43,1.29,0.37,3.21,373812,0.12,0.03,0.01,5123861,6202,16139,388
Miller,Arkansas,9:00,-61.65,-7.5,1.98,1.67,0.35,2.68,321436,0.17,0.03,0.08,8865366,3325,2877,298
Mississippi,Arkansas,9:00,-61.89,-7.41,0.7,1.83,0.34,4.69,659513,0.35,0.09,0.08,6427322,9461,38122,103
Monroe,Arkansas,9:00,-68.5,-6.56,1.82,1.94,0.32,4.09,609759,0.21,0.08,0.07,5525754,8505,57130,707
Montgomery,Arkansas,9:00,-72.49,-7.88,1.48,1.18,0.5,4.93,465483,0.19,0.07,0.09,5587384,2721,27476,642
Nevada,Arkansas,9:00,-62.64,-6.5,1.89,1.64,0.47,4.59,657588,0.58,0.01,0.04,4507314,3015,35458,168
Newton,Arkansas,9:00,-70.51,-6.23,1.29,1.78,0.21,2.79,361218,0.41,0.02,0.06,6448509,4616,44361,480
Ouachita,Arkansas,9:00,-61.65,-6.35,0.97,1.05,0.15,2.69,969494,0.6,0.03,0.02,5650453,5838,51675,862
Perry,Arkansas,9:00,-74.59,-7.38,1.46,1.08,0.26,4.23,487222,0.17,0.05,0.1,7441108,2754,74483,346
Phillips,Arkansas,9:00,-74.31,-7.46,1.87,1.54,0.32,4.44,606124,0.15,0.06,0.07,5503740,2407,5285,775
Pike,Arkansas,9:00,-65.86,-6.86,0.96,0.86,0.18,3.97,704079,0.36,0.08,0.09,7489293,2794,53803,873
Poinsett,Arkansas,9:00,-62.57,-7.35,0.72,0.75,0.11,4.32,472838,0.3,0.03,0.03,6544432,1424,15911,490
Polk,Arkansas,9:00,-71.72,-6.6,0.73,1.03,0.13,3.76,376099,0.57,0.07,0.06,8321390,3783,41989,481
Pope,Arkansas,9:00,-72.27,-7.89,0.7,1.61,0.42,2.35,723394,0.17,0.04,0.08,8653516,9531,7145,352
Prairie,Arkansas,9:00,-75.51,-7.24,1.23,0.71,0.29,4.76,177014,0.51,0.06,0.03,6671946,3226,6463,264
Pulaski,Arkansas,9:00,-68.57,-7.38,1.82,1.04,0.22,4.34,798713,0.36,0.04,0.04,4353954,8012,31585,182
Randolph,Arkansas,9:00,-72.23,-7.88,1.74,1.52,0.38,4.18,540201,0.6,0.09,0.03,4389570,9325,64819,660
St. Francis,Arkansas,9:00,-75.31,-6.88,1.92,0.64,0.47,3.61,140642,0.18,0.03,0.08,3318453,5620,65513,371
Saline,Arkansas,9:00,-71.08,-7.38,1.97,1.43,0.32,2.43,668138,0.19,0.01,0.02,7729673,2179,22983,721
Scott,Arkansas,9:00,-75.81,-6.84,1.61,1.86,0.28,3.77,779996,0.33,0.09,0.01,8112144,2788,57681,709
Searcy,Arkansas,9:00,-72.52,-6.4,1.34,2,0.47,2.69,983855,0.14,0.09,0.01,4502318,1336,53828,643
Sebastian,Arkansas,9:00,-67.72,-6.48,1.72,0.68,0.18,4.07,826785,0.29,0.04,0.02,4898435,7387,36332,283
Sevier,Arkansas,9:00,-70.7,-7.12,1.76,0.62,0.4,2.02,437651,0.49,0.09,0.02,8149172,2413,61951,218
Sharp,Arkansas,9:00,-61.73,-6.39,1.61,1.97,0.18,4.12,690577,0.25,0.07,0.04,5924630,8868,43486,277
Stone,Arkansas,9:00,-69.66,-6.8,1.68,0.88,0.27,2.01,407421,0.35,0.07,0.04,3982847,9786,55776,349
Union,Arkansas,9:00,-71.6,-6.98,1.23,1.68,0.47,2.02,904211,0.36,0.02,0.08,3228479,4589,7420,316
Van Buren,Arkansas,9:00,-65.79,-6.19,1.92,1.42,0.17,4.93,267819,0.22,0.02,0.02,7307070,3800,73467,576
Washington,Arkansas,9:00,-72.65,-6.89,1.02,1.88,0.31,3.03,320057,0.36,0.03,0.07,7666935,3244,54471,651
White,Arkansas,9:00,-67.52,-6.58,1.02,1.32,0.14,2.37,719898,0.12,0.08,0.04,4890168,8633,16995,280
Woodruff,Arkansas,9:00,-69.28,-6.13,1.11,1.71,0.17,4.13,349947,0.21,0.09,0.04,3033055,2115,77554,499
Yell,Arkansas,9:00,-61.77,-7.68,1.43,1.38,0.43,2.93,464432,0.27,0.01,0.04,5459257,9929,45699,786
Alameda,California,9:00,-62.83,-7.41,0.93,1.96,0.44,2.54,554766,0.22,0.07,0.09,5835628,7775,13492,172
Alpine,California,9:00,-69.13,-6.62,0.7,1.24,0.42,4.95,450077,0.58,0.07,0.05,7917651,1208,62921,100
Amador,California,9:00,-68.54,-6.23,0.84,1.38,0.22,4.79,315747,0.4,0.01,0.04,7291625,7196,7919,705
Butte,California,9:00,-73,-6.77,0.61,0.99,0.29,2.37,893492,0.52,0.02,0.08,3384575,2863,57195,509
Calaveras,California,9:00,-75.22,-6.18,0.92,1.63,0.4,4.82,752766,0.3,0.09,0.1,3551450,1567,73067,576
Colusa,California,9:00,-67.1,-7.9,1.71,1.39,0.45,3.45,514410,0.26,0.05,0.01,7734513,4757,52009,728
Contra Costa,California,9:00,-71.53,-6.46,0.64,1.27,0.11,4.21,547873,0.39,0.1,0.03,7377161,4067,62098,823
Del Norte,California,9:00,-66.38,-7.29,0.92,0.61,0.25,3.53,429270,0.22,0.03,0.01,3508888,5569,24030,461
El Dorado,California,9:00,-68.35,-7.55,1.1,1.66,0.28,3.53,999555,0.18,0.06,0.1,7664244,6384,11171,887
Fresno,California,9:00,-67.28,-6.41,0.87,0.67,0.15,2.97,180222,0.13,0.09,0.04,5881491,7121,79764,527
Glenn,California,9:00,-63.76,-6.92,2,1.81,0.5,4.93,320484,0.33,0.03,0.1,8724574,5673,33636,637
Humboldt,California,9:00,-71.93,-7.45,1.13,1.83,0.47,4.42,926373,0.53,0.08,0.08,4953229,3207,57374,514
Imperial,California,9:00,-71.87,-6.38,1.86,1.82,0.4,2.43,493545,0.36,0.06,0.01,4595059,1157,10792,390
Inyo,California,9:00,-70.75,-6.86,0.67,1.38,0.14,3.14,925190,0.37,0.07,0.09,5551968,9278,74508,362
Kern,California,9:00,-62.92,-7.91,1.18,1.65,0.38,4.46,729201,0.22,0.04,0.03,4014990,8367,74216,529
