Counties,States,Time,Subscriber,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Clay County,Alabama,2017-1-1-0-0,78377196,-113,-6,1.17,2.69,1.42,19.6,349084,3.41,0.78,11.2,995725,10222,49462,2858
Cleburne County,Alabama,2017-1-1-0-0,11439662,-114,-9,1.43,0.12,0.23,11.2,467820,1.51,2.97,8.92,116105,46722,38425,3084
Coffee County,Alabama,2017-1-1-0-0,5970371,-80,-9,1,4.58,7.9,1.4,947568,0.73,1.57,4.33,435902,40865,4658,4141
Colbert County,Alabama,2017-1-1-0-0,20457752,-69,-10,0.33,4.15,7.86,2.1,929351,3.52,2.61,10.21,135318,47831,31101,3818
Conecuh County,Alabama,2017-1-1-0-0,53342398,-97,-11,4.11,1.67,7.06,6.8,640836,4.5,1.46,5.82,517975,8505,30839,4414
Coosa County,Alabama,2017-1-1-0-0,82384482,-100,-16,4.55,0.29,8.16,2.6,812682,4.28,3.79,10.9,630611,44011,25741,4289
Covington County,Alabama,2017-1-1-0-0,89369237,-61,-9,5.12,4.61,9.23,19.9,211660,5.33,4.6,0.08,697788,26543,13217,1906
Crenshaw County,Alabama,2017-1-1-0-0,68679261,-112,-9,4.84,5.5,6.74,4.6,906206,4.03,1.91,1.66,624514,25005,45099,288
Cullman County,Alabama,2017-1-1-0-0,73932912,-109,-10,5.46,1.4,4.47,8.3,845446,3.93,0.31,11.05,600663,35983,6398,3582
Dale County,Alabama,2017-1-1-0-0,30604110,-91,-15,4.88,3.3,0.82,6.4,449175,1.4,0.45,6.86,703793,34372,6350,1535
Dallas County,Alabama,2017-1-1-0-0,79886804,-80,-9,2.4,0.09,3.27,4.7,111188,1.13,2.71,1.23,456225,12499,25485,1031
DeKalb County,Alabama,2017-1-1-0-0,31732693,-116,-10,0.87,0.05,0.4,16.1,529574,1.65,3.58,2.19,142234,33146,43476,4330
Elmore County,Alabama,2017-1-1-0-0,96151667,-106,-7,5.03,3.64,3.8,9.2,494266,0.37,2.54,2.83,781772,2313,45506,3833
Escambia County,Alabama,2017-1-1-0-0,72384040,-116,-9,3.09,3.58,1.48,6.7,516338,2.79,0.41,3.48,236714,36714,39685,3554
Etowah County,Alabama,2017-1-1-0-0,86214605,-70,-16,4.71,0.62,1.35,7.1,722715,3.41,4.58,11,982842,32758,45302,4526
Fayette County,Alabama,2017-1-1-0-0,15706802,-103,-10,2.83,0.77,6.89,4.4,212849,3.57,2.07,11.12,861022,4417,35956,4817
Franklin County,Alabama,2017-1-1-0-0,44082948,-102,-12,0.91,5.13,10.5,7.9,250427,5.24,2.17,2.51,413232,38923,14148,3535
Geneva County,Alabama,2017-1-1-0-0,4682904,-114,-14,4.57,4.38,7.69,8.1,587433,1.35,4.65,5.66,634230,37136,22250,823
Greene County,Alabama,2017-1-1-0-0,45832298,-104,-6,4.8,1.71,3.71,17.4,186967,4.8,0.43,9.85,166553,12887,9624,775
Hale County,Alabama,2017-1-1-0-0,91133160,-91,-8,2.66,0.91,9.39,19.9,893347,2.52,2.84,10.74,198046,42623,20133,647
Henry County,Alabama,2017-1-1-0-0,1014254,-93,-12,1.09,4.04,8.74,11.9,454993,2.25,0.87,4.38,566132,21054,46478,2131
Houston County,Alabama,2017-1-1-0-0,1297123,-75,-8,5.19,2.17,5.1,14.3,162884,1.86,2,3.58,458728,41236,40642,151
Jackson County,Alabama,2017-1-1-0-0,44439876,-84,-11,3.95,1.13,5.12,4.1,954400,4.6,5.3,4.19,710132,19708,7362,2678
Jefferson County,Alabama,2017-1-1-0-0,9190705,-75,-9,4.86,0.06,0.05,8.8,165030,5.43,4.53,0.48,604924,23948,49450,3001
Lamar County,Alabama,2017-1-1-0-0,76067402,-94,-8,1.08,3.9,8.85,17.7,409407,0.97,0.91,3.03,712086,35756,18926,867
Lauderdale County,Alabama,2017-1-1-0-0,26241925,-96,-7,0.26,2.85,10.59,1,791541,1.61,0.89,0.58,703931,34489,34115,4715
Lawrence County,Alabama,2017-1-1-0-0,59894493,-104,-15,2.71,5.49,3.15,2.4,873940,1.69,1.21,9.19,247263,8749,25391,410
Lee County,Alabama,2017-1-1-0-0,57098311,-105,-14,3.83,3.16,2.27,5.8,193638,3.51,4.01,8.13,510138,5560,7253,294
Limestone County,Alabama,2017-1-1-0-0,42762542,-72,-6,0.31,0.56,4.47,10.8,546472,5.31,2.46,5.3,956527,25893,21759,2811
Lowndes County,Alabama,2017-1-1-0-0,46880724,-69,-14,1.74,3.45,11.7,13.9,926201,5.2,3.6,9.7,379626,6806,20942,4562
Macon County,Alabama,2017-1-1-0-0,8704458,-83,-6,0.08,4.59,7.35,19.9,887828,5.31,5.44,1.52,975349,3297,49120,1715
Madison County,Alabama,2017-1-1-0-0,20070912,-109,-7,2.19,1.09,1.5,18.9,626610,1.2,4.99,8.73,780864,37868,9540,3797
Marengo County,Alabama,2017-1-1-0-0,47368697,-88,-11,4.72,0.88,11.04,14.8,465122,3.44,0.44,7.45,418345,20475,9055,3980
Marion County,Alabama,2017-1-1-0-0,20289541,-75,-13,3.83,4.04,11.5,17.9,855157,0.09,2.74,4.57,693618,22387,36424,3386
Marshall County,Alabama,2017-1-1-0-0,27426600,-89,-9,1.46,3.13,11.77,15.8,517712,5.03,3.55,0.22,964290,5324,36123,846
Mobile County,Alabama,2017-1-1-0-0,82172132,-117,-15,1.02,0.09,8.06,12.8,471355,4.59,2.84,0.93,859035,23650,10076,3930
Monroe County,Alabama,2017-1-1-0-0,79909903,-103,-13,3.21,0.85,2.88,17.5,907128,2.23,1.15,10.66,229014,18623,44041,1565
Montgomery County,Alabama,2017-1-1-0-0,76221835,-118,-10,0.81,5.2,10.75,9.8,771232,4.79,2.18,8.38,971611,6613,2489,1823
Morgan County,Alabama,2017-1-1-0-0,27777415,-100,-12,3.61,2.75,11.91,5.9,799625,4.33,3.51,1.62,407587,10911,21607,2251
Perry County,Alabama,2017-1-1-0-0,1644888,-71,-15,2.79,1.85,8.01,7.2,889392,5.36,2.14,10.13,510067,28263,21288,351
Pickens County,Alabama,2017-1-1-0-0,81639415,-107,-6,5.33,1.36,11.32,14.6,342014,3.56,2.41,1.13,171038,39441,36238,4668
Pike County,Alabama,2017-1-1-0-0,83272718,-107,-9,2.84,3.05,11.57,13.8,618239,2.58,4.76,10.35,893700,14039,19587,2795
Randolph County,Alabama,2017-1-1-0-0,2189680,-85,-9,5.14,1.62,4.81,6.2,699142,4.16,2.84,7.69,132458,32421,47146,3124
Russell County,Alabama,2017-1-1-0-0,31132321,-67,-10,3.15,5.41,6.85,19.7,793000,1.95,4.36,4.72,140754,6997,45870,1780
St. Clair County,Alabama,2017-1-1-0-0,7929112,-96,-15,3.76,4.31,3.48,8.4,764660,4.39,1.31,9.49,120078,23765,39373,1840
Shelby County,Alabama,2017-1-1-0-0,87875836,-93,-10,3.7,1.85,0.55,3.5,963904,0.62,5.46,0.11,182360,36500,45125,3994
Sumter County,Alabama,2017-1-1-0-0,94259742,-116,-8,5.09,1.2,6,5,546190,1.74,3.11,3.01,508587,19040,41845,332
Talladega County,Alabama,2017-1-1-0-0,2745647,-80,-14,5.41,2.25,2.77,5.9,260960,2.69,0.58,1.55,138611,37649,40262,1544
Tallapoosa County,Alabama,2017-1-1-0-0,35802416,-118,-16,4.13,0.18,4.48,0.5,134804,3.99,4,7.62,693847,6464,27063,4477
Tuscaloosa County,Alabama,2017-1-1-0-0,1601025,-68,-9,2.88,1.51,5.83,4.3,334912,4.97,1.72,3.29,582196,28408,17443,362
Walker County,Alabama,2017-1-1-0-0,14584101,-112,-12,0.31,0.52,11.16,9.3,348331,3.05,5,5.84,236115,1384,23433,4887
Washington County,Alabama,2017-1-1-0-0,52217483,-110,-13,5.08,3.32,1.95,3.7,951556,1.66,3.51,8.72,911908,4429,12106,4457
Wilcox County,Alabama,2017-1-1-0-0,74532410,-60,-13,5.4,3.96,4.97,12,106458,3.84,3.93,7.82,844023,2126,39624,1047
Winston County,Alabama,2017-1-1-0-0,12509438,-74,-12,3.24,3.57,11.63,10.8,809348,5.08,4.37,1.4,870487,10430,1958,592
Aleutians East Borough,Alaska,2017-1-1-0-0,10515040,-73,-16,3.03,2.24,9.33,12.4,813609,0.17,2.17,10.35,895367,2351,21846,4464
Aleutians West Census Area,Alaska,2017-1-1-0-0,98135351,-103,-16,4.33,2.78,10.23,0.6,688274,2.08,4.58,2.97,706573,39734,28542,136
"Anchorage, Municipality of",Alaska,2017-1-1-0-0,42901524,-115,-11,4.16,2.52,0.79,6.4,414277,4.61,2.71,10.98,805588,33939,25141,2320
Bethel Census Area,Alaska,2017-1-1-0-0,99359744,-98,-10,5.46,3.89,11.88,17.9,152645,5.41,2.02,9.19,172597,16349,28219,244
Bristol Bay Borough,Alaska,2017-1-1-0-0,44110885,-99,-11,1.33,0.51,6.6,6.6,167984,2.44,0.48,1.9,342599,47222,41687,580
Denali Borough,Alaska,2017-1-1-0-0,22192729,-112,-6,4.36,3.19,1.14,17.1,866196,3.68,0.08,6.74,608046,9227,44211,3642
Dillingham Census Area,Alaska,2017-1-1-0-0,37942894,-108,-16,4.4,0.47,3.39,4.1,496139,0.91,4.66,1.67,524040,49679,7233,2036
Fairbanks North Star Borough,Alaska,2017-1-1-0-0,69587858,-97,-11,1.31,2.19,9.37,14.8,853891,4.84,0.86,0.4,399739,13207,28109,673
Haines Borough,Alaska,2017-1-1-0-0,59688141,-107,-15,1.13,5.27,9.96,7.9,131303,4.83,1.99,10.2,831546,17092,30596,1184
Hoonah-Angoon Census Area,Alaska,2017-1-1-0-0,44724746,-86,-10,3,2.79,4.16,12.9,364361,1.66,1.71,10.62,292331,29080,38102,290
"Juneau, City and Borough",Alaska,2017-1-1-0-0,35005214,-105,-10,2.14,4.17,4.64,3.4,764187,3.65,2.02,5.07,676888,34651,10142,4122
Kenai Peninsula Borough,Alaska,2017-1-1-0-0,58052424,-76,-7,2.01,0.35,10.65,8.1,449334,3.81,2.35,3.02,254168,3004,33135,689
Ketchikan Gateway Borough,Alaska,2017-1-1-0-0,14443712,-70,-7,5.01,0.39,11.06,9.7,656118,2.21,3.19,6.24,205380,15617,8752,2766
Kodiak Island Borough,Alaska,2017-1-1-0-0,51356379,-102,-6,3.77,3.36,3.7,16.5,748251,3.52,3.93,5.21,421079,39810,16639,1188
Lake and Peninsula Borough,Alaska,2017-1-1-0-0,52388367,-91,-16,4.55,1.53,6.93,9.1,540121,0.81,4.02,11.86,737278,39543,14282,4092
Matanuska-Susitna Borough,Alaska,2017-1-1-0-0,62271553,-119,-7,0.22,2.43,6.07,2.9,332832,1.33,5.41,3.97,618181,41145,11175,4721
Nome Census Area,Alaska,2017-1-1-0-0,37222729,-63,-11,2.42,2.18,0.73,18.7,578682,3.98,2.89,6.52,475298,31157,16333,415
North Slope Borough,Alaska,2017-1-1-0-0,10876382,-114,-12,0.46,1.04,10.03,9.3,472300,3.46,4.83,0.33,685489,18771,47529,2124
Northwest Arctic Borough,Alaska,2017-1-1-0-0,15123073,-92,-7,0.71,1.52,10.52,17.8,371881,3.5,2.98,9.56,743347,14493,3589,2147
Petersburg Census Area,Alaska,2017-1-1-0-0,99000727,-78,-7,1.95,5.04,0.22,15.4,666400,0.21,0.06,5.98,605517,42396,6390,783
Prince of Wales-Hyder Census Area,Alaska,2017-1-1-0-0,19635600,-79,-10,0.26,3.33,1.57,3.4,819474,2.79,3.73,4.89,812467,29846,45183,4273
"Sitka, City and Borough of",Alaska,2017-1-1-0-0,16605027,-63,-8,4.24,0.74,2.17,1.9,416921,3.79,3.04,9.45,918000,17280,41965,4427
"Skagway Borough, Municipality of",Alaska,2017-1-1-0-0,78626745,-101,-8,2.09,1.42,3.56,3.5,432777,4.65,3.73,1.47,347971,11325,12881,3422
Southeast Fairbanks Census Area,Alaska,2017-1-1-0-0,21274006,-88,-13,1.03,1.48,5.18,14.7,164080,4.97,3.89,3.56,527904,18916,36053,3444
Valdez-Cordova Census Area,Alaska,2017-1-1-0-0,86569120,-75,-6,4.77,0.08,11.6,0.8,351621,3.55,3.79,10.66,532638,44882,4997,4952
Wade Hampton Census Area,Alaska,2017-1-1-0-0,35077175,-104,-7,1.1,4.28,4.99,12.6,538579,3.54,2.97,2.51,827496,35968,44197,3279
"Wrangell, City and Borough of",Alaska,2017-1-1-0-0,65009567,-69,-16,1.42,4.7,7.57,18,356271,0.09,3.75,8.1,209604,9746,17411,724
"Yakutat, City and Borough of",Alaska,2017-1-1-0-0,70152721,-76,-10,4.28,5.16,7.14,1.9,413189,3.88,4.13,9.42,913811,30009,32983,1293
Yukon-Koyukuk Census Area,Alaska,2017-1-1-0-0,89530912,-86,-9,3,0.71,2.81,1.8,391553,0.94,0.55,6.36,303049,41353,31682,3753
Apache County,Arizona,2017-1-1-0-0,22771761,-104,-10,4.08,3.74,3.05,18.9,539612,1.15,0.94,10.27,304780,42706,20859,3983
Cochise County,Arizona,2017-1-1-0-0,24105728,-66,-11,3.88,5.41,8.12,13.7,920824,4.53,5.2,9.93,683174,2993,38734,4557
Coconino County,Arizona,2017-1-1-0-0,63212008,-67,-9,4.39,5.5,9.68,8.7,643162,4.96,1.1,10.32,479753,24304,36321,4281
Gila County,Arizona,2017-1-1-0-0,41023671,-104,-11,5.05,3.98,4.39,19.8,313145,0.41,4.13,4.43,586094,16638,40736,1628
Graham County,Arizona,2017-1-1-0-0,7363807,-79,-6,1.52,4.4,11.68,12.7,107623,4.82,1.91,9.41,680644,35535,11877,3666
Greenlee County,Arizona,2017-1-1-0-0,27047931,-63,-13,0.77,2.18,7.05,1.3,182986,3.11,0.21,9.67,402126,40132,40131,4092
La Paz County,Arizona,2017-1-1-0-0,98080681,-71,-12,3.49,0.1,0.38,5.9,647799,1.96,3.4,6.73,368196,47787,35774,966
Maricopa County,Arizona,2017-1-1-0-0,40948171,-84,-8,2.25,4.56,8.05,11,924415,3.51,5.44,1.18,447343,2857,3460,4808
Mohave County,Arizona,2017-1-1-0-0,93583529,-75,-14,0.28,5.13,2.91,10.8,897771,0.3,3.72,11.84,406195,29305,47183,402
Navajo County,Arizona,2017-1-1-0-0,5270459,-62,-13,3.77,5.08,0.54,12.6,457769,3.41,4.28,3.95,128849,45992,11771,3784
Pima County,Arizona,2017-1-1-0-0,8199182,-68,-6,3.37,3.12,4.6,19.9,139299,3.23,3.72,7.47,417407,23854,10802,61
Pinal County,Arizona,2017-1-1-0-0,21090853,-79,-10,3.98,4.46,11.33,8.4,386408,0.55,0.43,7.73,978629,40219,11633,2839
Santa Cruz County,Arizona,2017-1-1-0-0,50654829,-107,-15,3.91,5.01,7.61,10.3,797584,1.57,4.32,8.53,601579,29129,44864,3279
Yavapai County,Arizona,2017-1-1-0-0,45575200,-109,-10,2.17,1.04,2.2,8.2,456688,3.12,2.34,6.58,797945,21862,12821,2504
Yuma County,Arizona,2017-1-1-0-0,74099145,-107,-8,4.69,5.21,11.44,18.8,662476,0.31,4.06,11.14,180758,40804,43083,3696
Arkansas County,Arkansas,2017-1-1-0-0,63564925,-91,-6,5.4,2.04,11.04,4.4,894237,2.96,4.32,3.97,399707,42694,38157,995
Ashley County,Arkansas,2017-1-1-0-0,68297805,-102,-15,1.3,2.03,2.43,16.5,249018,1.18,4.69,11.68,887740,39993,15090,740
Baxter County,Arkansas,2017-1-1-0-0,10687166,-72,-13,4.26,1.6,0.67,9.3,745754,4.61,2.71,11.81,126798,27683,34386,1428
Benton County,Arkansas,2017-1-1-0-0,64159293,-81,-8,3.33,2.46,1.34,2.3,460477,1.63,4.89,7.89,401154,48532,14638,1481
Boone County,Arkansas,2017-1-1-0-0,72677874,-93,-16,4.68,5.28,7.97,17.9,100298,3.43,4.96,9.93,177432,28963,31237,2928
Bradley County,Arkansas,2017-1-1-0-0,79695731,-87,-15,2.64,1.3,1.21,7.9,318345,1.86,5.26,6.55,417616,15985,2316,1454
Calhoun County,Arkansas,2017-1-1-0-0,71606142,-61,-7,4.7,5.23,7.07,2.6,519309,4.35,1.99,8.09,741068,3484,16849,290
Carroll County,Arkansas,2017-1-1-0-0,30363727,-95,-12,1.34,0.71,2.42,8.1,219468,1.17,2.91,11.62,336426,42286,22366,2235
Chicot County,Arkansas,2017-1-1-0-0,86762704,-120,-14,4.95,1.42,9.58,2.9,231274,2.81,1.62,0.29,633853,11208,18520,1370
Clark County,Arkansas,2017-1-1-0-0,88083652,-68,-14,4.44,2.64,11.33,6,438388,3.24,5.15,6.37,592533,1326,8751,3066
Clay County,Arkansas,2017-1-1-0-0,93311889,-117,-14,1.76,3.27,11.36,7.4,300874,1.14,4.24,11.56,245766,43649,39009,4547
Cleburne County,Arkansas,2017-1-1-0-0,45883162,-92,-9,3.96,1.7,5.47,5.7,104730,4.43,4.5,9.89,517035,42401,20391,2675
Cleveland County,Arkansas,2017-1-1-0-0,83901143,-69,-8,1.78,3.5,4.95,11.7,772999,0.88,4.55,8,540955,16960,32109,4214
Columbia County,Arkansas,2017-1-1-0-0,45058015,-73,-13,1.7,1.82,7.64,15.6,750655,3.96,5.33,2.92,415050,15350,6801,1528
Conway County,Arkansas,2017-1-1-0-0,19651445,-100,-10,3.78,2.82,5.52,3.2,513708,4.79,4.11,2.45,442399,11988,34045,1426
Craighead County,Arkansas,2017-1-1-0-0,60949784,-66,-6,1.8,1.52,7.61,7.7,626760,1.28,4.82,9.73,582679,29374,47149,3258
Crawford County,Arkansas,2017-1-1-0-0,88197779,-87,-15,1.46,5.41,7.43,14.3,341350,3.09,4.39,11.46,551333,48806,11713,4769
Crittenden County,Arkansas,2017-1-1-0-0,36662016,-109,-6,2.11,0.4,7.08,18.9,306878,4.59,4.61,9.99,464308,40942,3515,4982
Cross County,Arkansas,2017-1-1-0-0,44713199,-83,-9,2.21,4.68,6.4,4.8,431834,3.77,4.48,9.81,811743,22473,19635,1964
Dallas County,Arkansas,2017-1-1-0-0,36450922,-101,-12,2.18,4.79,0.13,5,742699,5.39,1.61,3.39,190275,44358,43326,2061
Desha County,Arkansas,2017-1-1-0-0,10023589,-106,-7,4.58,2.68,5.84,19.8,868483,5.39,1.65,9.1,297439,27008,26397,4540
Drew County,Arkansas,2017-1-1-0-0,43382285,-87,-8,2.7,0.47,0.73,10.7,761309,1.22,2.07,11.73,182145,9438,24738,3527
Faulkner County,Arkansas,2017-1-1-0-0,99851005,-114,-14,2.4,3.06,7.25,11.6,844053,2.98,3.87,3.02,837042,13150,23976,3686
Franklin County,Arkansas,2017-1-1-0-0,82132176,-78,-7,1.74,1.57,11.14,16.5,883287,2.8,3.65,5.24,343667,21384,11359,4659
Fulton County,Arkansas,2017-1-1-0-0,22390977,-109,-9,1.76,2.73,6.31,14.5,151049,4.31,0.56,10.35,778881,16383,11939,4512
Garland County,Arkansas,2017-1-1-0-0,63899009,-71,-16,0.11,2.87,0.56,14.2,941159,0.49,1,5.09,323390,7646,17880,4909
Grant County,Arkansas,2017-1-1-0-0,88215187,-80,-10,0.28,5.39,1.83,18.5,686608,2.31,2.74,8.92,652138,4967,40624,4280
Greene County,Arkansas,2017-1-1-0-0,27443298,-77,-8,0.2,0.33,0.9,2.2,879904,3.55,3.98,0.78,212325,25761,5894,398
Hempstead County,Arkansas,2017-1-1-0-0,86982102,-61,-8,1.62,4.4,4.42,8.9,683644,4.29,0.57,4.6,636756,25519,48851,2165
Hot Spring County,Arkansas,2017-1-1-0-0,58640616,-101,-10,3.24,2.46,9.93,7.2,801508,1.71,3.3,3.74,526407,13530,12318,2647
Howard County,Arkansas,2017-1-1-0-0,6515300,-85,-9,2.52,0.33,9.5,2.2,347304,5.41,5.4,9.92,947725,35078,13004,1697
Independence County,Arkansas,2017-1-1-0-0,14707527,-96,-11,0.57,2.49,11.59,6.6,785357,4.99,3.99,1.92,626656,34751,1170,2645
Izard County,Arkansas,2017-1-1-0-0,30784430,-112,-15,3.06,5.12,7.35,19.7,697446,0.18,2.11,11.99,528194,28060,32681,2268
Jackson County,Arkansas,2017-1-1-0-0,71314829,-114,-14,2.13,4.49,4.12,2.6,785671,3.87,2.76,4.61,262567,30213,45580,1900
Jefferson County,Arkansas,2017-1-1-0-0,40697123,-68,-16,3.95,0.56,6.61,3.9,943320,5.12,2.49,9.22,394618,36012,6535,2246
Johnson County,Arkansas,2017-1-1-0-0,57863591,-99,-11,2.24,4.77,10.91,10,101788,2.84,3.51,0.12,117879,26851,9191,3373
Lafayette County,Arkansas,2017-1-1-0-0,53467493,-97,-14,3.84,2.06,3.66,6.4,109622,3.07,3.66,0.37,195591,25891,40597,1467
Lawrence County,Arkansas,2017-1-1-0-0,47975309,-76,-13,4.25,3.04,5.55,18.4,289839,4.93,4.13,5.73,425824,35897,27396,3654
Lee County,Arkansas,2017-1-1-0-0,22724760,-89,-9,5.19,5.37,0.11,6.3,544613,4.73,1.58,10.09,674922,42613,43648,865
Lincoln County,Arkansas,2017-1-1-0-0,59049823,-114,-11,2.03,2.68,10.82,9.5,650680,0.63,0.38,11.73,379066,26582,20486,4987
Little River County,Arkansas,2017-1-1-0-0,76699020,-73,-11,3.84,2.82,9.49,8,380544,1.06,0.42,8.69,836410,6427,48469,4775
Logan County,Arkansas,2017-1-1-0-0,79411008,-71,-7,2.63,0.46,5.68,13,372048,3.28,4.75,5.2,538424,23703,4306,4581
Lonoke County,Arkansas,2017-1-1-0-0,23341670,-88,-14,5.05,4.59,5.85,3.4,876248,0.78,0.8,0.29,275684,37563,46357,1336
Madison County,Arkansas,2017-1-1-0-0,91167942,-114,-10,5.16,1.4,2.45,1.3,355993,0.08,4.37,0.06,423343,46867,25352,1863
Marion County,Arkansas,2017-1-1-0-0,42531365,-107,-8,2.99,5.39,7.58,0.5,796216,4,4.3,3.09,637247,17725,26156,4049
Miller County,Arkansas,2017-1-1-0-0,94435319,-116,-7,1.8,2.67,2.26,17.1,649378,2.97,1.15,9.91,743370,24807,15547,3632
Mississippi County,Arkansas,2017-1-1-0-0,26588540,-77,-15,4.26,1.91,2.71,5.6,524529,4.06,3.92,4.6,737814,12982,30833,2889
Monroe County,Arkansas,2017-1-1-0-0,17463535,-91,-16,2.46,5.15,4.97,1.8,703244,3.59,1.31,6.01,186756,22208,28036,3206
Montgomery County,Arkansas,2017-1-1-0-0,46680122,-84,-8,3.29,4.95,7.08,8.4,996449,0.21,4.61,0.63,249302,42133,15183,4445
Nevada County,Arkansas,2017-1-1-0-0,40811411,-105,-12,4.29,4.32,9.9,1.8,943530,3.16,1.35,10.78,865164,35745,39835,1275
Newton County,Arkansas,2017-1-1-0-0,8002096,-100,-13,2.61,5.22,11.63,15.7,627077,3.55,0.83,0.24,703662,24224,30104,1154
Ouachita County,Arkansas,2017-1-1-0-0,43309587,-71,-11,4.98,4.07,2.92,19.6,108851,1.21,1.93,10.2,819571,32241,21079,4352
Perry County,Arkansas,2017-1-1-0-0,22236831,-105,-8,3.53,0.63,11.48,11.9,559610,2.81,4.39,11.03,674794,34766,9738,3285
Phillips County,Arkansas,2017-1-1-0-0,81320950,-67,-13,3.37,0.12,5.16,10.9,527439,0.7,3.94,3.53,298479,17468,44738,302
Pike County,Arkansas,2017-1-1-0-0,64474993,-114,-16,3.28,4.76,2.18,14.1,966139,2.7,4.92,3.95,184240,39974,46504,1189
Poinsett County,Arkansas,2017-1-1-0-0,88222349,-101,-12,5.45,2.48,5.09,7.1,248191,0.34,0.24,9.85,507987,5735,5499,1964
Polk County,Arkansas,2017-1-1-0-0,38205789,-82,-15,0.37,4.27,9.06,5.2,368866,4.03,2.65,7.24,296973,45758,35874,1341
Pope County,Arkansas,2017-1-1-0-0,50031387,-117,-13,2.81,3.14,1.53,14.2,618483,1.48,5.02,2.38,526283,21598,33388,4215
Prairie County,Arkansas,2017-1-1-0-0,6223737,-119,-15,1.52,0.39,4.08,2.5,210128,3.08,3.01,1.07,189910,35976,42309,3975
Pulaski County,Arkansas,2017-1-1-0-0,85226381,-99,-16,2.34,3.38,3.39,9.2,449883,0.24,0.84,10.8,886119,32469,36987,4115
Randolph County,Arkansas,2017-1-1-0-0,88543176,-116,-8,4.4,1.39,5.1,3.7,852124,3.85,4.97,5.88,791223,1554,47864,1424
St. Francis County,Arkansas,2017-1-1-0-0,93267535,-62,-8,0.4,4.42,2.85,10.3,428399,2.26,3.8,2.85,433971,49537,9671,2950
Saline County,Arkansas,2017-1-1-0-0,47387293,-99,-9,2.54,3.99,2.93,15.4,391422,3.9,1.76,7.21,190635,39560,44943,3617
Scott County,Arkansas,2017-1-1-0-0,90267024,-87,-11,4.26,0.97,7.63,11.7,603612,4.51,3.54,3.85,371689,32265,38876,4176
Searcy County,Arkansas,2017-1-1-0-0,47116973,-101,-11,5.04,2.92,7.77,6.2,271743,3.47,3.68,5.89,654380,41890,20482,4237
Sebastian County,Arkansas,2017-1-1-0-0,75795914,-86,-11,1.2,3.5,1.85,13.6,408288,1.82,3.35,6.38,222343,7154,13628,1557
Sevier County,Arkansas,2017-1-1-0-0,17753695,-111,-15,0.69,1.42,8.34,3.9,531333,5.46,3.63,1.6,135969,6684,5526,1914
Sharp County,Arkansas,2017-1-1-0-0,30972150,-117,-8,2.4,1.67,9.77,13.1,113747,2.76,4.72,6.52,793542,36610,11171,1941
