Country,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Egypt,Vodafone(EGYPT),602/02,2015-1,-69.26,-9.45,0.39,0.17,0.07,0.78,0.8,0.69,0.77,0.81,241737,2937,62048,5134
Egypt,Etisalat Misr,602/03,2015-1,-124.99,-12.75,0.21,0.12,0.17,0.26,0.71,0.16,0.33,0.1,711918,3055,42488,5345
Estonia,Tele2(ESTONIA),248/03,2015-1,-140.03,-10.56,0.11,0.88,0.45,0.36,0.48,0.89,0.92,0.89,103658,8365,90962,5125
France,SFR (Cegetel),208/10,2015-1,-105.81,-8.51,0.55,0.66,0.49,0.84,0.71,0.85,0.23,0.91,542499,1027,50441,5318
France,Orange (Iteneris),208/01,2015-1,-98.74,-11.29,0.43,0.38,0.4,0.09,0.86,0.15,0.6,0.63,558458,7673,27251,9212
France,Free Mobile,208/15,2015-1,-78.57,-9.72,0.5,0.1,0.51,0.87,0.02,0.12,0.84,0.87,843717,5931,91256,2713
France,Bouygues,208/20,2015-1,-129.14,-7.95,0.87,0.89,0.21,0.04,0.88,0.58,0.29,0.8,467824,1926,77308,4267
Germany,Telekom Deutschland (T-Mobile),262/01,2015-1,-123.43,-14.85,0.07,0.76,0.26,0.47,0.2,0.09,0.8,1,638016,1891,13787,2785
Germany,Vodafone(GERMANY),262/02,2015-1,-139.14,-7.02,0.5,0.05,0.11,0.37,0.43,0.11,0.6,0.63,691731,8443,37659,2102
Germany,Telefonica O2/viag,262/07,2015-1,-78.63,-8.9,0.2,0.02,0.11,0.34,0.14,0.91,0.22,0.58,901012,5775,28581,8870
Germany,E-Plus,262/03,2015-1,-81.69,-12.47,0.15,0.59,0.98,0.68,0.09,0.66,0.06,0.27,759392,9692,59830,8092
Hongkong,China Mobile - Peoples,454/12,2015-1,-149.46,-12.84,0.52,0.96,0.05,0.35,0.79,0.57,0.44,0.23,269560,5287,47804,1039
Hongkong,H3G(HONG KONG),454/03,2015-1,-129.86,-9.27,1,0.81,0.34,0.44,0.27,0.36,0.13,0.7,892077,2153,93955,4597
Hongkong,PCCW-HKT Telephone Limited,454/19,2015-1,-86.71,-7.55,0.73,0.96,0.02,0.77,0.09,0.07,0.52,0.57,238601,8019,49464,4971
Hongkong,SmarTone - Vodafone,454/06,2015-1,-63.46,-11.09,0.09,0.61,0.34,0.6,0.98,0.98,0.69,0.74,146120,6052,44859,5897
Hongkong,CSL (C&W),454/00,2015-1,-97.59,-9.73,0.05,0.71,0.01,0.38,0.99,0.91,0.55,0.95,270302,2793,71887,3240
Hungary,Vodafone(HUNGARY),216/70,2015-1,-115.11,-8.74,0.11,0.16,0.95,0.69,0.97,0.19,0.08,0.71,980474,2403,64364,9977
Hungary,T-Mobile(HUNGARY),216/30,2015-1,-71.38,-8.1,0.47,0.75,0.91,0.21,0.76,0.85,0.35,0.59,680697,3457,48233,7289
India,Airtel (Karnataka),404/45,2015-1,-130.43,-14.16,0.54,0.24,0.44,0.1,0.63,0.42,0.82,0.83,835644,7559,63853,9066
India,Airtel (Delhi),404/10,2015-1,-143.12,-11.59,0.15,0.84,0.9,0.32,0.39,0.85,0.3,0.95,717903,1806,15629,6314
Indonesia,Indosat (IDNSL),510/01,2015-1,-122.49,-6.48,0.43,0.39,0.67,0.47,0.06,0.38,0.47,0.43,690943,2125,12408,7674
Ireland,Vodafone(IRELAND),272/01,2015-1,-82.64,-12.67,0.26,0.08,0.79,0.35,0.8,0.76,0.01,0.74,976309,7517,92489,1189
Ireland,Meteor,272/03,2015-1,-76.36,-12.88,0.26,0.33,0.96,0.99,0.17,0.32,0.87,0.63,324374,6907,69515,6240
Ireland,Telefonica O2 (East DigiFone),272/02,2015-1,-67.44,-9.96,0.98,0.59,0.46,0.99,0.42,0.96,0.38,0.11,760286,2000,96035,4692
Italy,Vodafone Omnitel,222/10,2015-1,-130.86,-11.08,0.15,0.46,0.04,0.55,0.75,0.27,0.83,0.34,560760,9277,47577,8337
Italy,Wind,222/88,2015-1,-138.24,-6.48,1,0.72,0.64,0.88,0.15,0.47,0.96,0.98,835936,5313,85754,5471
Japan,KDDI Corporation,440/51,2015-1,-123.96,-11.42,0.84,0.28,0.91,0.71,0.46,0.49,0.55,0.03,358389,8544,76931,2146
Japan,Soft Bank (Vodafone KK),440/20,2015-1,-87.11,-9.62,0.39,0.61,0.09,0.71,0.97,0.92,0.58,0.32,841089,3713,20669,9536
Japan,KDDI,440/50,2015-1,-98.27,-6.66,0.33,0.58,0.41,0.97,0.73,0.77,0.95,0.74,117859,3554,24508,4227
Japan,NTT Docomo,440/10,2015-1,-86.91,-12.21,0.23,0.35,0.49,0.66,0.54,0.36,0.28,0.72,743994,9215,70112,9946
Jordan,Zain (Fastlink),416/01,2015-1,-108.16,-9.59,0.18,0.23,0.57,0.92,0.58,0.05,0.55,0.43,482411,1655,93861,4018
Jordan,Orange (MobileCom),416/77,2015-1,-60.22,-10.52,0.67,0.21,0.72,0.6,0.11,0.62,0.85,0.48,286040,3393,72392,1168
Kazakhstan ,K-Cell,401/02,2015-1,-75.55,-13.69,0.77,0.23,0.85,0.34,0.79,0.99,0.45,0.49,641525,8075,12597,9959
Kuwait,MTC/Zain,419/02,2015-1,-91.05,-6.33,0.55,0.74,0.9,0.53,0.88,0.22,0.92,0.73,820273,3917,23710,4463
Kuwait,Viva (KTC),419/04,2015-1,-96.64,-12.46,0.99,0.23,0.23,0.2,0.41,0.83,0.46,0.37,513797,8223,52492,4815
Lebanon,MTC (MIC 2 Touch),415/03,2015-1,-116.82,-6.29,0.17,0.37,0.02,0.66,0.55,0.25,0.88,0.01,705725,6373,76711,8866
Luxembourg,Tango,270/77,2015-1,-64.8,-7.76,0.92,0.53,0.74,0.4,0.08,0.71,0.08,0.32,276391,8157,21000,3275
Macao,CTM,455/01,2015-1,-152.42,-12.89,0.6,0.69,0.22,1,0.86,0.48,0.23,0.89,306586,3272,91868,2943
Macao,Hutchison 3,455/03,2015-1,-87.9,-7.97,0.86,0.82,0.48,0.42,0.66,0.4,0.66,0.37,977732,8286,36457,7411
Malaysia,Celcom,502/19,2015-1,-136.58,-13.11,0.63,0.23,0.53,0.86,0.83,0.73,0.72,0.71,461585,1536,72465,8585
Malaysia,DiGi  Telecommunication,502/16,2015-1,-118.13,-6.61,0.32,0.8,0.48,0.87,0.78,0.06,0.28,0.12,870946,5995,87240,8409
Malaysia,Maxis,502/12,2015-1,-138.97,-8.32,0.67,0.35,0.77,0.02,0.36,0.19,0.78,0.29,613161,6990,38371,9335
Malta,Vodafone(MALTA),278/01,2015-1,-90.28,-14.27,0.08,0.31,0.52,0.92,0.9,0.51,0.82,0.02,643815,5825,87660,3404
Mauritius,Cellplus Orange,617/01,2015-1,-136.55,-12.02,0.61,0.76,0.85,0.05,0.44,0.32,0.92,0.58,827994,6058,35555,9951
Netherlands,Vodafone(NETHERLANDS),204/04,2015-1,-105.25,-8.53,0.26,0.44,0.07,0.19,0.99,0.24,0.86,0.56,868418,5842,61819,3033
Netherlands,T-mobile (ex Ben),204/16,2015-1,-129.36,-7.47,0.36,0.29,0.22,0.09,0.02,0.42,0.98,0.47,523210,5058,66204,7757
New Zealand,Vodafone(NEW ZEALAND),530/01,2015-1,-130.18,-7.8,0.07,0.77,0.07,0.75,0.48,0.06,0.2,0.36,854120,9396,31328,8602
Nigeria,EMTS,621/60,2015-1,-75.25,-13.64,0.36,0.66,0.56,0.15,0.58,0.06,0.86,1,585447,2066,49864,5526
Norway,Telenor Mobile,242/01,2015-1,-113.95,-8.59,0.89,0.36,0.7,0.66,0.81,0.76,0.83,0.24,792912,3774,44389,1075
Norway,NetCom TeliaSonera,242/02,2015-1,-122.45,-10.86,0.69,0.55,0.79,0.91,0.15,0.24,0.69,0.13,597417,9883,96489,7520
Oman,Nawras,422/03,2015-1,-133.45,-10.1,0.99,0.9,0.48,0.56,0.88,0.78,0.41,0.08,994364,1130,27211,1182
Oman,Oman Mobile - GTO (Omantel),422/02,2015-1,-98.55,-11.95,0.6,0.28,0.2,0.68,0.89,0.79,0.34,0.95,851738,1177,38185,8273
Philippines,Smart,515/03,2015-1,-103.83,-6.15,0.71,0.15,0.96,0.36,0.73,0.35,0.01,0.3,467211,7003,23725,6851
Poland,"T-Mobile (ERA,PTC)",260/02,2015-1,-148.52,-7.2,0.97,0.92,0.26,0.27,0.05,0.77,0.5,0.76,715812,9567,34398,8626
Poland,Orange/Centertel,260/03,2015-1,-110.38,-7.96,0.19,0.56,0.37,0.7,0.14,0.17,0.9,0.88,611663,8364,79460,9572
Portugal,Vodafone(PORTUGAL),268/01,2015-1,-89.08,-6.33,0.86,0.39,0.78,0.72,0.44,0.39,0.05,0.67,566395,7132,48819,8839
Portugal,Optimus (Sonecom),268/03,2015-1,-79.72,-13.02,0.06,0.23,0.04,0.61,0.29,0.51,0.2,0.77,150659,6103,81424,8986
Qatar,Vodafone(QATAR),427/02,2015-1,-111.13,-6.78,0.36,0.07,0.94,0.77,0.69,0.23,0.26,0.92,485380,1288,49512,5275
Qatar,Q-Tel,427/01,2015-1,-69.54,-11.82,0.12,0.83,0.17,0.78,0.2,0.55,0.43,0.99,346909,2646,46007,2732
Romania,Orange (Mobilrom),226/10,2015-1,-63.92,-7.18,0.18,0.3,0.12,0.16,0.63,0.36,0.32,0.26,182291,1522,58225,9231
Russia,MTS(RUSSIA),250/01,2015-1,-155.49,-11.84,0.93,0.77,0.32,0.65,0.96,0.38,0.94,0.79,133666,5483,73702,4709
Russia,MegaFon,250/02,2015-1,-131.48,-7.5,0.26,0.9,0.45,0.82,0.66,0.1,0.88,0.92,228678,9618,25424,9077
Russia,Vimpelcom Beeline (KB Impuls),250/99,2015-1,-70.74,-8.57,0.32,0.78,0.28,0.38,0.33,0.19,0.01,0.37,852850,3377,51796,7573
Saudi Arabia,Saudi Telecom Company,420/01,2015-1,-149.82,-8.34,0.38,0.54,0.43,0.47,0.48,0.2,0.29,0.82,567237,8863,48338,5071
Saudi Arabia,Mobily,420/03,2015-1,-78.07,-13.59,0.89,0.71,0.55,0.26,0.33,0.07,0.98,0.07,690139,9735,61267,4025
SERBIA,Telenor Serbia,220/01,2015-1,-85.75,-13.7,0.63,0.82,0.84,0.86,0.36,0.66,0.03,0.81,537830,5778,72018,1572
Singapore,Mobile One,525/03,2015-1,-100.34,-10.21,0.61,0.99,0.35,0.98,0.5,0.64,0.7,0.13,852521,6612,55024,5460
Singapore,Starhub,525/05,2015-1,-115.75,-9.96,0.75,1,0.65,0.6,0.98,0.56,0.43,0.34,626167,7741,65097,8803
Singapore,SingTel,525/01,2015-1,-139.93,-12.48,0.07,0.81,0.18,0.63,0.97,0.71,0.72,0.23,223452,7151,20482,5000
Slovak Republic,Orange (ex Globtel),231/01,2015-1,-131.82,-10.75,0.93,0.45,0.08,0.15,0.08,0.29,0.31,0.99,737315,1030,71544,8461
Slovenia,SI Mobil,293/40,2015-1,-108.52,-9.56,0.45,0.28,0.36,0.1,0.97,0.93,0.06,0.21,936058,2485,35089,2884
South Africa,Vodacom(SOUTH AFRICA),655/01,2015-1,-90.95,-7.95,0.85,0.87,0.39,0.48,0.53,0.74,0.87,0.8,414532,9628,55905,8040
South Africa,MTN(SOUTH AFRICA),655/10,2015-1,-80.37,-13.82,0.63,0.6,0.58,0.39,0.61,0.01,0.26,0.15,137999,5228,24918,8850
South Korea,KT (KTF),450/08,2015-1,-121.64,-10.75,0.81,0.58,0.91,0.71,0.73,0.05,0.47,0.77,902603,1600,78613,5715
South Korea,SK Telecom,450/05,2015-1,-120.89,-8.74,0.88,0.16,0.68,0.65,0.79,0.87,0.15,0.21,734186,6395,72346,9420
Spain,Orange/Amena,214/03,2015-1,-122.9,-9.49,0.69,0.6,0.18,0.74,0.44,0.19,0.45,0.45,461016,2253,91494,8280
Spain,Vodafone (AirTel),214/01,2015-1,-134.22,-14.3,0.84,0.57,0.51,0.88,0.2,0.2,0.24,0.2,972304,1100,65370,1567
Spain,Xfera Yoigo,214/04,2015-1,-159.95,-14.4,0.15,0.9,0.87,0.05,0.77,0.6,0.58,0.3,735459,7778,80314,6803
Spain,Telefonica Moviles(SPAIN),214/07,2015-1,-103.27,-12.9,0.23,0.75,0.08,0.93,0.57,0.54,0.37,0.34,216893,6433,93902,9659
Sweden,Tele2 - Comviq,240/07,2015-1,-75.73,-12.52,0.71,0.02,0.86,0.12,0.73,0.51,0.88,0.3,666320,6080,59771,3423
Sweden,"Telenor (Vodafone,Europolitn)",240/08,2015-1,-70.54,-8.88,0.02,0.43,0.2,0.18,0.06,0.74,0.95,0.25,596984,1078,12625,8554
Sweden,TeliaSonera Mobile,240/01,2015-1,-133.36,-14.82,0.54,0.66,0.69,0.02,0.56,0.08,0.02,0.92,234796,4992,44688,2854
Switzerland,Swisscom,228/01,2015-1,-131.75,-13.73,0.98,0.55,0.24,1,0.33,0.51,0.73,0.76,640487,1242,81752,7778
Switzerland,Sunrise DiAx,228/02,2015-1,-90.27,-6.42,0.68,0.95,0.58,0.18,0.99,0.94,0.07,0.31,905887,5598,60145,2682
Switzerland,Orange(SWITZERLAND),228/03,2015-1,-72.86,-6.07,0.22,0.25,0.25,0.4,0.33,0.98,0.57,0.91,567934,3265,48307,7357
Thailand,True Move  HSPA,520/00,2015-1,-117.84,-14.39,0.07,0.14,0.83,0.45,0.51,0.74,0.88,0.09,782920,1180,13138,1785
Thailand, AIS,520/03,2015-1,-127.03,-7.64,0.44,0.85,0.38,0.41,0.55,0.26,0.24,0.99,847761,9484,24712,2078
Turkey,Vodafone (TelSim),286/02,2015-1,-153.33,-14.99,0.48,0.43,0.14,0.5,0.61,0.29,0.38,0.93,413489,5883,46125,9997
Turkey,Turkcel,286/01,2015-1,-139.39,-14.08,0.52,0.97,0.76,0.66,0.46,0.41,0.75,0.28,668488,7194,43525,5228
United Arab Emirates,Etisalat(UAE),424/02,2015-1,-133.12,-11.67,0.25,0.54,0.39,0.79,0.24,0.63,0.4,0.74,436127,7262,37568,4939
United Arab Emirates,Du,424/03,2015-1,-121.57,-13.02,0.64,0.32,0.17,0.96,0.96,0.08,0.31,0.23,392525,2962,84457,6509
United Kingdom,Vodafone(UK),234/15,2015-1,-111.45,-14.51,0.82,0.66,0.94,0.51,0.37,0.44,0.02,0.38,782332,6104,91630,6251
United Kingdom,Everything Everywhere,234/30,2015-1,-92.57,-10.58,0.34,0.45,0.8,0.16,0.22,0.1,0.99,0.84,194175,3477,61523,3806
United Kingdom,Telefonica O2 (CellNet),234/10,2015-1,-146.79,-10.83,0.29,0.87,0.44,0.7,0.19,0.56,0.71,0.88,919583,9595,22118,1370
United Kingdom,Everything Everywhere (ex-Orange),234/33,2015-1,-89.85,-11.97,0.59,0.75,0.17,0.28,0.04,0.04,0.33,0.19,276408,9742,67498,7809
Unted States,AT&T,310/410,2015-1,-72.3,-12.72,0.12,0.77,0.23,0.58,0.11,0.33,0.15,0.21,277177,5341,94004,7303
Unted States,Guamcell Cellular and Paging,310/370,2015-1,-127.74,-13.03,0.19,0.34,0.48,0.58,0.75,0.48,0.18,0.4,336886,8123,40675,9918
Unted States,T-Mobile,310/260,2015-1,-73.26,-14.04,0.76,0.26,0.36,0.38,0.43,0.26,0.36,0.41,911275,9276,51055,5612
Unted States,Verizon Wireless,311/48,2015-1,-117.24,-12.59,0.3,0.58,0.61,0.05,0.91,0.78,0.61,0.25,494843,7331,16257,2408
Albania,Vodafone(ALBANIA),276/02,2015-2,-149.33,-12.67,0.63,0.43,0.32,0.02,0.85,0.86,0.56,0.47,366679,4422,93389,1313
Australia,Vodafone Hutchison,505/03,2015-2,-112.2,-10.56,0.48,0.47,0.57,0.66,0.48,0.48,0.81,0.45,982556,4352,16250,2456
Australia,Optus,505/02,2015-2,-123.21,-6.34,0.53,0.31,0.42,0.92,0.63,0.22,0.31,0.4,849190,2780,36508,3320
Australia,Telstra,505/01,2015-2,-136.82,-13.18,0.51,0.27,0.21,0.49,0.87,0.91,0.74,0.63,619852,9935,66986,4462
Austria,A1 Austria Telekom (Mobilkom),232/01,2015-2,-80.37,-7.27,0.86,0.72,0.68,0.33,0.37,0.66,0.81,0.39,838644,5434,30509,5858
Austria,H3G(AUSTRIA),232/10,2015-2,-153.52,-12.48,0.06,0.53,0.74,0.77,0.52,0.11,0.89,0.16,727745,4296,95423,6161
Bahrain,Viva,426/04,2015-2,-77.03,-8.3,0.15,0.55,0.2,0.89,0.38,0.72,0.52,0.28,546314,4295,74340,3546
Bahrain,Batelco,426/01,2015-2,-136.72,-6.18,0.38,0.23,0.08,0.62,0.64,0.18,0.44,0.72,282019,4938,47066,7894
Bahrain,Zain/Vodafone/MTC,426/02,2015-2,-98.88,-6.58,0.14,0.16,0.75,0.75,0.54,0.79,0.94,0.3,685272,6235,71737,7754
Belgium,"Base (KPN,Orange)",206/20,2015-2,-89.99,-10.74,0.02,0.66,0.06,0.68,0.62,0.47,0.55,0.81,832641,9489,44047,8327
Belgium,Mobistar S.A.,206/10,2015-2,-98.5,-8.69,0.42,0.69,0.64,0.86,0.29,0.37,0.12,0.86,459104,3753,27313,8891
Belgium,Belgacom Mobile,206/01,2015-2,-67.91,-6.66,0.76,0.89,0.8,0.39,0.77,0.65,0.06,0.49,674847,3882,37307,2739
Brazil,Vivo S.A,724/10,2015-2,-93.49,-8.63,0.78,0.48,0.87,0.12,0.22,0.79,0.55,0.04,572899,8571,61550,8634
Brazil,TIM,724/04,2015-2,-152.17,-9.45,1,0.43,0.93,0.89,0.46,0.56,0.68,0.52,427132,3210,21549,2618
Bulgaria,Mobiltel,284/01,2015-2,-88.1,-9.56,0.63,0.36,0.27,0.79,0.33,0.69,0.73,0.72,944855,9030,26570,4582
Canada,Bell Mobility,302/610,2015-2,-118.88,-11.12,0.81,0.29,0.64,0.37,0.75,1,0.77,0.35,850626,7483,91498,4383
Canada,Telus Mobility,302/220,2015-2,-70.2,-6.7,0.5,0.77,0.14,0.36,0.24,0.45,0.99,0.97,381055,6681,72098,5655
China,China Mobile,460/07,2015-2,-92.96,-8.04,0.54,0.76,0.67,0.7,0.12,0.78,0.73,0.96,847308,1543,81263,3393
China,China Unicom,460/01,2015-2,-158.42,-6.81,0.86,0.75,0.74,0.22,0.02,0.61,0.22,0.18,678066,5633,23162,3108
China,China Mobile,460/02,2015-2,-153.46,-13.33,0.68,0.97,0.99,0.88,0.12,0.55,0.83,0.24,497331,6629,56814,1794
China,China Mobile,460/00,2015-2,-99.91,-14.74,0.82,0.21,0.16,0.44,0.02,0.68,0.29,0.12,412101,1747,65246,6975
Croatia,Croatian Telecom (ex T- Mobile),219/01,2015-2,-88.72,-9.34,0.8,0.76,0.13,0.01,0.93,0.66,0.62,0.05,122320,5144,24620,1770
Croatia,VIP-net,219/10,2015-2,-101.08,-11.54,0.99,0.85,0.95,0.19,0.39,0.34,0.96,0.33,575505,8596,83736,1032
Czech Republic,Telefonica O2 (Eurotel),230/02,2015-2,-156.59,-7.91,0.12,0.3,0.67,0.38,0.24,0.7,0.92,0.4,585714,3215,70450,2470
Denmark,Telenor (Sonofon),238/02,2015-2,-116.23,-13.68,0.97,0.01,0.98,0.93,0.13,0.07,0.73,0.17,665002,8121,25263,4123
Dominica Rep.,"Orange Dominicana, S.A.",370/01,2015-2,-136.15,-12.76,0.53,0.42,0.99,0.83,0.33,0.14,0.56,0.08,234185,8321,30032,8211
Egypt,Vodafone(EGYPT),602/02,2015-2,-101.53,-13.08,0.74,0.45,0.2,0.36,0.33,0.68,0.99,0.2,423833,2784,17887,5872
Egypt,Etisalat Misr,602/03,2015-2,-154.96,-10.23,0.92,0.09,0.56,0.61,0.51,0.4,0.06,0.24,111868,7198,60988,6653
Estonia,Tele2(ESTONIA),248/03,2015-2,-103.39,-10.57,0.43,0.56,0.91,0.71,0.44,0.7,0.81,0.71,305598,8698,28964,6986
France,SFR (Cegetel),208/10,2015-2,-146.33,-9.04,0.42,0.92,0.59,0.57,0.94,0.29,0.64,0.44,354049,8261,88570,9225
France,Orange (Iteneris),208/01,2015-2,-113.12,-14.12,0.21,0.37,0.4,0.61,0.36,0.89,0.93,0.84,334522,2003,75946,4798
France,Free Mobile,208/15,2015-2,-83.37,-8.73,0.65,0.85,0.36,0.62,0.24,0.42,0.96,0.6,264707,2621,65711,6473
France,Bouygues,208/20,2015-2,-79.05,-7.03,0.1,0.66,0.94,0.23,0.72,0.5,0.01,0.72,806792,7395,73336,8806
Germany,Telekom Deutschland (T-Mobile),262/01,2015-2,-93,-9.98,0.65,0.93,0.32,0.98,0.6,0.33,0.78,0.35,472232,3081,57402,7743
Germany,Vodafone(GERMANY),262/02,2015-2,-103.57,-14.57,0.07,0.2,0.46,0.51,0.11,0.19,0.44,0.68,705773,7088,17077,7710
Germany,Telefonica O2/viag,262/07,2015-2,-75.71,-13.56,0.29,0.6,0.34,0.49,0.21,0.4,0.88,0.84,175344,4193,73968,7844
Germany,E-Plus,262/03,2015-2,-80.43,-12.32,0.69,0.49,0.7,0.9,0.65,0.16,0.05,1,785958,8573,67876,1638
Hongkong,China Mobile - Peoples,454/12,2015-2,-127.62,-11.42,0.71,0.33,0.58,0.39,0.18,0.13,0.93,0.65,454482,2807,50294,9798
Hongkong,H3G(HONG KONG),454/03,2015-2,-122.96,-12.69,0.57,0.85,0.09,0.31,0.52,0.95,0.67,0.21,912745,2684,77068,1274
Hongkong,PCCW-HKT Telephone Limited,454/19,2015-2,-157.6,-13.91,0.44,0.94,0.61,0.68,0.02,0.28,0.76,0.81,329185,8301,72583,4272
Hongkong,SmarTone - Vodafone,454/06,2015-2,-124.55,-8.68,0.17,0.34,0.66,0.37,0.69,0.11,0.86,0.83,206025,2441,97278,7846
Hongkong,CSL (C&W),454/00,2015-2,-142.26,-14.33,0.31,0.91,0.82,0.83,0.39,0.39,0.32,0.11,775476,1295,23114,1831
Hungary,Vodafone(HUNGARY),216/70,2015-2,-137.08,-12.97,0.65,0.46,0.5,0.7,0.24,0.53,0.87,0.34,544823,2359,66165,8468
Hungary,T-Mobile(HUNGARY),216/30,2015-2,-146.06,-10.6,0.02,0.69,0.33,0.71,0.98,0.45,0.13,0.52,402381,8463,82844,1313
India,Airtel (Karnataka),404/45,2015-2,-107.54,-14.71,0.26,0.86,0.48,0.85,0.8,0.86,0.03,0.44,545474,9333,53016,2720
India,Airtel (Delhi),404/10,2015-2,-66.13,-8.92,0.38,0.54,0.31,0.86,0.1,0.21,0.16,0.41,555857,5830,67313,7662
Indonesia,Indosat (IDNSL),510/01,2015-2,-119.49,-6.16,0.66,0.28,0.14,0.11,0.93,0.19,0.74,0.13,295671,1699,23064,9484
Ireland,Vodafone(IRELAND),272/01,2015-2,-68.12,-8.34,0.19,0.09,0.8,0.53,0.04,0.73,0.34,0.3,114644,4387,96013,5222
Ireland,Meteor,272/03,2015-2,-93.98,-12.5,0.27,0.68,0.12,0.91,0.86,0.34,0.23,0.46,544652,2320,75637,9447
Ireland,Telefonica O2 (East DigiFone),272/02,2015-2,-155.14,-13.8,0.92,0.22,0.96,0.85,0.45,0.39,0.61,0.14,754173,2470,48971,2196
