2015-1,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Belgium,Belgacom Mobile,206/01,1-Jul,-134.12,-6.04,0.87,0.8,0.05,0.52,0.94,0.04,0.45,0.17,775440,6628,47514,2987
Brazil,Vivo S.A,724/10,1-Jul,-114.11,-7.58,0.5,0.35,0.28,0.08,0.65,0.3,0.45,0.8,780529,7560,99697,8998
Brazil,TIM,724/04,1-Jul,-69.05,-9.78,0.99,0.14,0.78,0.41,0.17,0.87,0.32,1,993867,7376,64722,6077
Bulgaria,Mobiltel,284/01,1-Jul,-143.73,-14.6,0.96,0.17,0.35,0.96,0.35,0.9,0.35,0.83,931903,1708,58083,2412
Canada,Bell Mobility,302/610,1-Jul,-89.08,-12.71,0.12,0.82,0.83,0.08,0.45,0.28,0.19,0.93,134742,5240,24818,5304
Canada,Telus Mobility,302/220,1-Jul,-136.44,-8.88,0.87,0.38,0.97,1,0.78,0.96,0.48,0.34,659203,4688,31495,5162
China,China Mobile,460/07,1-Jul,-127.99,-11.29,0.93,0.87,0.98,0.67,0.7,0.97,0.78,0.83,881153,6809,30054,7534
China,China Unicom,460/01,1-Jul,-131.26,-6.48,0.49,0.87,0.82,0.78,0.28,0.03,0.69,0.83,323336,8514,33464,3587
China,China Mobile,460/02,1-Jul,-146.88,-6.6,0.44,0.34,0.34,0.88,0.86,0.03,0.02,0.38,410062,7215,89122,3167
China,China Mobile,460/00,1-Jul,-109.15,-12.34,0.55,0.81,0.8,0.16,0.19,0.15,0.45,0.58,669513,9253,77193,2066
Croatia,Croatian Telecom (ex T- Mobile),219/01,1-Jul,-119.53,-8.32,0.11,0.89,0.54,0.31,0.62,0.58,0.05,0.36,478849,1925,38734,3647
Croatia,VIP-net,219/10,1-Jul,-157.9,-10.76,0.62,0.99,1,0.7,0.96,0.32,0.21,0.53,895584,5281,63086,1770
Czech Republic,Telefonica O2 (Eurotel),230/02,1-Jul,-123.66,-7.09,0.25,0.06,0.98,0.13,0.04,0.72,0.51,0.62,353590,3936,98926,4688
Denmark,Telenor (Sonofon),238/02,1-Jul,-108.92,-11.25,0.36,0.8,0.17,0.33,0.31,0.19,0.21,0.99,884353,2414,80287,9130
Dominica Rep.,"Orange Dominicana, S.A.",370/01,1-Jul,-98.5,-13.29,0.61,0.42,0.01,0.08,0.52,0.58,0.13,0.87,801495,1449,11575,2152
Egypt,Vodafone(EGYPT),602/02,1-Jul,-136.63,-14.47,0.85,0.4,0.01,0.05,0.27,0.8,0.39,0.62,930190,1833,99004,1338
Egypt,Etisalat Misr,602/03,1-Jul,-146.93,-7.34,0.14,0.45,0.22,0.61,0.55,0.88,0.39,0.43,758748,9841,83739,8801
Estonia,Tele2(ESTONIA),248/03,1-Jul,-130.81,-11.4,0.74,0.12,0.03,0.63,0.11,0.05,0.62,0.99,557756,4715,80830,2594
France,SFR (Cegetel),208/10,1-Jul,-63.45,-13.04,0.17,0.83,0.56,0.62,0.69,0.15,0.59,0.09,812278,6602,93375,4832
France,Orange (Iteneris),208/01,1-Jul,-89.7,-8.05,0.82,0.1,0.33,0.95,0.83,0.25,0.68,0.05,489807,7585,43702,8971
France,Free Mobile,208/15,1-Jul,-74.6,-11.08,0.92,0.95,0.16,0.53,0.31,0.43,0.31,0.92,960384,5316,42945,8260
France,Bouygues,208/20,1-Jul,-101.65,-10.05,0.1,0.45,0.83,0.82,0.07,0.03,0.65,0.06,477580,9204,67215,1377
Germany,Telekom Deutschland (T-Mobile),262/01,1-Jul,-139.98,-6.19,0.18,0.39,0.5,0.73,0.27,0.94,0.91,0.89,682045,3769,72042,3803
Germany,Vodafone(GERMANY),262/02,1-Jul,-62.35,-10.48,0.22,0.11,0.31,0.95,0.16,0.23,0.08,0.85,309318,1485,23261,1216
Germany,Telefonica O2/viag,262/07,1-Jul,-69.03,-10.18,0.56,0.36,0.69,0.11,0.72,0.99,0.73,0.92,491503,8796,67477,5049
Germany,E-Plus,262/03,1-Jul,-85.92,-12.2,0.28,0.01,0.28,0.91,0.54,0.99,0.63,0.74,180781,1192,63775,8862
Hongkong,China Mobile - Peoples,454/12,1-Jul,-89.72,-8.09,0.7,0.56,0.26,0.1,0.05,0.85,0.03,0.36,115558,6633,16104,4857
Hongkong,H3G(HONG KONG),454/03,1-Jul,-85.09,-11.49,0.39,0.31,0.61,0.96,0.46,0.41,0.5,0.12,948278,6762,49726,2557
Hongkong,PCCW-HKT Telephone Limited,454/19,1-Jul,-123.77,-9.76,0.97,0.46,0.61,0.2,0.78,0.7,0.73,0.36,941702,7252,17378,9783
Hongkong,SmarTone - Vodafone,454/06,1-Jul,-105.23,-10.23,0.21,0.73,0.43,0.59,0.15,0.04,0.22,0.28,317325,9768,11006,2275
Hongkong,CSL (C&W),454/00,1-Jul,-148.67,-8.25,0.67,0.76,0.56,0.16,0.59,0.14,0.91,0.74,861945,9042,97198,8007
Hungary,Vodafone(HUNGARY),216/70,1-Jul,-115.8,-10.57,0.79,0.74,0.89,0.42,0.71,0.23,0.43,0.62,511445,5512,25085,7924
Hungary,T-Mobile(HUNGARY),216/30,1-Jul,-130.44,-12.34,0.28,0.83,0.6,0.42,0.54,0.13,0.87,0.96,947666,3893,42875,6877
India,Airtel (Karnataka),404/45,1-Jul,-124.85,-7.39,0.24,0.12,0.93,0.5,0.21,0.49,0.77,0.23,320552,5164,55045,3137
India,Airtel (Delhi),404/10,1-Jul,-100.2,-14.85,0.62,0.29,0.38,0.97,0.66,0.67,0.07,0.65,625376,4425,79137,7407
Indonesia,Indosat (IDNSL),510/01,1-Jul,-63.98,-9.93,0.04,0.55,0.37,0.7,0.39,0.45,0.4,0.97,201014,2384,11791,6785
Ireland,Vodafone(IRELAND),272/01,1-Jul,-146.63,-11.86,0.16,0.42,0.4,0.16,0.94,0.72,0.58,0.46,435621,1946,16189,5782
Ireland,Meteor,272/03,1-Jul,-102.13,-14.9,0.21,0.37,0.38,0.62,0.86,0.41,0.27,0.02,995463,5367,68806,8409
Ireland,Telefonica O2 (East DigiFone),272/02,1-Jul,-105.22,-9.38,0.12,0.74,0.26,0.65,0.66,0.84,0.7,0.01,890816,8883,43279,1628
Italy,Vodafone Omnitel,222/10,1-Jul,-117.64,-6.94,0.35,0.12,0.42,0.73,0.72,0.32,0.86,0.6,704800,8438,90252,7543
Italy,Wind,222/88,1-Jul,-113.53,-9.64,0.75,0.23,0.81,0.63,0.86,0.44,0.45,0.4,626448,4176,17665,8422
Japan,KDDI Corporation,440/51,1-Jul,-87.99,-7.03,0.69,0.56,0.98,0.37,0.24,0.89,0.5,0.27,514671,9123,35394,2191
Japan,Soft Bank (Vodafone KK),440/20,1-Jul,-75.99,-9.08,0.15,0.61,0.7,0.86,0.3,0.81,0.81,0.5,440352,1116,11432,6318
Japan,KDDI,440/50,1-Jul,-61.93,-6.8,0.64,0.76,0.15,0.18,0.27,0.62,0.12,0.18,908772,9313,28713,3261
Japan,NTT Docomo,440/10,1-Jul,-104.94,-11.47,0.63,0.62,0.96,0.71,0.93,0.52,0.05,0.45,984551,9796,89481,9659
Jordan,Zain (Fastlink),416/01,1-Jul,-80.3,-14.85,0.76,0.57,0.6,0.98,0.96,0.95,0.11,0.47,516649,9185,22377,4480
Jordan,Orange (MobileCom),416/77,1-Jul,-103.08,-6.32,0.07,0.44,0.68,0.59,0.84,0.34,0.09,0.49,101085,8562,37719,7964
Kazakhstan ,K-Cell,401/02,1-Jul,-116.28,-10.67,0.32,0.12,0.3,0.92,0.15,0.33,0.48,0.27,263394,8332,85119,2177
Kuwait,MTC/Zain,419/02,1-Jul,-151.53,-13.31,0.57,0.2,0.59,0.07,0.23,0.75,0.35,0.13,251085,7388,52872,3447
Kuwait,Viva (KTC),419/04,1-Jul,-108.54,-10.02,0.65,0.52,0.87,0.64,0.13,0.89,0.3,0.06,440814,1644,64087,5141
Lebanon,MTC (MIC 2 Touch),415/03,1-Jul,-103.06,-11.39,0.4,0.85,0.13,0.69,0.95,0.02,0.84,0.68,914959,6956,94463,9426
Luxembourg,Tango,270/77,1-Jul,-152.02,-13.32,0.63,0.97,0.54,0.86,0.59,0.14,0.37,0.67,740760,7399,68681,1211
Macao,CTM,455/01,1-Jul,-129.68,-8.84,0.23,0.69,0.83,0.36,0.25,0.23,0.29,0.31,227543,6199,68484,3833
Macao,Hutchison 3,455/03,1-Jul,-99.9,-12.23,0.14,0.5,0.84,0.23,0.23,0.19,0.43,0.89,421945,2529,83228,8399
Malaysia,Celcom,502/19,1-Jul,-157.6,-6.4,0.37,0.88,0.88,0.04,0.09,0.22,0.95,0.12,869138,8669,49970,7197
Malaysia,DiGi  Telecommunication,502/16,1-Jul,-100.16,-6.25,0.64,0.37,0.85,0.32,0.55,0.76,1,0.25,569052,3791,22956,2266
Malaysia,Maxis,502/12,1-Jul,-110.46,-7.82,0.09,0.23,0.49,0.35,0.51,0.92,0.07,0.35,953853,8863,76077,1981
Malta,Vodafone(MALTA),278/01,1-Jul,-65.99,-8.24,0.87,0.02,0.3,0.28,0.14,0.29,0.04,0.73,713453,9378,12704,1959
Mauritius,Cellplus Orange,617/01,1-Jul,-65.22,-8.74,0.49,0.69,0.86,0.24,0.37,0.37,0.02,0.21,284880,4150,87037,8337
Netherlands,Vodafone(NETHERLANDS),204/04,1-Jul,-146.75,-14.36,0.49,0.89,0.92,0.14,0.84,0.62,0.18,0.19,749377,8336,86743,6642
Netherlands,T-mobile (ex Ben),204/16,1-Jul,-126.09,-10.04,0.24,0.29,0.49,0.05,0.24,0.59,0.12,0.33,736904,3549,84128,1337
New Zealand,Vodafone(NEW ZEALAND),530/01,1-Jul,-108.84,-10.81,0.81,0.88,0.35,0.85,0.37,0.7,0.84,0.98,233960,6552,36119,9252
Nigeria,EMTS,621/60,1-Jul,-84.76,-10.27,0.98,0.52,0.38,0.08,0.29,0.71,0.41,0.1,264108,3171,38496,7018
Norway,Telenor Mobile,242/01,1-Jul,-106.08,-8.27,0.56,0.85,0.66,0.19,0.09,0.12,0.61,0.23,512625,9988,66793,4882
Norway,NetCom TeliaSonera,242/02,1-Jul,-66.25,-7.1,0.25,0.47,0.62,0.67,0.35,0.86,0.44,0.11,414410,3502,12654,6332
Oman,Nawras,422/03,1-Jul,-76.66,-10.88,0.11,0.17,0.5,0.75,0.37,0.83,0.8,0.53,118005,6321,35898,9909
Oman,Oman Mobile - GTO (Omantel),422/02,1-Jul,-131.58,-6.39,0.61,0.48,0.7,0.85,0.65,0.3,0.05,0.53,208542,2962,87125,4333
Philippines,Smart,515/03,1-Jul,-141.04,-7.31,0.93,0.16,0.84,0.73,0.27,0.04,0.65,0.59,610418,5472,15119,2465
Poland,"T-Mobile (ERA,PTC)",260/02,1-Jul,-72.82,-13.95,0.4,0.87,0.4,0.4,0.2,0.81,0.55,0.42,406941,5628,75721,8043
Poland,Orange/Centertel,260/03,1-Jul,-79.63,-10.48,0.74,0.51,0.76,0.33,0.84,0.18,0.04,0.71,657028,1477,41282,5647
Portugal,Vodafone(PORTUGAL),268/01,1-Jul,-74.24,-9.8,0.89,0.98,0.83,0.46,0.03,0.69,0.97,0.08,935197,6071,52464,3321
Portugal,Optimus (Sonecom),268/03,1-Jul,-148.13,-6.68,0.27,0.47,0.49,0.53,0.57,0.37,0.43,0.71,812841,7958,14971,4854
Qatar,Vodafone(QATAR),427/02,1-Jul,-142.51,-9.5,0.5,0.9,0.66,0.69,0.64,0.19,0.76,0.63,163646,4544,94997,8636
Qatar,Q-Tel,427/01,1-Jul,-93.14,-7.75,0.83,0.32,0.02,0.18,0.07,0.18,0.04,0.92,989100,2761,31875,4036
Romania,Orange (Mobilrom),226/10,1-Jul,-159.43,-12.45,0.2,0.12,0.41,0.35,0.11,0.68,0.61,0.94,232124,7674,54125,1293
Russia,MTS(RUSSIA),250/01,1-Jul,-145.44,-11.15,0.12,0.38,0.48,0.06,0.9,0.81,0.82,0.95,861700,2924,84764,9886
Russia,MegaFon,250/02,1-Jul,-67.55,-6.06,0.4,0.89,0.97,0.36,0.7,0.27,0.57,0.35,730487,8319,22820,5140
Russia,Vimpelcom Beeline (KB Impuls),250/99,1-Jul,-139.6,-9.93,0.28,0.6,0.5,0.46,0.35,0.89,0.9,0.7,505092,7216,13963,4600
Saudi Arabia,Saudi Telecom Company,420/01,1-Jul,-145.23,-13.9,0.05,0.63,0.34,0.1,0.97,0.02,0.03,0.72,507924,8491,89579,8738
Saudi Arabia,Mobily,420/03,1-Jul,-84.89,-13.27,0.5,0.77,0.68,0.41,0.97,0.03,0.43,0.52,501836,5391,50445,3056
SERBIA,Telenor Serbia,220/01,1-Jul,-104.73,-11.88,0.43,0.41,0.2,0.19,0.05,1,0.46,0.08,333089,3940,67710,2406
Singapore,Mobile One,525/03,1-Jul,-65.21,-8.59,0.13,0.39,0.18,0.44,0.52,0.61,0.22,0.58,612670,8348,15249,9509
Singapore,Starhub,525/05,1-Jul,-79.03,-12.36,0.38,0.37,0.11,0.5,0.56,0.98,0.31,0.14,583052,8306,61792,7121
Singapore,SingTel,525/01,1-Jul,-61.27,-7.86,0.02,0.03,0.27,0.72,0.46,0.86,0.3,0.08,888291,8187,21819,3010
Slovak Republic,Orange (ex Globtel),231/01,1-Jul,-105.39,-7.55,0.12,0.13,0.41,0.68,0.69,0.15,0.93,0.09,966860,7843,43278,6052
Slovenia,SI Mobil,293/40,1-Jul,-148.14,-14.77,0.51,0.54,0.16,0.44,0.16,0.25,0.49,0.37,329671,8047,59889,6197
South Africa,Vodacom(SOUTH AFRICA),655/01,1-Jul,-147.35,-12.58,0.61,0.99,0.67,0.92,0.55,0.53,0.22,0.93,924858,8932,15915,1065
South Africa,MTN(SOUTH AFRICA),655/10,1-Jul,-149.03,-11.44,0.37,0.56,0.74,0.75,0.43,0.13,0.19,0.37,506094,6811,60487,1497
South Korea,KT (KTF),450/08,1-Jul,-101.12,-10.06,0.78,0.71,0.47,0.15,0.33,0.33,0.43,0.59,446029,9022,85468,4067
South Korea,SK Telecom,450/05,1-Jul,-87.9,-8.91,0.15,0.49,0.73,0.91,0.97,0.53,0.44,0.22,111223,5565,95938,4220
Spain,Orange/Amena,214/03,1-Jul,-133.84,-13.47,0.72,0.87,0.51,0.03,0.82,0.62,0.17,0.66,523945,8429,30408,4665
Spain,Vodafone (AirTel),214/01,1-Jul,-60.88,-12.93,0.42,0.61,0.18,0.3,0.2,0.86,0.7,0.61,218818,9323,71464,1880
Spain,Xfera Yoigo,214/04,1-Jul,-115.74,-10.17,0.8,0.05,0.41,0.56,0.29,0.73,0.28,0.37,570375,6449,23764,6664
Spain,Telefonica Moviles(SPAIN),214/07,1-Jul,-151.08,-8.18,0.15,0.82,0.08,0.5,0.9,0.24,0.51,0.54,968657,6975,10343,5917
Sweden,Tele2 - Comviq,240/07,1-Jul,-118.51,-7.86,0.26,0.49,0.17,0.78,0.23,0.11,0.08,0.12,757428,7896,61393,9490
Sweden,"Telenor (Vodafone,Europolitn)",240/08,1-Jul,-84.75,-12.57,0.72,0.24,0.44,0.81,0.52,0.14,0.94,0.52,224004,6370,37450,5717
Sweden,TeliaSonera Mobile,240/01,1-Jul,-126.95,-13.45,0.91,0.74,0.41,0.88,0.65,0.05,0.14,0.13,988863,7743,42626,6074
Switzerland,Swisscom,228/01,1-Jul,-105.64,-12.57,0.13,0.45,0.77,0.7,0.25,0.55,0.31,0.61,706818,1150,33581,7253
Switzerland,Sunrise DiAx,228/02,1-Jul,-114.07,-6.47,0.21,0.48,0.5,0.05,0.5,0.04,0.79,0.54,567793,6153,88555,1785
Switzerland,Orange(SWITZERLAND),228/03,1-Jul,-149.51,-8.72,0.42,0.68,0.19,0.16,0.4,0.46,0.37,0.6,253423,7834,77803,2620
Thailand,True Move  HSPA,520/00,1-Jul,-125.24,-14.6,0.71,0.45,0.85,0.69,0.18,0.61,0.55,0.23,879064,8145,41779,8530
Thailand, AIS,520/03,1-Jul,-78.9,-13.26,0.22,0.8,1,0.58,0.36,0.45,0.23,0.14,661435,8130,36925,9757
Turkey,Vodafone (TelSim),286/02,1-Jul,-139.5,-12.3,0.14,0.39,0.92,0.49,0.66,0.21,0.32,0.46,382198,4247,53625,4142
Turkey,Turkcel,286/01,1-Jul,-93.92,-11.48,0.99,0.85,0.69,0.55,0.11,0.93,0.95,0.39,983407,7977,63924,8864
United Arab Emirates,Etisalat(UAE),424/02,1-Jul,-115.05,-11.28,0.45,0.38,0.3,0.59,0.87,0.95,0.79,0.83,479780,9345,91584,6526
United Arab Emirates,Du,424/03,1-Jul,-67.27,-13.7,0.22,0.67,0.17,0.58,0.32,0.5,0.56,0.24,752129,5732,34249,7776
United Kingdom,Vodafone(UK),234/15,1-Jul,-154.3,-11.66,0.52,0.54,0.94,0.95,0.11,0.34,0.2,0.92,633508,7547,59322,2489
United Kingdom,Everything Everywhere,234/30,1-Jul,-70.43,-12.97,0.3,0.96,0.75,1,0.11,0.17,0.37,0.76,658728,8442,91065,2904
United Kingdom,Telefonica O2 (CellNet),234/10,1-Jul,-116.32,-12.57,0.12,0.05,0.57,1,0.81,0.14,0.95,0.58,273815,7747,76201,7763
United Kingdom,Everything Everywhere (ex-Orange),234/33,1-Jul,-79.69,-12.96,0.64,0.62,0.84,0.47,0.24,0.46,0.22,0.7,269347,6376,93853,4568
Unted States,AT&T,310/410,1-Jul,-142.49,-8.61,0.83,0.88,0.69,0.64,0.19,0.47,0.81,0.88,277298,9291,27790,1675
Unted States,Guamcell Cellular and Paging,310/370,1-Jul,-124.41,-11.12,0.29,0.3,0.65,0.54,0.49,0.24,0.07,0.01,194930,5258,27657,1681
Unted States,T-Mobile,310/260,1-Jul,-115.5,-9.52,0.99,0.24,0.72,0.13,0.51,0.52,0.18,0.14,646122,9299,73245,7570
Unted States,Verizon Wireless,311/48,1-Jul,-72.66,-13.58,0.53,0.97,0.94,0.51,0.17,0.46,0.77,0.48,623872,9519,61750,1471
Albania,Vodafone(ALBANIA),276/02,2-Jul,-123.21,-9.52,0.02,0.38,0.43,0.08,0.78,0.37,0.91,0.83,519276,8289,71985,6465
Australia,Vodafone Hutchison,505/03,2-Jul,-130.73,-8.97,0.25,0.6,0.93,0.78,0.07,0.42,0.91,0.65,441017,1758,75380,6083
Australia,Optus,505/02,2-Jul,-111.48,-7.07,0.2,0.66,0.52,0.25,0.69,0.07,0.89,0.84,625100,8585,19171,4601
Australia,Telstra,505/01,2-Jul,-115.06,-11.87,0.59,0.18,0.84,0.9,0.43,0.41,0.41,0.29,527253,7233,68021,7848
Austria,A1 Austria Telekom (Mobilkom),232/01,2-Jul,-107.67,-14.52,0.41,0.42,0.23,0.96,0.16,0.59,0.92,0.77,443173,8907,21568,7090
Austria,H3G(AUSTRIA),232/10,2-Jul,-135.85,-12.33,0.5,0.17,0.51,0.47,0.17,0.6,0.15,0.48,722308,4670,95306,9664
Bahrain,Viva,426/04,2-Jul,-105.38,-6.18,0.05,0.98,0.63,0.33,0.86,0.59,0.44,0.85,897438,5395,11588,8365
Bahrain,Batelco,426/01,2-Jul,-104.97,-14.23,0.58,0.4,0.39,0.26,0.76,0.47,0.07,0.53,806521,1370,30496,2574
Bahrain,Zain/Vodafone/MTC,426/02,2-Jul,-84.63,-10.84,0.31,0.75,0.7,0.3,0.03,0.31,0.25,0.53,685472,4731,29484,8802
Belgium,"Base (KPN,Orange)",206/20,2-Jul,-108.66,-13.98,0.64,0.33,0.38,0.61,0.52,0.65,0.65,0.75,721890,6276,93366,5599
Belgium,Mobistar S.A.,206/10,2-Jul,-109.52,-6.84,0.11,0.5,0.85,0.04,0.72,0.8,0.33,0.49,473584,4627,69444,8517
Belgium,Belgacom Mobile,206/01,2-Jul,-93.09,-8.64,0.52,0.65,0.83,0.34,0.19,0.56,0.58,0.18,516057,6329,89362,8306
Brazil,Vivo S.A,724/10,2-Jul,-157.03,-7.5,0.85,0.39,0.46,0.45,0.52,0.52,0.52,0.33,242111,3344,51566,3655
Brazil,TIM,724/04,2-Jul,-116.86,-12.48,0.64,0.7,0.2,0.68,0.55,0.02,0.06,0.48,945812,3044,47505,2983
Bulgaria,Mobiltel,284/01,2-Jul,-87.45,-14.53,0.85,0.49,0.67,0.93,0.8,0.3,0.23,0.26,438500,2114,33656,6640
Canada,Bell Mobility,302/610,2-Jul,-77.46,-14.48,0.55,0.39,0.41,0.35,0.12,0.14,0.68,0.97,603865,6650,12479,4263
Canada,Telus Mobility,302/220,2-Jul,-138.39,-8.53,0.71,0.12,0.8,0.27,0.18,0.76,0.75,0.49,943066,8601,28745,3050
China,China Mobile,460/07,2-Jul,-72.92,-8.36,0.52,0.18,0.37,0.6,0.97,0.07,0.98,0.66,770497,4930,60733,2123
China,China Unicom,460/01,2-Jul,-147.16,-12.2,0.64,0.17,0.85,0.74,0.62,0.41,0.24,0.79,388676,2109,12409,8248
China,China Mobile,460/02,2-Jul,-126.17,-14.35,0.65,0.52,0.16,0.68,0.84,0.55,0.08,0.85,718111,8849,38354,6661
China,China Mobile,460/00,2-Jul,-101.64,-6.66,0.74,0.77,0.68,0.99,0.07,0.47,0.31,0.91,576740,6866,38081,8805
Croatia,Croatian Telecom (ex T- Mobile),219/01,2-Jul,-66.86,-13.13,0.25,0.92,0.41,0.24,0.1,0.09,0.15,0.86,587992,3332,69499,2935
Croatia,VIP-net,219/10,2-Jul,-95.48,-7.63,0.56,0.14,0.12,0.7,0.79,0.3,0.93,0.79,246126,3769,33725,4328
Czech Republic,Telefonica O2 (Eurotel),230/02,2-Jul,-83.55,-14.2,0.81,0.8,0.99,0.77,0.92,0.56,0.24,0.58,961522,2600,69356,4846
Denmark,Telenor (Sonofon),238/02,2-Jul,-150.86,-13.59,0.01,0.35,0.2,0.24,0.4,0.32,0.34,0.23,721777,3017,77000,5392
Dominica Rep.,"Orange Dominicana, S.A.",370/01,2-Jul,-155.77,-8.53,0.21,0.68,0.85,0.12,0.7,0.55,0.03,0.04,317082,6777,42442,1162
Egypt,Vodafone(EGYPT),602/02,2-Jul,-60.75,-9.36,0.22,0.9,0.22,0.95,0.49,0.24,0.29,0.2,144138,2705,41962,8689
Egypt,Etisalat Misr,602/03,2-Jul,-153.14,-12.82,0.32,0.91,0.71,0.92,0.1,0.91,0.55,0.52,486507,4675,69852,3424
Estonia,Tele2(ESTONIA),248/03,2-Jul,-82.86,-11.66,0.34,0.85,0.38,0.41,0.76,0.55,0.29,0.97,210948,1038,32809,2504
France,SFR (Cegetel),208/10,2-Jul,-117.09,-13.03,0.15,0.04,0.18,0.98,0.99,0.18,0.49,0.41,880582,3998,82763,9750
France,Orange (Iteneris),208/01,2-Jul,-125.75,-12.69,0.16,0.17,0.56,0.08,0.97,0.84,0.38,0.78,607258,9535,45864,9283
France,Free Mobile,208/15,2-Jul,-126.12,-8.92,0.14,0.67,0.53,0.76,0.72,0.95,0.14,0.14,527895,2317,27360,8695
France,Bouygues,208/20,2-Jul,-110.8,-12.28,0.47,0.95,0.32,0.23,0.62,0.56,0.75,0.06,806084,6631,41607,6013
Germany,Telekom Deutschland (T-Mobile),262/01,2-Jul,-61.66,-11.91,0.87,0.53,0.62,0.45,0.66,0.17,0.04,0.99,669767,4050,93452,8938
Germany,Vodafone(GERMANY),262/02,2-Jul,-85.31,-7.17,0.38,0.53,0.73,0.54,0.13,0.91,0.18,0.07,204825,7426,80186,5621
Germany,Telefonica O2/viag,262/07,2-Jul,-151.51,-6.95,0.51,0.49,0.28,0.95,0.36,0.16,0.55,0.44,352665,5758,60829,9221
Germany,E-Plus,262/03,2-Jul,-105.7,-6.85,0.27,0.37,0.92,0.39,0.84,0.64,0.02,0.56,899164,5410,60012,1399
Hongkong,China Mobile - Peoples,454/12,2-Jul,-83.85,-9.45,0.36,0.97,0.62,0.49,0.08,0.61,0.94,0.05,789532,1779,40862,8347
Hongkong,H3G(HONG KONG),454/03,2-Jul,-61.08,-9.28,0.67,0.14,0.87,0.67,0.52,0.97,0.63,0.15,648590,9704,20513,7359
Hongkong,PCCW-HKT Telephone Limited,454/19,2-Jul,-131.72,-12.83,0.58,0.72,0.35,0.53,0.82,0.79,0.89,0.98,206939,5000,82813,2617
Hongkong,SmarTone - Vodafone,454/06,2-Jul,-69.55,-9.87,0.62,0.88,0.5,0.13,0.08,0.73,0.67,0.25,780072,1728,37962,3225
Hongkong,CSL (C&W),454/00,2-Jul,-144.72,-8.05,0.16,0.87,0.06,0.67,0.24,0.29,0.9,0.46,297145,6942,56124,7153
Hungary,Vodafone(HUNGARY),216/70,2-Jul,-62.37,-10.48,0.36,0.15,0.77,0.43,0.81,0.08,0.29,0.27,716510,7869,61384,7401
Hungary,T-Mobile(HUNGARY),216/30,2-Jul,-94.12,-7.03,0.67,0.85,0.89,0.83,0.17,0.4,0.21,0.15,195763,5632,49562,2533
India,Airtel (Karnataka),404/45,2-Jul,-112.89,-13.22,0.39,0.7,0.31,0.62,0.79,0.63,0.44,0.33,225066,1784,29562,8177
India,Airtel (Delhi),404/10,2-Jul,-112.55,-10.36,0.21,0.33,0.55,0.06,0.92,0.42,0.2,0.25,879748,6885,56981,9332
Indonesia,Indosat (IDNSL),510/01,2-Jul,-76.04,-6.65,0.81,0.09,0.12,0.28,0.51,0.55,0.72,0.66,590665,2882,73242,1146
Ireland,Vodafone(IRELAND),272/01,2-Jul,-120.71,-9.65,0.46,0.46,0.69,0.59,0.64,0.76,0.25,0.24,403018,3605,18876,6307
