Region,Time,Subscriber_Prepaid,Subscriber_Postpaid,Subscriber_Combo1,Subscriber_Combo2,Subscriber_Combo3,Subscriber_Combo4,Subscriber_Combo5,Subscriber_Combo6,Subscriber_Combo12,VoLTE Holding Time_VoLTE holding Time,Data_Downlink traffic,Data_Uplink traffic,Coverage_Avg RSRP,Coverage_SINR,Quality_Avg RSRQ,VoLTE_Call setup success rate,VoLTE_Call completion success rate,VoLTE_Call setup time ,VoLTE_Drop call rate,VoLTE_IMS registration latency ,VoLTE_IMS registration success rate,VoLTE_HO interruption time,VoLTE_MOS,VoLTE_Speech path delay,Data_Call setup success rate,Data_Call completion success rate,Data_Call setup time ,Data_Drop call rate,Data_HO interruption time ,Data_Low throughput samples rate,Data_Retransmission rate,Streaming_Startup time,Streaming_MOS,Streaming_Freeze rate ,Streaming_Number of video stall,Streaming_Dropped frame rate,Streaming_Reproduction start failure rate,Streaming_Reproduction start delay,Streaming_Buffering time,Streaming_number of re-buffering,Streaming_Synchronization index,Streaming_Throughput,Streaming_Inter packet delay,Streaming_Jitter,Streaming_Packet loss rate,Streaming_Round trip time,Gaming_Startup time,Gaming_MOS,Gaming_Dropped frame rate,Gaming_Reproduction start failure rate,Gaming_Reproduction start delay,Gaming_Throughput,Gaming_Inter packet delay,Gaming_Jitter,Gaming_Packet loss rate,Gaming_Round trip time,Chatting_DNS lookup attempt,Chatting_Avg ping time,Chatting_App login time
BTB,0:00,2883,32783,19713,3283,2260,813,2663,2144,1907,152.17,1966.83,432.61,-87.05,17.13,-9.34,97.94,98.29,278.53,0.4,87.48,97.89,81.2,4,70.73,97.53,98.41,250.31,0.71,33.13,1.69,0.13,898.43,5,0.37,3,0.36,0.36,886.62,743.15,2,0.09,7.28,96.39,43.46,0.43,32.69,659.92,5,0.11,0.47,512.46,2.88,64.68,71.86,0.98,98.21,1,42.25,32.51
BTP,0:00,3386,32066,21089,2800,2198,1934,1683,1215,1146,81.61,2073.02,454.53,-85.55,22.31,-10.73,97.21,99.83,291.52,0.5,75.23,97.16,82.66,4,67.36,97.47,97.63,164.57,0.68,90.96,1.41,0.21,843.81,4,0.76,1,0.81,0.73,321.26,354.96,3,0.93,2.27,36.89,82.89,0.58,42.58,464.54,5,0.67,0.96,897.65,2.91,86.59,51.11,0.78,77.82,1,91.08,66.81
CCK,0:00,3191,33939,20469,2667,2293,1839,1946,2775,1950,224.79,2203.16,394.44,-87.77,23.52,-8.81,98.09,99.09,192.55,0.37,58.5,97.07,34.93,5,46.97,97.47,99.03,283.61,0.41,36.42,1.41,0.5,633.57,5,0.51,3,0.41,0.7,308.02,950.12,2,0.93,2.19,62.82,45.36,0.3,45.96,474.75,5,0.89,0.29,579.75,6.63,62.34,83.21,0.77,91.16,2,62.93,88.88
CLM,0:00,2979,30986,19495,1856,1853,1432,1213,2407,2729,50.41,2590.78,403.73,-72.97,18.57,-10.3,97.19,99.71,267.75,0.97,61.17,97.23,67.9,4,32.79,99.39,98.65,278.54,0.89,72.18,1.25,0.24,994.89,5,0.99,3,0.66,0.81,493.27,604.92,1,0.55,7.78,82.38,49.03,0.25,76.02,646.72,5,0.39,0.21,640.46,1.39,88.78,32.3,0.96,89.22,1,91.4,93.5
CNG,0:00,3167,31528,20302,1762,1688,1869,1562,1768,2577,64.49,2540.53,404.69,-70.17,20.88,-10.63,99.35,97.7,274.54,0.91,60.08,99.82,70.36,5,92.71,98.37,98.91,283.88,0.75,90.32,1.21,0.39,698.58,4,0.47,1,0.21,0.08,506.25,922.31,1,0.24,6.98,47.49,56.88,0.32,74.17,358.26,5,0.6,0.27,945.44,5.15,49.19,66.45,0.32,57.19,2,91.4,33.47
CTH,0:00,2000,29547,17442,2287,2172,2153,2000,1428,2064,86.82,1572.99,364.17,-77.43,20.15,-8.21,98.06,97.58,253.79,0.1,60.45,98.7,34.04,4,88.73,98.89,98.22,293.49,0.99,96.01,1.84,0.13,959.05,4,0.16,2,0.23,0.82,720.84,421.31,3,0.36,8.34,47.12,49.01,0.36,36.28,702.97,5,0.13,0.74,854.41,8.69,84.91,45.59,0.34,31.15,1,69.85,66.27
ECS,0:00,2787,31627,18987,2731,1800,2123,1490,2960,1536,111.67,803.99,398.88,-83.16,20.94,-8.35,97.07,98.68,248.09,0.52,68.7,99.52,99.78,5,56.39,97.24,97.18,253.59,0.38,40.32,1.49,0.1,462.24,5,0.4,2,0.91,0.77,379.69,825.44,2,0.1,6.1,49.03,43.2,0.29,63.18,962.76,5,0.56,0.69,565.11,9.41,38.15,79.42,0.77,50.33,1,79.98,35.68
GUL,0:00,3898,31546,20476,1647,2534,1338,1716,1930,1904,70.57,2042.90,368.71,-82.59,17.43,-11.79,99.8,98.57,256.91,0.45,48.93,98.23,92.73,4,44.13,99.55,97.48,233.22,0.07,94.74,1.34,0.26,479.7,5,0.37,1,0.97,0.3,818.8,537.3,3,0.14,1.19,80.56,81.49,0.41,64.62,648.87,5,0.12,0.4,873.68,1.39,39.09,96.26,0.32,71.56,1,42.21,31.99
HGG,0:00,2961,32553,19578,2291,2879,1442,2538,1650,2175,122.76,1192.03,401.39,-80.18,23.47,-11.45,98.26,97.23,242.5,0.92,87.51,97.83,78.46,5,35.74,98.08,98.89,206,0.51,33.93,1.32,0.38,557.08,4,0.55,3,0.72,0.84,413.49,646.52,2,0.43,7.56,59.4,86.04,0.14,78.94,498.5,5,0.79,0.1,374,4.3,69.24,30.02,0.53,87.76,3,46.43,45.44
HLV,0:00,3115,30896,19601,2200,1504,1827,1733,2289,1741,111.01,2060.74,386.07,-84.94,18.89,-11.47,97.49,99.62,266.11,0.22,47.94,99.15,35.28,5,70.05,98.42,97.17,162.05,0.32,53.52,1.74,0.44,304.36,5,0.31,1,0.4,0.93,677.12,641.99,1,0.87,3.8,32.47,35.09,0.98,95.65,870.95,4,0.44,0.15,718.7,1.53,39.65,30.99,0.26,39.43,2,36.78,62.76
JRE,0:00,4136,32176,18987,2060,2522,2496,2143,1932,2035,-5.16,2425.72,395.11,-84.84,17.24,-10.08,98.48,99.5,283.47,0.63,65.2,97.39,63.71,5,77.49,97.04,97.27,185.39,0.51,45.52,1.49,0.39,343.59,4,0.28,3,0.58,0.42,487.88,776.05,2,0.68,8.87,57.96,88.18,0.83,62.87,903.83,5,0.99,0.82,966.46,8.04,88.17,93.3,0.22,41.55,2,95.31,43.36
JRI,0:00,1267,32865,20466,1534,1684,1123,2790,2929,2340,19.40,898.99,412.23,-80.78,23.62,-10.93,98.05,99.62,203.81,0.86,37.5,97.86,92.42,5,35.97,98.69,97.74,285.46,0.19,97.02,1.42,0.49,329,4,0.73,2,0.57,0.78,376.21,680.85,3,0.86,1.52,78.61,49,0.62,41.91,432.46,4,0.49,0.73,987.6,1.07,46.18,86.84,0.51,47.53,2,69.14,45.39
JRW,0:00,2965,30501,20538,1940,1311,1108,1615,1728,2262,175.50,2686.35,385.62,-77.98,21.57,-8.81,99.04,99.21,285.64,0.2,90.32,99.86,84.42,5,76.9,98.46,99.24,281.41,0.07,32.99,1.96,0.2,874.66,5,0.33,1,0.25,0.64,543.97,979.76,1,0.24,2.35,66.03,50.47,0.34,45.96,806.14,4,0.9,0.59,477.85,9.72,82.99,31.82,0.73,32.35,3,95.27,87.08
KLG,0:00,4652,30116,19229,1119,1908,2576,2005,1824,1455,180.87,2698.33,393.11,-87.82,16.09,-9.35,98.78,98.51,224.93,0.39,65.17,99.92,90.57,5,95.61,98.27,99.97,257.17,0.66,92.28,1.28,0.31,375.15,5,0.77,1,0.19,0.7,390.86,901.07,1,0.47,8.31,39.34,33.21,0.6,47.38,586.09,5,0.43,0.38,461.71,1.88,66.57,62.43,0.47,31.36,1,58.33,63.15
KRD,0:00,2243,30797,19775,2040,2803,996,1929,2550,705,94.53,1880.58,451.48,-79.35,19.06,-8.84,99.94,99.19,224.45,0.54,45.15,97.1,55.26,5,55.49,98.45,99.42,217.62,0.85,51.97,1.81,0.42,721.69,5,0.71,2,0.15,0.17,768.78,528.72,1,0.47,6,68.23,40.9,0.59,93.15,348.27,5,0.85,0.12,315.61,5.71,90.2,42.55,0.07,61.14,1,87.48,98.27
KRJ,0:00,1626,34848,21824,1745,2064,2389,1999,2639,2189,122.69,2366.79,382.07,-74.35,23.61,-11.28,97.91,98.52,262.84,0.94,57.22,98.75,96.95,4,50.28,97.62,97.47,252.4,0.18,71.76,1.32,0.43,510.01,4,0.47,3,0.78,0.91,536.79,991.63,1,0.37,2.38,67.49,65.06,0.28,88.25,881.85,4,0.7,0.21,838.26,3.83,84.28,81.75,0.95,39.55,1,38.07,69.35
LCK,0:00,2312,30685,19039,2538,1748,1575,1602,1715,2469,-2.64,1309.28,393.05,-71.45,23.79,-9.83,99.05,97.04,283.77,0.25,39.97,98.19,58.83,4,37.71,98.14,97.8,201.53,0.88,46.22,1.77,0.14,480.1,5,0.24,3,0.8,0.18,523.56,574.87,3,0.78,2.52,94.59,75.49,0.9,96.28,554.38,5,0.11,0.98,583.52,2.52,51.16,60.83,0.82,81.67,2,77.3,74.36
LTG,0:00,3334,32086,20605,2188,1825,1000,2084,2158,2225,4.06,1581.17,405.57,-85.71,16.96,-9.7,97.95,98.22,282.84,0.43,92.93,99.55,76.67,4,32.84,99.29,98.34,185.04,0.77,34.59,1.94,0.11,850.31,4,0.27,1,0.09,0.59,505.11,450.79,2,0.79,8.63,72.33,90.07,0.83,36.03,826.74,4,0.51,0.93,768.63,7.96,40.17,85.23,0.53,96.67,2,82.27,42.5
MBY,0:00,2192,32318,19433,1710,2242,2280,2550,2647,1456,62.65,2298.32,377.20,-82.91,21.6,-9.02,99.23,97.59,224.59,0.38,64.05,98.39,64.44,4,72.34,98.13,99.14,241.53,0.8,54.68,1.89,0.46,948.68,4,0.67,3,0.25,0.6,944.39,744.92,1,0.82,7.78,84.89,67.62,0.08,49.13,585.42,5,0.79,0.83,622.37,8.5,59.83,77.99,0.48,79.49,2,35.27,71.46
MND,0:00,3150,30141,18816,1436,2022,1847,2412,2154,1454,62.84,2281.71,394.57,-79.96,22.25,-10.36,99.55,97.38,299.54,0.68,45.83,97.04,31.77,5,66.18,98.97,99.77,256.06,0.77,96.48,1.69,0.28,626.34,4,0.6,3,0.56,0.99,887.74,864.34,2,0.27,6.64,94.36,83.08,0.69,37.73,380.54,4,0.45,0.91,878.48,8.14,74.62,70.44,0.62,42.62,1,55.6,60.81
MPR,0:00,3908,29944,19973,2623,1342,1567,1494,1814,1130,14.56,1235.79,394.49,-88.86,19.73,-9.97,98.74,99.77,169.68,0.98,40.58,99.11,48.94,5,56.14,97.93,97.32,209.61,0.48,83.36,1.16,0.46,566.03,5,0.22,1,0.88,0.71,659.28,893.35,2,0.7,9.99,70.52,42.13,0.22,69.99,802.39,5,1,0.6,643.15,2.59,83.05,86.77,0.81,64.32,3,43.84,83.99
MSL,0:00,3114,33490,20838,2595,1121,2260,1932,2587,2157,134.73,1535.25,412.56,-81.82,20.6,-8.43,98.1,97.34,192.07,0.34,83.81,98.76,74.23,5,49.58,97.08,99.51,290.35,0.86,35,1.23,0.3,376.21,5,0.86,1,0.97,0.98,339.62,308.24,3,0.96,6.48,33.65,79.99,0.82,55.04,993.03,4,0.36,0.95,727.93,5.99,38.72,88.35,0.16,80.94,1,87.77,31.66
ORC,0:00,1138,33184,20501,1395,2408,2485,1623,1963,2808,146.61,2707.12,352.07,-70.03,22.54,-9.67,98.63,97.77,232.02,0.62,97.7,98.94,76.98,4,39.33,99.38,98.32,235.61,0.24,56.75,1.23,0.23,714.27,5,0.47,2,0.93,0.91,859.61,903.43,3,0.45,8.77,78.82,55.26,0.46,31.63,340.58,5,0.74,0.27,990.69,7.36,86.92,85.19,0.4,72.71,3,56.37,66.09
PGL,0:00,3506,29347,18887,1850,1930,1812,1030,1903,1935,122.03,1067.69,428.59,-84.87,23.97,-9.32,98.34,98.33,281.54,0.56,33.39,97.4,49.18,5,58.7,98.66,98.09,271.4,0.17,96.41,1.32,0.18,479.18,5,0.75,2,0.19,0.58,411.95,886.33,3,0.83,9.7,48.23,92.96,0.08,78.21,589.74,4,0.2,0.4,308.84,7.59,39.47,46.2,0.44,78.71,3,75.34,66.34
PLB,0:00,2008,29880,20712,1939,1022,1407,901,1834,2065,44.53,2887.66,410.71,-81.67,21.87,-8.34,100,99.62,196.98,0.45,67.91,97.56,34.27,4,70.65,97.74,98.2,244.09,0.93,73.83,1.28,0.29,933.11,5,0.22,2,0.25,0.69,312.2,762.42,3,1,3.18,92.68,46.32,0.88,65.38,856.15,5,0.71,0.47,685.54,9.97,59.24,37.58,0.75,57.28,2,89.36,94.67
PNR,0:00,2738,32852,20146,1789,2139,2596,1965,2118,2099,79.27,2248.77,401.01,-88.79,23.98,-9.77,100,99.11,270.55,0.82,67.37,98.35,44.45,5,48.34,97.5,99.46,287.89,0.46,83.45,1.78,0.28,416.02,4,0.21,3,0.72,0.24,489.85,927.61,3,0.85,6.42,51.81,73.61,0.98,53.78,379.54,5,0.74,0.84,532.14,3.34,52.09,49.11,0.22,66.09,3,57.67,67.93
PRS,0:00,2490,32330,21909,1490,1739,1610,2170,1803,1608,-5.32,1993.02,433.55,-70.8,17.46,-9.03,100,98.58,173.64,0.07,76.44,97.59,37.38,5,38.45,98.01,98.18,201.78,0.2,43.27,1.3,0.43,795.84,5,0.74,1,0.29,0.77,775.34,699.38,3,0.22,6.28,58.49,76.74,0.63,43.96,405.02,4,0.53,0.2,415.2,3.73,55.52,90.05,0.76,68.67,3,57.67,94.9
PTK,0:00,3004,34846,21319,2544,2397,1371,2119,2800,2297,105.36,1874.46,383.57,-85.27,17.46,-10.17,100,97.84,245.93,0.43,59.24,98.04,76.28,5,66.52,97.32,97.89,203.65,0.19,61.94,1.16,0.49,396.7,5,0.32,2,0.22,0.74,975.17,713.68,1,0.18,2.71,39.04,63.51,0.91,70.1,908.36,4,0.27,0.86,912.29,3.31,80.91,82.82,0.64,92.62,1,52.07,75.52
PUB,0:00,3684,31489,20196,1821,1394,1879,1997,2725,1477,71.11,1814.49,428.43,-73.2,22.48,-10.58,100,97.98,290.42,0.55,42.41,99.9,39.74,4,85.77,99.63,98.71,150.97,0.45,53.44,1.75,0.27,487.63,5,0.87,2,0.47,0.37,919.77,735.28,3,0.55,8.21,78.03,53.56,0.15,79.47,992.55,4,0.25,0.59,541.35,8.57,47.72,53.15,0.87,88.69,2,30.53,71.51
SDM,0:00,1714,33942,20951,2830,1676,2352,2142,1592,2400,118.41,2297.05,389.17,-77.81,22.65,-8.28,100,97.84,254.43,0.59,83.39,98.63,47.34,5,64.55,99.76,97.35,195.94,0.83,33.29,1.1,0.45,604.64,5,0.96,3,0.26,0.44,967.42,751.87,2,0.79,5.65,37.69,83.93,0.08,94.59,501.21,4,0.42,0.08,331.43,5.86,67.68,43.64,0.92,59.49,2,94.74,55.51
SHW,0:00,3743,30605,19236,1595,1834,1639,2766,2208,1327,129.99,2330.96,398.88,-85.48,16.08,-9.03,100,99.95,252.85,0.86,62.42,97.24,83.95,5,61.61,98,99.68,203.75,0.25,53.8,1.36,0.38,556.8,5,0.33,3,0.73,0.21,864.73,710.93,1,0.29,6.51,42.22,81.06,0.21,33.37,377.14,4,0.69,0.08,829.49,8.31,73.07,36.2,0.98,59.55,2,57.69,57.02
SKG,0:00,3929,32099,20128,2148,1829,1629,2731,1773,1860,192.66,2594.49,410.82,-87.81,20.41,-11,100,98.29,239.8,0.24,92.55,97.17,65.73,5,52.56,97.02,98.83,218.11,0.45,82.77,1.53,0.47,314.31,5,0.81,1,0.56,0.08,436.06,355.07,1,0.9,7.71,85.05,40.81,0.36,93.34,654.06,5,0.65,0.54,514.82,5.75,56.18,55.11,0.19,66.06,2,51.72,95.03
SMB,0:00,3755,30100,18996,2096,2386,1887,1680,1263,1792,29.59,2029.45,369.90,-78.03,19.46,-10.49,100,99.74,191.25,0.27,98.54,98.31,88.41,5,64.11,97.29,99.37,174.53,0.34,72.51,1.82,0.17,499.62,5,0.66,1,0.1,0.63,987.46,750.49,1,0.52,7.16,38.32,72.7,0.5,45.5,662.35,5,0.22,0.73,866.03,5.02,65.89,32.15,0.37,98.33,1,39.82,97.35
SMI,0:00,5249,31440,19937,1717,1161,1726,2532,2439,1929,62.28,1467.79,451.38,-76.24,21,-11.14,100,97.58,170.33,0.46,67.17,97.06,40.29,5,63.56,98.73,98.96,177.46,0.57,96.6,1.89,0.26,563.58,4,0.13,2,0.25,0.15,730.89,744.1,1,0.67,9.6,48.46,59.8,0.8,36.57,786.46,5,0.39,0.78,597.22,3.08,79.1,60.93,0.15,58.29,3,52.53,44.06
SRG,0:00,2192,30465,19826,1324,1578,1018,1850,1587,3283,86.36,1090.89,420.64,-77.98,21.43,-10.45,100,97.01,204.17,0.58,64.39,99.64,78.52,5,85.53,98.35,99.94,161.88,0.27,74.66,1.86,0.27,691.13,5,0.24,2,0.88,0.13,679.14,430.17,3,0.13,9.94,33.11,47.28,0.17,92.49,764.34,5,0.21,0.18,501.58,4.45,96.8,47.74,0.94,47.69,3,82.55,95.47
STS,0:00,2884,31840,20164,2215,2815,1408,1558,2003,1678,156.46,2348.30,395.63,-73.9,16.77,-11.2,100,97.76,182.62,0.73,94.51,98.73,79.31,5,81.59,98.74,99.79,228.59,0.66,75.78,1.57,0.28,698.8,4,0.5,3,0.71,0.16,701.76,437.69,3,0.1,7.54,97.82,58.33,0.35,68.04,763.78,5,0.13,0.15,871.46,2.3,80.65,75.58,0.33,57.41,3,76.66,40.02
TBL,0:00,2467,32301,19622,2421,981,2725,2947,1871,1735,21.65,2543.36,377.06,-70.8,17.66,-8.95,97.05,97.33,169.08,0.36,49.41,98.19,91.54,4,40.32,97.52,98.83,260.7,0.42,85.54,1.69,0.2,661.45,5,0.11,2,0.96,0.15,536.5,338.74,2,0.11,7.03,52.73,40.17,0.33,33.19,930.77,4,0.83,0.07,524.85,6.66,92.51,56.91,0.28,39.44,3,47.6,42.86
TGL,0:00,3038,32303,20408,1797,1611,1440,3134,2000,1912,105.30,1771.18,391.10,-73.43,22.03,-8.6,98.47,97.4,280.11,0.76,83.77,98.44,63.41,5,98.08,98.6,97.32,216.83,0.12,70.4,1.61,0.13,684.6,4,0.49,3,0.62,0.59,402.09,860.19,2,0.24,5.94,99.75,94.46,0.71,66.46,846.81,4,0.53,0.23,321.84,1.72,52.05,49.52,0.75,44.33,1,89.5,66.02
TMP,0:00,2843,32930,20604,1793,2717,2454,1116,3130,1116,21.86,1894.58,411.29,-89.31,20.4,-10.16,97.67,99.87,200.43,0.38,57.34,99.66,70.37,5,92.5,97.96,98.11,263.3,0.88,57.38,1.81,0.15,362.01,4,0.68,2,0.48,0.59,524.09,857.75,1,0.35,8.31,81.23,44.42,0.48,44.7,771.79,5,0.32,0.72,922.96,2.03,33.36,38.19,0.28,34.37,3,61.8,85.44
TMS,0:00,2525,31339,19378,2117,1587,2212,2508,1055,2482,54.69,2114.17,388.00,-83.32,20.85,-8.11,97.69,97.18,259.18,0.93,72.69,97.84,35.01,5,77.37,98.23,98.88,155.05,0.26,79.94,1.36,0.32,947.87,4,0.1,1,0.71,0.71,566.67,339.35,1,0.51,8.94,64.16,56.46,0.5,61.91,478.4,4,0.5,0.86,958.64,5.39,60.96,62.31,0.78,48.88,1,45.56,76.12
TPY,0:00,2148,29990,19062,2165,1961,1631,1843,1901,1426,96.78,1371.98,385.48,-74.88,20.95,-8.17,97.52,97.52,247.79,0.9,97.03,99.05,97.6,4,70.29,98.64,99.43,215.25,0.55,31.39,1.24,0.31,713.58,5,0.2,2,0.37,0.17,724.21,900.73,1,0.95,1.67,40.63,96.33,0.86,81.41,587.46,5,0.59,0.08,719.11,6.17,79.1,46.2,0.5,53.39,3,92.37,38.14
TUS,0:00,3222,29695,19779,2091,1110,1957,1529,1861,1369,214.06,1923.20,413.61,-83.51,23.45,-8.61,97.69,97.5,288.09,0.08,45.13,99.19,34.64,5,82.13,99.57,99.73,166.36,0.62,80.41,1.91,0.34,794.21,5,0.3,3,0.54,0.8,750.41,813.76,1,0.72,3.79,84.67,90.24,0.42,61.69,727.3,5,0.57,0.56,359.05,2.01,67.56,52.51,0.81,78.73,1,85.45,45.83
WLD,0:00,2707,33393,20311,1805,1581,1633,2381,2658,3024,96.37,1909.32,385.40,-83.55,20.08,-8.21,97.64,99.71,255.55,0.16,45.77,99.13,98.78,5,42.31,97.35,98.04,290.13,0.28,71.84,1.4,0.11,936.01,5,0.68,3,0.5,0.4,945.45,870.46,2,0.95,4.63,44.81,56.37,0.61,35.76,413.71,4,0.14,0.88,399.76,1.96,89.79,48.61,0.5,84.5,2,56.76,48.04
YCK,0:00,5463,30875,19587,1937,1241,2620,1899,2480,1111,56.77,2262.88,403.00,-86.86,16.67,-9.12,99.33,97.5,287.63,0.93,98.89,98.14,53.65,5,90.51,97.96,99.38,257.75,0.4,39.56,1.48,0.41,536.38,4,0.98,1,0.81,0.92,942.4,403.1,2,0.28,5.35,90.2,93.72,0.32,30.43,329.95,5,0.8,0.77,797.59,5.83,69.89,53.68,0.34,54.17,1,48.44,56.71
YSH,0:00,2094,32539,19849,2041,2137,1627,2470,2639,1776,75.94,1868.69,370.72,-81.56,17.7,-11.5,97.76,98.74,229.97,0.18,64.45,98.92,36.77,5,43.13,98.85,97.89,200.43,0.59,96.39,1.31,0.21,941.27,5,0.73,3,0.36,0.68,866.57,345.2,2,0.5,1.86,64.52,34.88,0.8,71.48,915.46,4,0.09,0.89,754.56,3.4,87.42,77.58,0.41,70.98,1,83.63,86.64
