Country,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
France,Bouygues,208/20,W1,-75.25,-7.26,0.51,0.59,0.11,0.26,0.84,0.57,0.12,0.4,690082,2612,69656,9487
Germany,Telekom Deutschland (T-Mobile),262/01,W1,-136.12,-9.83,0.67,0.15,0.38,0.71,0.06,0.22,0.89,0.34,799263,7573,37455,3525
Germany,Vodafone(GERMANY),262/02,W1,-81.92,-13.27,0.32,0.12,0.72,0.45,0.23,0.66,0.98,0.01,595505,7896,37426,5354
Germany,Telefonica O2/viag,262/07,W1,-136.3,-8.1,0.2,0.23,0.48,0.39,0.94,0.83,0.19,0.84,204290,4314,91411,4527
Germany,E-Plus,262/03,W1,-131.43,-9.4,0.72,0.69,0.57,0.44,0.52,0.03,0.44,0.61,483208,2311,79539,8326
Hongkong,China Mobile - Peoples,454/12,W1,-129.9,-9.12,0.71,0.69,0.26,0.89,0.17,0.66,0.02,0.62,571480,2779,13387,9862
Hongkong,H3G(HONG KONG),454/03,W1,-124.22,-6.21,0.13,0.57,0.65,0.13,0.99,0.84,0.28,0.98,753670,9978,98645,4451
Hongkong,PCCW-HKT Telephone Limited,454/19,W1,-75.98,-12.68,0.85,0.74,0.92,1,0.34,0.67,0.93,0.88,961683,6358,23928,4970
Hongkong,SmarTone - Vodafone,454/06,W1,-92.93,-11.86,0.19,0.57,0.13,0.12,0.62,0.9,1,0.81,318451,9439,21235,7815
Hongkong,CSL (C&W),454/00,W1,-137.75,-14.18,0.08,0.66,0.97,0.98,0.88,0.07,0.26,0.91,575449,6122,91281,7905
Hungary,Vodafone(HUNGARY),216/70,W1,-81.37,-13.34,0.54,0.72,0.46,0.19,0.56,0.21,0.23,0.09,293321,9855,28673,6485
Hungary,T-Mobile(HUNGARY),216/30,W1,-65.62,-14.91,0.63,0.04,0.81,0.29,0.13,0.69,0.72,0.67,759217,2799,36872,9170
India,Airtel (Karnataka),404/45,W1,-118,-14.43,0.75,0.86,0.44,0.35,0.9,0.42,0.02,0.9,483013,9712,87700,2116
India,Airtel (Delhi),404/10,W1,-103.89,-11.06,0.27,0.33,0.1,0.18,0.84,0.43,0.88,0.57,272678,8892,30394,2984
Indonesia,Indosat (IDNSL),510/01,W1,-103.39,-9.24,0.99,0.35,0.22,0.76,0.02,0.23,0.65,0.89,455922,4273,15437,3520
Ireland,Vodafone(IRELAND),272/01,W1,-87.14,-6.02,0.95,0.2,0.76,0.39,0.33,0.61,0.67,0.16,753408,6971,91469,2165
Ireland,Meteor,272/03,W1,-139.96,-7.6,0.37,0.89,0.92,0.02,0.26,0.91,0.28,0.03,395571,6189,91616,4795
Ireland,Telefonica O2 (East DigiFone),272/02,W1,-95.56,-9.51,0.24,0.81,0.44,0.23,0.7,0.02,0.63,0.48,128598,3419,83757,7890
Italy,Vodafone Omnitel,222/10,W1,-123.81,-10.66,0.86,0.48,0.68,0.23,0.77,0.53,0.98,0.13,472105,8418,62833,9898
Italy,Wind,222/88,W1,-130.27,-12.17,0.91,0.86,0.01,0.78,0.69,0.32,0.24,0.32,585183,7510,86613,7204
Japan,KDDI Corporation,440/51,W1,-148.92,-7.61,0.5,0.86,0.58,0.94,0.34,0.67,0.99,1,116949,2138,73122,5907
Japan,Soft Bank (Vodafone KK),440/20,W1,-148.47,-6.59,0.41,0.82,0.62,0.79,0.24,0.96,0.66,0.08,255004,6907,62975,8709
Japan,KDDI,440/50,W1,-71.93,-13.32,0.58,0.75,0.11,0.55,0.03,0.06,0.77,0.54,897845,7581,47112,8045
Japan,NTT Docomo,440/10,W1,-151.97,-13.37,0.72,0.04,0.37,0.97,0.79,0.53,0.29,0.37,316518,5220,44354,3472
Jordan,Zain (Fastlink),416/01,W1,-143.36,-14.07,0.72,0.81,0.83,0.14,0.85,0.69,0.46,0.65,793043,6805,88681,4188
Jordan,Orange (MobileCom),416/77,W1,-93.95,-10.81,0.28,0.45,0.46,0.69,0.84,0.4,0.88,0.14,645064,5790,80003,4300
Kazakhstan ,K-Cell,401/02,W1,-79.21,-8.56,0.96,0.69,0.56,0.98,0.56,0.25,1,0.36,911678,4403,22053,4811
Kuwait,MTC/Zain,419/02,W1,-126.06,-14.4,0.94,0.02,0.8,0.18,0.53,0.37,0.95,0.67,445575,3686,87950,3997
Kuwait,Viva (KTC),419/04,W1,-112.79,-14.78,0.45,0.87,0.32,0.2,0.86,0.09,0.03,0.83,428160,6548,87542,9369
Lebanon,MTC (MIC 2 Touch),415/03,W1,-136.94,-8.21,0.45,0.97,0.04,0.69,0.15,0.66,0.5,0.9,412519,5426,82532,9333
Luxembourg,Tango,270/77,W1,-87.67,-9,1,0.79,0.9,0.81,0.08,0.44,0.81,0.43,931723,7997,14754,7427
Macao,CTM,455/01,W1,-87.09,-14.11,0.97,0.02,0.41,0.89,0.31,0.73,0.95,0.2,779894,2692,56467,2231
Macao,Hutchison 3,455/03,W1,-144.8,-11.19,0.39,0.44,0.79,0.93,0.79,0.67,0.74,0.12,741921,5430,36689,8349
Malaysia,Celcom,502/19,W1,-95.44,-9.71,0.65,0.88,0.21,0.68,0.11,0.66,0.03,0.59,888782,8571,97625,5626
Malaysia,DiGi  Telecommunication,502/16,W1,-64.6,-11.97,0.52,0.19,0.09,0.41,0.37,0.69,0.24,0.77,732488,1187,68285,2772
Malaysia,Maxis,502/12,W1,-96.69,-6.25,0.2,0.82,0.34,0.7,0.75,0.98,0.44,0.93,729574,6198,63372,7030
Malta,Vodafone(MALTA),278/01,W1,-145.68,-7.94,0.06,0.53,0.33,0.25,0.66,0.63,0.96,0.94,249640,4814,68451,1191
Mauritius,Cellplus Orange,617/01,W1,-123.5,-11.09,0.46,0.01,0.82,0.81,0.57,0.08,0.27,0.63,159555,2913,10787,8486
Netherlands,Vodafone(NETHERLANDS),204/04,W1,-88.37,-11.97,0.55,0.97,0.4,0.58,0.46,0.51,0.2,0.11,430509,5460,17564,6365
Netherlands,T-mobile (ex Ben),204/16,W1,-112.06,-6.67,0.99,0.33,0.64,0.56,0.49,0.82,0.12,0.3,915327,7382,30045,5109
New Zealand,Vodafone(NEW ZEALAND),530/01,W1,-141.98,-14.51,0.09,0.61,0.39,0.43,0.43,0.11,0.28,0.14,307842,1423,46858,6935
Nigeria,EMTS,621/60,W1,-61.39,-10.98,0.5,0.68,0.23,0.09,0.27,0.92,0.68,0.36,470862,6788,18258,5920
Norway,Telenor Mobile,242/01,W1,-150.47,-10.01,0.29,0.42,0.27,0.64,0.94,0.3,0.8,0.61,650343,3874,59126,7744
Norway,NetCom TeliaSonera,242/02,W1,-105.99,-10.09,0.85,0.42,0.43,0.6,0.48,0.84,0.86,0.28,814089,5102,95135,8998
Oman,Nawras,422/03,W1,-124.74,-9.77,0.73,0.86,0.19,0.61,0.36,0.7,0.75,0.39,366838,4712,83189,5840
Oman,Oman Mobile - GTO (Omantel),422/02,W1,-82.94,-13,0.23,0.36,0.69,0.79,0.44,0.74,0.68,0.76,636410,3112,10825,7889
Philippines,Smart,515/03,W1,-107.77,-9.99,0.65,0.58,0.41,0.28,0.33,0.75,0.86,0.91,299638,1725,30157,8489
Poland,"T-Mobile (ERA,PTC)",260/02,W1,-143.51,-6.22,0.89,0.3,0.08,0.57,0.8,0.01,0.63,0.81,349850,7292,59140,6421
Poland,Orange/Centertel,260/03,W1,-123.25,-8.83,0.61,1,0.76,0.2,0.78,0.06,0.38,0.74,757733,5870,87750,3637
Portugal,Vodafone(PORTUGAL),268/01,W1,-124.44,-11.33,0.45,0.29,0.72,0.96,0.12,0.68,0.55,0.3,467264,1455,25499,5046
Portugal,Optimus (Sonecom),268/03,W1,-114.43,-8.86,0.74,0.55,0.49,0.42,0.86,0.42,0.1,0.9,446401,3102,81564,4201
Qatar,Vodafone(QATAR),427/02,W1,-113.6,-11.7,0.12,0.28,0.82,0.01,0.01,0.64,0.37,0.19,920794,6684,34243,9729
Qatar,Q-Tel,427/01,W1,-71.07,-7.59,0.26,0.7,0.47,0.01,0.16,0.67,0.8,0.98,812048,2429,87113,6165
Romania,Orange (Mobilrom),226/10,W1,-133.93,-8.99,0.92,0.25,0.08,0.83,0.64,0.08,0.28,0.45,944298,1480,17251,3525
Russia,MTS(RUSSIA),250/01,W1,-74.5,-6.08,0.29,0.42,0.59,0.73,0.66,0.68,0.26,0.01,470917,5765,25303,7794
Russia,MegaFon,250/02,W1,-71.69,-7.06,0.41,0.18,0.5,0.48,0.81,0.93,0.55,0.11,176458,8689,37463,5731
Russia,Vimpelcom Beeline (KB Impuls),250/99,W1,-81.41,-13.14,0.02,0.18,0.24,0.26,0.65,0.88,0.66,0.2,259206,6505,53486,6957
Saudi Arabia,Saudi Telecom Company,420/01,W1,-158.05,-9.5,0.61,0.82,0.65,0.93,0.67,0.04,0.13,0.27,678562,9621,44594,8520
Saudi Arabia,Mobily,420/03,W1,-63.28,-6.13,0.11,0.97,0.02,0.39,0.54,0.88,0.83,0.42,256095,1083,74085,6973
SERBIA,Telenor Serbia,220/01,W1,-88.74,-14.68,0.57,0.43,0.92,0.6,0.94,0.49,0.8,0.07,530307,2024,54225,5747
Singapore,Mobile One,525/03,W1,-152.91,-9.38,0.16,0.85,0.55,0.41,0.95,0.8,0.79,0.93,312578,2636,51529,8755
Singapore,Starhub,525/05,W1,-155.93,-10.1,0.47,0.72,0.35,0.15,0.39,0.56,0.81,0.3,878592,4996,52259,3912
Singapore,SingTel,525/01,W1,-149.08,-12.92,0.47,0.02,0.86,0.68,0.26,0.77,0.15,0.09,231011,8838,72118,7185
Slovak Republic,Orange (ex Globtel),231/01,W1,-97.29,-13.12,0.62,0.39,0.39,0.74,0.75,0.82,0.3,0.52,392008,3977,71813,1791
Slovenia,SI Mobil,293/40,W1,-154.16,-11.19,1,0.59,0.68,0.76,0.89,0.29,0.22,0.78,463698,8396,50580,9576
South Africa,Vodacom(SOUTH AFRICA),655/01,W1,-148.25,-9.11,0.48,0.78,0.59,0.11,0.02,0.37,0.46,0.99,381379,6821,47485,8468
South Africa,MTN(SOUTH AFRICA),655/10,W1,-111.06,-10.54,0.12,0.82,0.97,0.62,0.52,0.8,0.59,0.4,874509,6514,41873,6095
South Korea,KT (KTF),450/08,W1,-96.42,-7.7,0.76,0.27,0.08,0.49,0.73,0.67,0.68,0.53,392371,5162,88279,5584
South Korea,SK Telecom,450/05,W1,-91.76,-7.2,0.01,0.93,0.14,0.48,0.47,0.1,0.73,0.09,787397,8340,35508,1830
Spain,Orange/Amena,214/03,W1,-87.89,-6.26,0.42,0.9,0.68,0.81,0.55,0.99,0.83,0.07,909970,7051,73512,6938
Spain,Vodafone (AirTel),214/01,W1,-83.69,-13.87,0.64,0.16,0.6,0.07,0.03,0.59,0.95,0.7,742325,2103,89573,1165
Spain,Xfera Yoigo,214/04,W1,-138.63,-14.04,0.98,0.18,0.52,0.4,0.65,0.47,0.78,0.59,286896,9015,16686,9274
Spain,Telefonica Moviles(SPAIN),214/07,W1,-79.62,-12.85,0.92,0.17,0.53,0.06,0.04,0.43,0.38,0.65,107471,9176,21292,6841
Sweden,Tele2 - Comviq,240/07,W1,-91.83,-10.44,0.84,0.19,0.75,0.29,0.7,0.75,0.11,0.29,794533,9092,82612,6066
Sweden,"Telenor (Vodafone,Europolitn)",240/08,W1,-60.21,-7.88,0.49,0.78,0.25,0.23,0.92,0.56,0.09,0.86,314118,3351,10264,8291
Sweden,TeliaSonera Mobile,240/01,W1,-80.66,-12.44,0.51,0.88,0.13,0.11,0.59,0.06,0.78,0.94,308769,5437,53555,8829
Switzerland,Swisscom,228/01,W1,-115.92,-14.6,0.85,0.44,0.71,0.71,0.04,0.03,0.84,0.93,462698,7375,23182,8054
Switzerland,Sunrise DiAx,228/02,W1,-152.99,-7.5,0.44,0.98,0.16,0.7,0.27,0.61,0.21,0.25,727964,5685,62337,6921
Switzerland,Orange(SWITZERLAND),228/03,W1,-127.88,-14.98,0.42,0.81,0.1,0.93,0.26,0.42,0.45,0.64,143960,4815,88833,1972
Thailand,True Move  HSPA,520/00,W1,-61.69,-6.13,0.08,0.3,0.46,0.35,0.55,0.55,0.65,0.82,823420,8051,73873,4322
Thailand, AIS,520/03,W1,-74.53,-9.94,0.31,0.46,0.17,0.47,0.6,0.02,0.06,0.39,558581,7179,66521,7596
Turkey,Vodafone (TelSim),286/02,W1,-94.85,-6.19,0.25,0.8,0.1,0.09,0.08,0.44,0.63,0.75,329407,6859,84689,8106
Turkey,Turkcel,286/01,W1,-91.27,-9.73,0.41,0.01,0.58,0.25,0.19,0.46,0.02,0.57,208526,6087,56932,9951
United Arab Emirates,Etisalat(UAE),424/02,W1,-83.44,-14.02,0.91,0.59,0.32,0.03,0.58,0.42,0.18,0.02,782025,2309,85289,4793
United Arab Emirates,Du,424/03,W1,-110.69,-12.53,0.21,0.06,0.28,0.45,0.78,0.33,0.51,0.73,186262,7663,95669,6047
United Kingdom,Vodafone(UK),234/15,W1,-143.48,-11.55,0.97,0.45,0.65,0.7,0.55,0.35,0.14,0.49,583384,4489,25656,1232
United Kingdom,Everything Everywhere,234/30,W1,-68.61,-10.13,0.47,0.17,0.33,0.99,0.09,0.58,0.33,0.87,340106,2005,99154,3993
United Kingdom,Telefonica O2 (CellNet),234/10,W1,-144.15,-6.58,0.04,0.4,0.26,0.76,0.73,0.13,0.36,0.74,357726,3494,67191,3839
United Kingdom,Everything Everywhere (ex-Orange),234/33,W1,-125.64,-13.09,0.75,0.95,0.83,0.43,0.88,0.34,0.59,0.09,209472,8146,57774,2305
Unted States,AT&T,310/410,W1,-66.62,-11.22,0.37,0.49,0.38,0.62,0.09,0.33,0.6,0.91,620546,9219,79858,6887
Unted States,Guamcell Cellular and Paging,310/370,W1,-151.22,-10.98,0.75,0.96,0.66,0.42,0.62,0.32,0.78,0.7,412636,6801,31267,1598
Unted States,T-Mobile,310/260,W1,-88.58,-14.07,0.32,0.63,0.88,0.1,0.9,0.83,0.15,0.16,391684,7835,30052,8181
Unted States,Verizon Wireless,311/48,W1,-154.35,-10.65,0.13,0.46,0.43,0.65,0.89,0.56,0.87,0.88,618453,6711,66044,3056
Albania,Vodafone(ALBANIA),276/02,W2,-74.61,-14.09,0.41,0.81,0.97,0.77,0.89,0.29,0.29,0.58,680609,5270,59782,7646
Australia,Vodafone Hutchison,505/03,W2,-69.43,-7.46,0.72,0.31,0.87,0.08,0.36,0.31,0.36,0.35,688359,1756,32717,3742
Australia,Optus,505/02,W2,-93.52,-8.42,0.85,0.33,0.7,0.59,0.01,0.47,0.04,0.37,989874,8701,29498,3714
Australia,Telstra,505/01,W2,-62.06,-10.77,0.35,0.62,0.35,0.35,0.34,0.82,0.9,0.79,828202,7851,16860,5701
Austria,A1 Austria Telekom (Mobilkom),232/01,W2,-116.37,-13.51,0.49,0.87,0.52,0.16,0.64,0.11,0.25,0.07,512883,9653,62178,3536
Austria,H3G(AUSTRIA),232/10,W2,-124.21,-7.47,0.43,0.52,0.11,0.67,0.79,0.48,0.06,0.68,224227,6772,15106,3225
Bahrain,Viva,426/04,W2,-87.86,-10.43,1,0.37,0.54,0.61,0.49,0.59,0.76,0.92,894853,9728,33637,8499
Bahrain,Batelco,426/01,W2,-148.2,-7.29,0.25,0.91,0.91,0.75,0.39,0.3,0.87,0.51,456125,2773,88480,3112
Bahrain,Zain/Vodafone/MTC,426/02,W2,-89.27,-12.04,0.76,0.22,0.42,0.01,0.37,0.79,0.72,0.02,708678,8102,83398,3174
Belgium,"Base (KPN,Orange)",206/20,W2,-148.38,-7.38,0.38,0.31,0.1,0.84,0.45,0.16,0.63,0.78,885461,7252,85967,3915
Belgium,Mobistar S.A.,206/10,W2,-61.36,-7.46,0.33,0.92,0.96,0.89,0.48,0.12,0.15,0.18,686358,8733,48755,1197
Belgium,Belgacom Mobile,206/01,W2,-61.1,-14.46,0.93,0.15,0.58,0.31,0.76,0.05,0.49,0.53,164220,4768,51787,1315
Brazil,Vivo S.A,724/10,W2,-110.26,-7.35,0.61,0.16,0.87,0.22,0.42,0.54,0.03,0.92,242243,2743,87570,4911
Brazil,TIM,724/04,W2,-115.15,-14.55,0.31,0.95,0.7,0.07,0.74,0.1,0.27,0.63,848749,5502,73939,2707
Bulgaria,Mobiltel,284/01,W2,-120.73,-12.84,0.64,0.91,0.04,0.59,0.72,0.27,0.86,0.87,262321,4580,69169,4846
Canada,Bell Mobility,302/610,W2,-90.49,-14.58,0.77,0.09,0.54,0.34,0.82,0.97,0.17,0.53,569355,7407,96065,5541
Canada,Telus Mobility,302/220,W2,-123.17,-12.06,0.04,0.93,0.23,0.95,0.6,0.62,0.29,0.12,561413,9696,87146,4166
China,China Mobile,460/07,W2,-85.94,-11.45,0.45,0.21,0.9,0.68,0.24,0.27,0.15,0.24,815565,3897,48393,5520
China,China Unicom,460/01,W2,-98.56,-7.11,0.08,0.78,0.3,0.82,0.53,0.48,0.78,0.87,709008,4622,37016,1160
China,China Mobile,460/02,W2,-75.44,-9.81,0.68,0.7,0.8,0.03,0.04,0.9,0.23,0.15,881934,8260,92541,8676
China,China Mobile,460/00,W2,-141.15,-14.27,0.86,0.77,0.97,0.43,0.64,0.8,0.03,0.25,133300,9629,24863,4670
Croatia,Croatian Telecom (ex T- Mobile),219/01,W2,-137.77,-8.7,0.05,0.63,0.38,0.78,0.14,0.06,0.6,0.29,101355,5959,71000,3939
Croatia,VIP-net,219/10,W2,-123.08,-10.95,0.23,0.72,0.29,0.28,0.16,0.62,0.4,0.31,378327,5328,53304,3419
Czech Republic,Telefonica O2 (Eurotel),230/02,W2,-113.61,-9.12,0.48,0.98,0.95,0.29,0.41,0.29,0.38,0.99,257173,2455,77065,5423
Denmark,Telenor (Sonofon),238/02,W2,-133.83,-14.06,0.12,0.92,0.14,0.51,0.96,0.24,0.5,0.16,983135,2310,45423,9187
Dominica Rep.,"Orange Dominicana, S.A.",370/01,W2,-142.87,-13.69,0.81,0.37,0.74,0.57,0.03,0.99,0.6,0.5,816030,4395,24133,2741
Egypt,Vodafone(EGYPT),602/02,W2,-101.09,-11.46,0.31,0.11,0.07,0.49,0.57,0.05,0.86,0.93,631722,3574,60749,2825
Egypt,Etisalat Misr,602/03,W2,-92.95,-9.16,0.63,0.87,0.52,0.31,0.39,0.2,0.53,0.4,852595,7447,39798,5320
Estonia,Tele2(ESTONIA),248/03,W2,-113.9,-9.26,0.26,0.09,0.7,0.12,0.17,0.36,0.72,0.13,680747,3142,80448,6471
France,SFR (Cegetel),208/10,W2,-83.1,-6.4,0.18,0.55,0.55,0.7,0.27,0.67,0.81,0.54,616841,2745,96582,9958
France,Orange (Iteneris),208/01,W2,-74.58,-12.74,0.4,0.61,0.33,0.16,0.39,0.4,0.57,0.01,776286,8581,24171,6602
France,Free Mobile,208/15,W2,-75.58,-10.99,0.09,0.4,0.18,0.5,0.21,0.11,0.99,0.36,140415,3137,30450,1030
France,Bouygues,208/20,W2,-150.11,-9.34,0.11,0.13,0.96,0.35,0.08,0.19,0.84,0.85,170593,7226,93082,8485
Germany,Telekom Deutschland (T-Mobile),262/01,W2,-97.99,-8.18,0.06,0.47,0.92,0.14,0.19,0.86,0.16,0.8,366199,9748,27160,2962
Germany,Vodafone(GERMANY),262/02,W2,-64.3,-6.16,0.26,0.54,0.81,0.85,1,0.98,0.23,0.38,386779,3956,60426,9573
Germany,Telefonica O2/viag,262/07,W2,-65.17,-12.56,0.27,0.63,0.35,0.54,0.84,0.56,0.48,0.37,418081,3636,80725,9920
Germany,E-Plus,262/03,W2,-154.45,-10.47,0.34,0.81,0.95,0.02,0.5,0.27,0.54,0.57,811168,2847,54004,8585
Hongkong,China Mobile - Peoples,454/12,W2,-146.12,-11.58,0.38,0.57,0.41,0.93,0.8,0.92,0.56,0.65,916001,8113,88008,5838
Hongkong,H3G(HONG KONG),454/03,W2,-123.37,-6.87,0.12,0.69,0.83,0.9,0.4,0.09,0.26,0.93,983321,1808,27747,3296
Hongkong,PCCW-HKT Telephone Limited,454/19,W2,-99.35,-12.59,0.62,0.98,0.72,0.09,0.82,0.73,0.1,0.21,989251,4678,51106,6649
Hongkong,SmarTone - Vodafone,454/06,W2,-110.11,-9.6,0.17,0.73,0.11,0.81,0.67,0.81,0.51,0.09,241847,6251,32827,5649
Hongkong,CSL (C&W),454/00,W2,-80.66,-9.13,0.1,0.21,0.88,0.16,0.66,0.24,0.3,0.53,799479,3177,33045,5858
Hungary,Vodafone(HUNGARY),216/70,W2,-124.35,-7.14,0.18,0.84,0.96,0.04,0.6,0.54,0.45,0.72,959084,9800,50116,6605
Hungary,T-Mobile(HUNGARY),216/30,W2,-97.44,-7.5,0.14,0.51,0.53,0.91,0.5,0.27,0.26,0.23,795635,1786,16679,8130
India,Airtel (Karnataka),404/45,W2,-101.55,-6.26,0.26,0.71,0.49,0.89,0.68,0.06,0.22,0.58,777120,7615,58206,5204
India,Airtel (Delhi),404/10,W2,-69.1,-10.72,0.89,0.99,0.04,0.17,0.96,0.9,0.23,0.63,866292,4578,74450,6621
Indonesia,Indosat (IDNSL),510/01,W2,-74.14,-11.84,0.38,0.08,0.52,0.9,0.6,0.88,0.89,0.42,633966,4841,33941,8546
Ireland,Vodafone(IRELAND),272/01,W2,-134.72,-11.64,0.51,0.32,0.15,0.73,0.51,0.33,0.17,0.92,451069,5830,66336,9486
Ireland,Meteor,272/03,W2,-89.48,-6.29,0.85,0.57,0.72,0.92,0.95,0.95,0.69,0.14,442281,5680,32183,8148
Ireland,Telefonica O2 (East DigiFone),272/02,W2,-147.92,-14.85,0.21,0.45,0.42,0.72,0.32,0.86,0.02,1,963044,2981,76700,6126
Italy,Vodafone Omnitel,222/10,W2,-76.87,-9.9,0.34,0.11,0.7,0.26,0.09,0.67,0.19,0.63,852873,2560,76554,7725
Italy,Wind,222/88,W2,-143.05,-12.18,0.92,0.32,0.84,0.91,0.34,0.99,0.76,0.25,790772,1020,41465,4878
Japan,KDDI Corporation,440/51,W2,-132.49,-8.47,0.73,0.68,0.35,0.92,0.83,0.71,0.36,0.19,425779,3987,72161,8721
Japan,Soft Bank (Vodafone KK),440/20,W2,-112.93,-8.13,0.55,0.83,0.5,0.7,0.91,0.25,0.76,0.04,157339,2184,59852,8228
Japan,KDDI,440/50,W2,-112.39,-6.92,0.53,0.69,0.51,0.64,0.2,0.12,0.23,0.22,257865,8273,24220,2733
